gene,hot_target_tier,hot_target_label,modality_note
PDCD1,T1,PD-1,antibody_dominant
CD274,T1,PD-L1,antibody_dominant
ERBB2,T1,HER2,small_molecule_and_biologic
KRAS,T2,KRAS,small_molecule
EGFR,T2,EGFR,small_molecule
RET,T2,RET,small_molecule
CDK4,T2,CDK4/6,small_molecule
CDK6,T2,CDK4/6,small_molecule
PARP1,T2,PARP,small_molecule
PARP2,T2,PARP,small_molecule
AR,T2,AR,small_molecule_and_degrader
BTK,T2,BTK,small_molecule
FGFR2,T2,FGFR2/3,small_molecule
FGFR3,T2,FGFR2/3,small_molecule
IDH1,T2,IDH1/2,small_molecule
IDH2,T2,IDH1/2,small_molecule
ESR1,T2,ER/ESR1,small_molecule_and_degrader
CD276,T3,B7-H3,biologic_dominant
CLDN18,T3,CLDN18.2,biologic_dominant
CDH17,T3,CDH17,biologic_dominant
NECTIN4,T3,Nectin-4,biologic_dominant
FOLR1,T3,FRalpha,biologic_dominant
DLL3,T3,DLL3,biologic_dominant
EP300,T4,EP300/CBP,small_molecule_and_degrader
CREBBP,T4,EP300/CBP,small_molecule_and_degrader
PRMT5,T4,PRMT5,small_molecule
WRN,T4,WRN,small_molecule
POLQ,T4,POLQ,small_molecule
