endpoint,slice,model,n_pairs,spearman_rho,p_value
Kd,NO_LOCAL_TRAIN_PAIR_EXACT_VALUES,SPR_current,294,0.1938243185568556,0.0008348466494566744
Kd,NO_LOCAL_TRAIN_PAIR_EXACT_VALUES,contract_primary,294,0.22175188015984723,0.00012613008102906417
Kd,NO_LOCAL_TRAIN_PAIR_EXACT_VALUES,neural_full_fit,294,0.2412245631950443,2.9097551023154354e-05
Kd,NO_LOCAL_TRAIN_PAIR_EXACT_VALUES,graph_ranker,294,0.18880674148748655,0.001142436550393246
Kd,NO_LOCAL_TRAIN_PAIR_EXACT_VALUES,DTIAM_comparator,294,0.07602980067649906,0.1936118353860547
Ki,NO_LOCAL_TRAIN_PAIR_EXACT_VALUES,SPR_current,169,0.5930603682726177,1.9695310133330665e-17
Ki,NO_LOCAL_TRAIN_PAIR_EXACT_VALUES,contract_primary,169,0.5640730156765099,1.3956029203680292e-15
Ki,NO_LOCAL_TRAIN_PAIR_EXACT_VALUES,neural_full_fit,169,0.5027761634706899,3.2660630409056472e-12
Ki,NO_LOCAL_TRAIN_PAIR_EXACT_VALUES,graph_ranker,169,0.33721555399397163,7.350036642879555e-06
Ki,NO_LOCAL_TRAIN_PAIR_EXACT_VALUES,DTIAM_comparator,169,0.34673793800182984,3.8703116329527425e-06
