endpoint_group,slice,scope,total_pairs,POSITIVE,WEAK_NEGATIVE,GREY,CONFLICT,UNRESOLVED,training_exact_pairs,training_connectivity_pairs
Kd_only,ALL_MERGED,720x888,5743,589,4768,209,177,0,4799,4820
Kd_only,ALL_MERGED,720x384,5083,496,4250,177,160,0,4279,4299
Kd_only,REFRESH_COVERED,720x888,1600,295,1090,70,145,0,973,979
Kd_only,REFRESH_COVERED,720x384,1379,236,956,55,132,0,856,861
Kd_only,REFRESH_ABSENT_CHEMBL37,720x888,378,86,247,42,3,0,52,53
Kd_only,REFRESH_ABSENT_CHEMBL37,720x384,321,64,221,33,3,0,44,45
Kd_only,REFRESH_NO_LOCAL_TRAIN_PAIR,720x888,621,146,352,63,60,0,0,0
Kd_only,REFRESH_NO_LOCAL_TRAIN_PAIR,720x384,518,108,307,49,54,0,0,0
Kd_only,REFRESH_NO_PRIOR_RELATION,720x384,61,1,60,0,0,0,0,0
Kd_only,REFRESH_DRUG_UNSEEN_IN_LOCAL_TRAIN,720x888,12,8,4,0,0,0,0,3
Kd_only,REFRESH_DRUG_UNSEEN_IN_LOCAL_TRAIN,720x384,10,7,3,0,0,0,0,3
Kd_Ki,ALL_MERGED,720x888,6973,1268,5070,387,233,15,5235,5267
Kd_Ki,ALL_MERGED,720x384,5487,706,4348,233,194,6,4487,4516
Kd_Ki,REFRESH_COVERED,720x888,2400,703,1330,174,188,5,1201,1215
Kd_Ki,REFRESH_COVERED,720x384,1608,344,1025,82,157,0,969,981
Kd_Ki,REFRESH_ABSENT_CHEMBL37,720x888,717,179,417,109,12,0,65,71
Kd_Ki,REFRESH_ABSENT_CHEMBL37,720x384,372,74,246,46,6,0,47,53
Kd_Ki,REFRESH_NO_LOCAL_TRAIN_PAIR,720x888,1185,375,556,163,86,5,0,0
Kd_Ki,REFRESH_NO_LOCAL_TRAIN_PAIR,720x384,627,133,355,73,66,0,0,0
Kd_Ki,REFRESH_NO_PRIOR_RELATION,720x384,86,1,78,7,0,0,0,0
Kd_Ki,REFRESH_DRUG_UNSEEN_IN_LOCAL_TRAIN,720x888,66,27,27,9,3,0,0,5
Kd_Ki,REFRESH_DRUG_UNSEEN_IN_LOCAL_TRAIN,720x384,19,8,6,2,3,0,0,5
IC50_only,ALL_MERGED,720x888,2445,1068,848,223,163,143,1167,1199
IC50_only,ALL_MERGED,720x384,2014,844,733,185,144,108,1030,1060
IC50_only,REFRESH_COVERED,720x888,1264,595,344,101,111,113,617,628
IC50_only,REFRESH_COVERED,720x384,1000,458,284,79,95,84,539,548
IC50_only,REFRESH_ABSENT_CHEMBL37,720x888,207,41,119,32,7,8,35,35
IC50_only,REFRESH_ABSENT_CHEMBL37,720x384,137,21,82,23,5,6,29,29
IC50_only,REFRESH_NO_LOCAL_TRAIN_PAIR,720x888,636,200,211,84,81,60,0,0
IC50_only,REFRESH_NO_LOCAL_TRAIN_PAIR,720x384,452,124,163,63,69,33,0,0
IC50_only,REFRESH_NO_PRIOR_RELATION,720x384,73,3,54,14,2,0,0,0
IC50_only,REFRESH_DRUG_UNSEEN_IN_LOCAL_TRAIN,720x888,31,8,9,4,10,0,0,4
IC50_only,REFRESH_DRUG_UNSEEN_IN_LOCAL_TRAIN,720x384,21,2,6,3,10,0,0,3
EC50_only,ALL_MERGED,720x888,449,267,82,46,22,32,141,159
EC50_only,ALL_MERGED,720x384,212,128,43,25,11,5,85,102
EC50_only,REFRESH_COVERED,720x888,194,101,36,14,17,26,55,60
EC50_only,REFRESH_COVERED,720x384,94,54,23,8,6,3,34,39
EC50_only,REFRESH_ABSENT_CHEMBL37,720x888,31,16,10,2,2,1,2,4
EC50_only,REFRESH_ABSENT_CHEMBL37,720x384,16,8,7,1,0,0,2,4
EC50_only,REFRESH_NO_LOCAL_TRAIN_PAIR,720x888,134,61,26,12,12,23,0,0
EC50_only,REFRESH_NO_LOCAL_TRAIN_PAIR,720x384,55,31,13,6,4,1,0,0
EC50_only,REFRESH_NO_PRIOR_RELATION,720x384,1,0,1,0,0,0,0,0
EC50_only,REFRESH_DRUG_UNSEEN_IN_LOCAL_TRAIN,720x888,15,13,0,1,1,0,0,3
EC50_only,REFRESH_DRUG_UNSEEN_IN_LOCAL_TRAIN,720x384,10,9,0,1,0,0,0,3
mixed_activity_descriptive,ALL_MERGED,720x888,8456,1708,5615,516,532,85,5716,5757
mixed_activity_descriptive,ALL_MERGED,720x384,6659,1050,4786,332,444,47,4924,4961
mixed_activity_descriptive,REFRESH_COVERED,720x888,3268,945,1637,226,399,61,1586,1606
mixed_activity_descriptive,REFRESH_COVERED,720x384,2318,545,1287,123,330,33,1327,1344
mixed_activity_descriptive,REFRESH_ABSENT_CHEMBL37,720x888,890,217,523,121,24,5,83,89
mixed_activity_descriptive,REFRESH_ABSENT_CHEMBL37,720x384,488,92,320,55,16,5,64,70
mixed_activity_descriptive,REFRESH_NO_LOCAL_TRAIN_PAIR,720x888,1662,417,731,218,237,59,0,0
mixed_activity_descriptive,REFRESH_NO_LOCAL_TRAIN_PAIR,720x384,974,148,490,117,188,31,0,0
mixed_activity_descriptive,REFRESH_NO_PRIOR_RELATION,720x384,154,4,130,18,2,0,0,0
mixed_activity_descriptive,REFRESH_DRUG_UNSEEN_IN_LOCAL_TRAIN,720x888,98,36,35,13,14,0,0,7
mixed_activity_descriptive,REFRESH_DRUG_UNSEEN_IN_LOCAL_TRAIN,720x384,40,10,11,6,13,0,0,6
