pair_id,ligand_inchikey,target_chembl_id,gene_symbol,label,binary_label,source_rows,sources,endpoints,relations,min_nM,max_nM,has_grey,has_unresolved,positive_record_ids,negative_record_ids,endpoint_group,refresh_covered,existing_ChEMBL37_numeric_pair,local_training_exact_pair,local_training_connectivity_pair,local_training_drug_seen,local_training_target_seen,drug_names,known_relation_excluded,known_training,known_chembl37,novelty_pass,identity_scope_pass,chemistry_policy_pass,independent_validation_rank_score,biomaster_independent_borda_score,ensemble_drug_to_target_logit,old_drug_leakage_safe_score_v10,dtiam_probability,rank_SPR_current,rank_contract_primary,rank_neural_full_fit,rank_graph_ranker,rank_DTIAM_comparator,scored,refresh_endpoint_covered
VSNHCAURESNICA-UHFFFAOYSA-N__CHEMBL3729,VSNHCAURESNICA-UHFFFAOYSA-N,CHEMBL3729,CA4,WEAK_NEGATIVE,0.0,1,BindingDB_202609,Ki,=,113000.0,113000.0,False,False,,21141,Kd_Ki,True,False,False,False,True,True,hydroxyurea,False,False,False,False,True,False,-2.685320078945553,0.8570496083550914,-3.4766257,0.7678706080009906,0.29853752,2.0,11.0,51.0,74.0,9.0,True,True
AQHHHDLHHXJYJD-UHFFFAOYSA-N__CHEMBL4302,AQHHHDLHHXJYJD-UHFFFAOYSA-N,CHEMBL4302,ABCB1,WEAK_NEGATIVE,0.0,2,BindingDB_202609,Ki,=,48000.0,170000.0,False,False,,40119;40125,Kd_Ki,True,False,False,False,True,True,propranolol,False,False,False,False,True,True,-2.4420657529292336,0.5509138381201044,-2.4908278,0.6988523834926745,0.12530091,7.0,165.0,15.0,305.0,102.0,True,True
YBSJFWOBGCMAKL-UHFFFAOYSA-N__CHEMBL1873,YBSJFWOBGCMAKL-UHFFFAOYSA-N,CHEMBL1873,PLAT,WEAK_NEGATIVE,0.0,1,BindingDB_202609,Ki,=,45360.0,45360.0,False,False,,17407,Kd_Ki,True,False,False,False,True,True,dabigatran etexilate,False,False,False,False,False,True,-1.220673133790495,0.975195822454308,-3.8616555,0.8741333077312069,0.47856405,10.0,4.0,67.0,1.0,340.0,True,True
VNFPBHJOKIVQEB-UHFFFAOYSA-N__CHEMBL4523510,VNFPBHJOKIVQEB-UHFFFAOYSA-N,CHEMBL4523510,CYP46A1,POSITIVE,1.0,2,HiQBind_v3,Kd,=,4.0,4.0,False,False,80886;80887,,Kd_Ki,True,False,False,False,True,True,clotrimazole,False,False,False,True,True,True,-2.000567572780783,0.556135770234987,8.929429,0.6502824298284903,0.8565941,13.0,157.0,1.0,317.0,10.0,True,True
CYOHGALHFOKKQC-UHFFFAOYSA-N__CHEMBL3130,CYOHGALHFOKKQC-UHFFFAOYSA-N,CHEMBL3130,PIK3CD,WEAK_NEGATIVE,0.0,1,BindingDB_202609,Kd,>,10000.0,10000.0,False,False,,31613,Kd_Ki,True,False,False,False,True,True,selumetinib,False,False,False,True,True,True,-1.8069191233159667,0.5587467362924282,-3.430734,0.0568385942629907,0.5184536,24.0,149.0,122.0,211.0,210.0,True,True
BCFGMOOMADDAQU-UHFFFAOYSA-N__CHEMBL3267,BCFGMOOMADDAQU-UHFFFAOYSA-N,CHEMBL3267,PIK3CG,WEAK_NEGATIVE,0.0,1,BindingDB_202609,Kd,>,10000.0,10000.0,False,False,,31644,Kd_Ki,True,False,False,False,True,True,lapatinib,False,False,False,True,True,False,-1.4560266689546315,0.7415143603133159,-3.961769,0.3966161533720678,0.8335969,36.0,54.0,95.0,104.0,116.0,True,True
BCFGMOOMADDAQU-UHFFFAOYSA-N__CHEMBL3145,BCFGMOOMADDAQU-UHFFFAOYSA-N,CHEMBL3145,PIK3CB,WEAK_NEGATIVE,0.0,1,BindingDB_202609,Kd,>,10000.0,10000.0,False,False,,30912,Kd_Ki,True,False,False,False,True,True,lapatinib,False,False,False,True,True,False,-1.4909530570018663,0.6357702349869452,-3.85864,0.272620151216745,0.7385825,39.0,107.0,86.0,219.0,194.0,True,True
CUIHSIWYWATEQL-UHFFFAOYSA-N__CHEMBL3145,CUIHSIWYWATEQL-UHFFFAOYSA-N,CHEMBL3145,PIK3CB,WEAK_NEGATIVE,0.0,1,BindingDB_202609,Kd,>,10000.0,10000.0,False,False,,36077,Kd_Ki,True,False,False,False,True,True,pazopanib,False,False,False,True,True,True,-1.5655470582633322,0.6475195822454308,1.849331,0.4710596013786601,0.89725846,47.0,97.0,26.0,199.0,162.0,True,True
CEUORZQYGODEFX-UHFFFAOYSA-N__CHEMBL222,CEUORZQYGODEFX-UHFFFAOYSA-N,CHEMBL222,SLC6A2,GREY,,1,BindingDB_202609,Ki,=,2090.0,2090.0,True,False,,,Kd_Ki,True,False,False,False,True,True,aripiprazole;aripiprazole lauroxil,False,False,False,False,True,True,-2.5419775618423297,0.3746736292428199,6.1031394,0.4648856836255372,0.7206236,48.0,284.0,3.0,372.0,54.0,True,True
IUBSYMUCCVWXPE-UHFFFAOYSA-N__CHEMBL4302,IUBSYMUCCVWXPE-UHFFFAOYSA-N,CHEMBL4302,ABCB1,WEAK_NEGATIVE,0.0,1,BindingDB_202609,Ki,=,200000.0,200000.0,False,False,,40123,Kd_Ki,True,False,False,False,True,True,metoprolol,False,False,False,False,True,True,-3.604588670203489,0.6945169712793734,-3.085558,0.7491687406728905,0.10951943,49.0,67.0,121.0,121.0,149.0,True,True
