endpoint_group,slice,model,score_column,n_pairs,positive,weak_negative,drugs,targets,positive_prevalence,auroc,average_precision,ap_over_prevalence,within_drug_macro_auroc,within_drug_both_class_queries,top10_observed_positive,top10_observed_weak_negative,top10_observed_precision,top10_recall_of_observed_positives,top20_observed_positive,top20_observed_weak_negative,top20_observed_precision,top20_recall_of_observed_positives,top50_observed_positive,top50_observed_weak_negative,top50_observed_precision,top50_recall_of_observed_positives
Kd_only,ALL_MERGED,SPR_current,independent_validation_rank_score,4746,496,4250,129,159,0.10450906026127266,0.7983572106261858,0.43082369555607347,4.122357377236138,0.8346866834179152,58,204,155,0.5682451253481894,0.4112903225806452,260,362,0.4180064308681672,0.5241935483870968,352,981,0.26406601650412603,0.7096774193548387
Kd_only,ALL_MERGED,contract_primary,biomaster_independent_borda_score,4746,496,4250,129,159,0.10450906026127266,0.9024843453510436,0.6422689362263592,6.1455813938110895,0.9093707166963123,58,225,68,0.7679180887372014,0.4536290322580645,288,168,0.631578947368421,0.5806451612903226,375,460,0.4491017964071856,0.7560483870967742
Kd_only,ALL_MERGED,neural_full_fit,ensemble_drug_to_target_logit,4746,496,4250,129,159,0.10450906026127266,0.9584463946869068,0.7740153886727451,7.406203698872678,0.9449696091240896,58,269,51,0.840625,0.5423387096774194,363,147,0.711764705882353,0.7318548387096774,444,496,0.4723404255319149,0.8951612903225806
Kd_only,ALL_MERGED,graph_ranker,old_drug_leakage_safe_score_v10,4746,496,4250,129,159,0.10450906026127266,0.9087682637571157,0.6593537836596421,6.309058583162624,0.8970368549124811,58,168,67,0.7148936170212766,0.3387096774193548,233,137,0.6297297297297297,0.46975806451612906,328,360,0.47674418604651164,0.6612903225806451
Kd_only,ALL_MERGED,DTIAM_comparator,dtiam_probability,4746,496,4250,129,159,0.10450906026127266,0.6791963946869071,0.22650958886625194,2.1673679612081282,0.7668047929539656,58,96,79,0.5485714285714286,0.1935483870967742,146,179,0.4492307692307692,0.29435483870967744,232,490,0.32132963988919666,0.46774193548387094
Kd_only,REFRESH_COVERED,SPR_current,independent_validation_rank_score,1192,236,956,66,133,0.19798657718120805,0.7825686121551663,0.5594861445610045,2.8258791708335487,0.8100946859746523,15,99,34,0.7443609022556391,0.4194915254237288,123,88,0.5829383886255924,0.5211864406779662,163,246,0.39853300733496333,0.690677966101695
Kd_only,REFRESH_COVERED,contract_primary,biomaster_independent_borda_score,1192,236,956,66,133,0.19798657718120805,0.854693372810439,0.6688590847563795,3.3783052077525606,0.8185568103169427,15,110,25,0.8148148148148148,0.4661016949152542,133,62,0.6820512820512821,0.5635593220338984,170,153,0.5263157894736842,0.7203389830508474
Kd_only,REFRESH_COVERED,neural_full_fit,ensemble_drug_to_target_logit,1192,236,956,66,133,0.19798657718120805,0.9434836181831077,0.8457917505905393,4.271965113152216,0.9091771073822186,15,128,13,0.9078014184397163,0.5423728813559322,169,41,0.8047619047619048,0.7161016949152542,205,135,0.6029411764705882,0.8686440677966102
Kd_only,REFRESH_COVERED,graph_ranker,old_drug_leakage_safe_score_v10,1192,236,956,66,133,0.19798657718120805,0.8455340046805192,0.661898908197091,3.3431504176734426,0.7977801968389098,15,79,29,0.7314814814814815,0.3347457627118644,111,63,0.6379310344827587,0.4703389830508475,148,121,0.550185873605948,0.6271186440677966
Kd_only,REFRESH_COVERED,DTIAM_comparator,dtiam_probability,1192,236,956,66,133,0.19798657718120805,0.6839053967803701,0.3847937344654128,1.943534455435475,0.733047069219822,15,56,22,0.717948717948718,0.23728813559322035,75,48,0.6097560975609756,0.3177966101694915,119,142,0.4559386973180077,0.5042372881355932
