panel,arm,ap_mean,ap_std,auroc_mean,auroc_std,false_positive_rate_mean,false_positive_rate_std
ACTIVITY_EC50,all_inactive,0.9633638587620402,0.0021259422043110395,0.9290193642997827,0.0031784360148301364,0.2534661198984573,0.013182104145079256
ACTIVITY_EC50,kdki_inactive,0.8353236019429578,0.005873894247533846,0.686419103670342,0.006508790718386543,0.43018941612966216,0.023926289345814134
ACTIVITY_IC50,all_inactive,0.982394428990316,0.0007711385052267926,0.9511029222012803,0.0024875884014748093,0.24174825061289432,0.01902445108311521
ACTIVITY_IC50,kdki_inactive,0.8636428960178746,0.004600715143225587,0.6944002542220743,0.009040220592941444,0.45961391716591166,0.03331441788010158
AFFINITY_KD_KI,all_inactive,0.917034670291831,0.011248501961607671,0.8623364146273982,0.004934434563278436,0.46364969620783575,0.013736034116571432
AFFINITY_KD_KI,kdki_inactive,0.9555030741111114,0.0034502272926567336,0.9151169231060322,0.003213035019142006,0.2866121935889377,0.016887591976754532
ALL_ENDPOINT_UNION,all_inactive,0.9613064287539602,0.0035029094003667283,0.9225065741982976,0.0029243470020580502,0.3255548163690019,0.014742358558125699
ALL_ENDPOINT_UNION,kdki_inactive,0.8748644413646073,0.0029647201538871813,0.7610305070430572,0.004832737542372369,0.40221414803063643,0.026220532829218445
EXPLICIT_INACTIVE,all_inactive,,,,,0.4784799824709675,0.012759523815839264
EXPLICIT_INACTIVE,kdki_inactive,,,,,0.3503928381381663,0.023763356985145753
