pair_id,drug_names,gene_symbol,target_chembl_id,selection_score,in_frozen384,reviewed_in_original574,latest_exact_evidence
AHJRHEGDXFFMBM-UHFFFAOYSA-N__CHEMBL1929,palbociclib,XDH,CHEMBL1929,0.92656535,False,False,False
AHJRHEGDXFFMBM-UHFFFAOYSA-N__CHEMBL1937,palbociclib,HDAC2,CHEMBL1937,0.91459304,False,False,False
AHJRHEGDXFFMBM-UHFFFAOYSA-N__CHEMBL325,palbociclib,HDAC1,CHEMBL325,0.91373694,False,False,False
AHJRHEGDXFFMBM-UHFFFAOYSA-N__CHEMBL3310,palbociclib,HDAC11,CHEMBL3310,0.92755055,False,False,False
AOMXMOCNKJTRQP-UHFFFAOYSA-N__CHEMBL1868,relugolix,FLT1,CHEMBL1868,0.9024322,True,True,False
AOMXMOCNKJTRQP-UHFFFAOYSA-N__CHEMBL2722,relugolix,CYP11B2,CHEMBL2722,0.92096716,False,False,False
AOMXMOCNKJTRQP-UHFFFAOYSA-N__CHEMBL4073,relugolix,MMP7,CHEMBL4073,0.67996126,False,False,False
AOMXMOCNKJTRQP-UHFFFAOYSA-N__CHEMBL4588,relugolix,MMP8,CHEMBL4588,0.85287464,False,False,False
ASOADIZOVZTJSR-UHFFFAOYSA-N__CHEMBL4523510,opicapone,CYP46A1,CHEMBL4523510,0.7654189,False,False,False
ASUTZQLVASHGKV-JDFRZJQESA-N__CHEMBL2023,galantamine,COMT,CHEMBL2023,0.63258624,False,False,False
BFDBKMOZYNOTPK-UHFFFAOYSA-N__CHEMBL2821,vonoprazan,F12,CHEMBL2821,0.75777125,False,False,False
BFSMGDJOXZAERB-UHFFFAOYSA-N__CHEMBL1952,dabrafenib,TYMS,CHEMBL1952,0.9181195,False,False,False
BFSMGDJOXZAERB-UHFFFAOYSA-N__CHEMBL4005,dabrafenib,PIK3CA,CHEMBL4005,0.914884,True,True,False
BFSMGDJOXZAERB-UHFFFAOYSA-N__CHEMBL4588,dabrafenib,MMP8,CHEMBL4588,0.82954,False,False,False
BFSMGDJOXZAERB-UHFFFAOYSA-N__CHEMBL5366,dabrafenib,PARP2,CHEMBL5366,0.9046167,False,False,False
BNRNXUUZRGQAQC-UHFFFAOYSA-N__CHEMBL2243,sildenafil,FAAH,CHEMBL2243,0.8314924,False,False,False
BNRNXUUZRGQAQC-UHFFFAOYSA-N__CHEMBL3729,sildenafil,CA4,CHEMBL3729,0.8030217,False,False,False
BPRHUIZQVSMCRT-VEUZHWNKSA-N__CHEMBL5141,rosuvastatin,CYP26A1,CHEMBL5141,0.78512335,False,False,False
BSMCAPRUBJMWDF-KRWDZBQOSA-N__CHEMBL1871,cobimetinib,AR,CHEMBL1871,0.7868765,False,False,False
BSMCAPRUBJMWDF-KRWDZBQOSA-N__CHEMBL235,cobimetinib,PPARG,CHEMBL235,0.8370519,False,False,False
CEFJVGZHQAGLHS-UHFFFAOYSA-N__CHEMBL1902,ripretinib,FKBP1A,CHEMBL1902,0.90034777,False,False,False
CEFJVGZHQAGLHS-UHFFFAOYSA-N__CHEMBL208,ripretinib,PGR,CHEMBL208,0.8643587,False,False,False
