gene,left,right,queries,candidates_per_query,valid_spearman_queries,mean_spearman,median_spearman,mean_top20_intersection,mean_top20_overlap_fraction,random_independent_top20_overlap_fraction
LYVE1,A_consensus,B_consensus,1,720,1,0.5723560423534768,0.5723560423534768,4.0,0.2,0.027777777777777776
LYVE1,A_consensus,old_neural,1,720,1,0.08436995441735035,0.08436995441735035,1.0,0.05,0.027777777777777776
LYVE1,A_consensus,dtiam,1,720,1,0.24419564439547053,0.24419564439547053,1.0,0.05,0.027777777777777776
LYVE1,A_consensus,drugclip,1,720,1,-0.1728895438970111,-0.1728895438970111,0.0,0.0,0.027777777777777776
LYVE1,B_consensus,old_neural,1,720,1,0.13204947669009134,0.13204947669009134,0.0,0.0,0.027777777777777776
LYVE1,B_consensus,dtiam,1,720,1,0.43471792305008117,0.43471792305008117,3.0,0.15,0.027777777777777776
LYVE1,B_consensus,drugclip,1,720,1,-0.33001986243543424,-0.33001986243543424,0.0,0.0,0.027777777777777776
LYVE1,old_neural,dtiam,1,720,1,0.052228243226667595,0.052228243226667595,3.0,0.15,0.027777777777777776
LYVE1,old_neural,drugclip,1,720,1,-0.13027140613054167,-0.13027140613054167,0.0,0.0,0.027777777777777776
LYVE1,dtiam,drugclip,1,720,1,-0.28575404870970267,-0.28575404870970267,0.0,0.0,0.027777777777777776
SLC8A1,A_consensus,B_consensus,1,720,1,0.535749683159111,0.535749683159111,3.0,0.15,0.027777777777777776
SLC8A1,A_consensus,old_neural,1,720,1,0.13115370592921669,0.13115370592921669,2.0,0.1,0.027777777777777776
SLC8A1,A_consensus,dtiam,1,720,1,0.16049135387192887,0.16049135387192887,1.0,0.05,0.027777777777777776
SLC8A1,A_consensus,drugclip,1,720,1,0.008222784637573246,0.008222784637573246,0.0,0.0,0.027777777777777776
SLC8A1,B_consensus,old_neural,1,720,1,0.12487337617035012,0.12487337617035012,2.0,0.1,0.027777777777777776
SLC8A1,B_consensus,dtiam,1,720,1,0.3238925805124571,0.3238925805124571,7.0,0.35,0.027777777777777776
SLC8A1,B_consensus,drugclip,1,720,1,-0.07915096929842329,-0.07915096929842329,0.0,0.0,0.027777777777777776
SLC8A1,old_neural,dtiam,1,720,1,0.03408894801573727,0.03408894801573727,1.0,0.05,0.027777777777777776
SLC8A1,old_neural,drugclip,1,720,1,0.08640143338753868,0.08640143338753868,0.0,0.0,0.027777777777777776
SLC8A1,dtiam,drugclip,1,720,1,-0.4614204910666111,-0.4614204910666111,0.0,0.0,0.027777777777777776
