scope,model,direction,covered_pairs,top10,top20,top50,top20_fraction_of_covered,median_rank_covered
full720x384,legacy_spr_ranker,drug_to_target,384,179,384,384,1.0,11.0
full720x384,old_neural,drug_to_target,384,35,75,125,0.1953125,108.0
full720x384,A_consensus,drug_to_target,384,36,50,100,0.13020833333333334,125.0
full720x384,B_consensus,drug_to_target,384,29,49,94,0.12760416666666666,119.5
full720x384,dtiam,drug_to_target,384,23,53,120,0.13802083333333334,96.5
full720x384,legacy_spr_ranker,target_to_drug,384,43,82,149,0.21354166666666666,88.5
full720x384,old_neural,target_to_drug,384,8,21,41,0.0546875,260.0
full720x384,A_consensus,target_to_drug,384,4,6,21,0.015625,325.5
full720x384,B_consensus,target_to_drug,384,3,5,20,0.013020833333333334,272.0
full720x384,dtiam,target_to_drug,384,4,7,29,0.018229166666666668,319.0
drugclip_common548x269,legacy_spr_ranker,drug_to_target,272,185,272,272,1.0,8.0
drugclip_common548x269,old_neural,drug_to_target,272,32,65,108,0.23897058823529413,71.5
drugclip_common548x269,A_consensus,drug_to_target,272,36,53,100,0.1948529411764706,78.0
drugclip_common548x269,B_consensus,drug_to_target,272,34,49,101,0.1801470588235294,77.0
drugclip_common548x269,dtiam,drug_to_target,272,28,60,116,0.22058823529411764,62.0
drugclip_common548x269,drugclip,drug_to_target,272,22,37,70,0.13602941176470587,123.0
drugclip_common548x269,legacy_spr_ranker,target_to_drug,272,39,66,117,0.2426470588235294,71.0
drugclip_common548x269,old_neural,target_to_drug,272,8,19,34,0.06985294117647059,225.0
drugclip_common548x269,A_consensus,target_to_drug,272,3,7,23,0.025735294117647058,240.0
drugclip_common548x269,B_consensus,target_to_drug,272,4,7,25,0.025735294117647058,208.5
drugclip_common548x269,dtiam,target_to_drug,272,2,6,24,0.022058823529411766,229.5
drugclip_common548x269,drugclip,target_to_drug,272,7,16,37,0.058823529411764705,234.0
