scope,direction,left,right,covered_pairs,both_top20,either_top20
full720x384,drug_to_target,legacy_spr_ranker,old_neural,384,75,384
full720x384,drug_to_target,legacy_spr_ranker,A_consensus,384,50,384
full720x384,drug_to_target,legacy_spr_ranker,B_consensus,384,49,384
full720x384,drug_to_target,legacy_spr_ranker,dtiam,384,53,384
full720x384,drug_to_target,old_neural,A_consensus,384,24,101
full720x384,drug_to_target,old_neural,B_consensus,384,23,101
full720x384,drug_to_target,old_neural,dtiam,384,20,108
full720x384,drug_to_target,A_consensus,B_consensus,384,17,82
full720x384,drug_to_target,A_consensus,dtiam,384,11,92
full720x384,drug_to_target,B_consensus,dtiam,384,16,86
full720x384,target_to_drug,legacy_spr_ranker,old_neural,384,7,96
full720x384,target_to_drug,legacy_spr_ranker,A_consensus,384,1,87
full720x384,target_to_drug,legacy_spr_ranker,B_consensus,384,2,85
full720x384,target_to_drug,legacy_spr_ranker,dtiam,384,4,85
full720x384,target_to_drug,old_neural,A_consensus,384,0,27
full720x384,target_to_drug,old_neural,B_consensus,384,0,26
full720x384,target_to_drug,old_neural,dtiam,384,0,28
full720x384,target_to_drug,A_consensus,B_consensus,384,0,11
full720x384,target_to_drug,A_consensus,dtiam,384,0,13
full720x384,target_to_drug,B_consensus,dtiam,384,1,11
drugclip_common548x269,drug_to_target,legacy_spr_ranker,old_neural,272,65,272
drugclip_common548x269,drug_to_target,legacy_spr_ranker,A_consensus,272,53,272
drugclip_common548x269,drug_to_target,legacy_spr_ranker,B_consensus,272,49,272
drugclip_common548x269,drug_to_target,legacy_spr_ranker,dtiam,272,60,272
drugclip_common548x269,drug_to_target,legacy_spr_ranker,drugclip,272,37,272
drugclip_common548x269,drug_to_target,old_neural,A_consensus,272,30,88
drugclip_common548x269,drug_to_target,old_neural,B_consensus,272,28,86
drugclip_common548x269,drug_to_target,old_neural,dtiam,272,25,100
drugclip_common548x269,drug_to_target,old_neural,drugclip,272,13,89
drugclip_common548x269,drug_to_target,A_consensus,B_consensus,272,23,79
drugclip_common548x269,drug_to_target,A_consensus,dtiam,272,19,94
drugclip_common548x269,drug_to_target,A_consensus,drugclip,272,10,80
drugclip_common548x269,drug_to_target,B_consensus,dtiam,272,22,87
drugclip_common548x269,drug_to_target,B_consensus,drugclip,272,6,80
drugclip_common548x269,drug_to_target,dtiam,drugclip,272,8,89
drugclip_common548x269,target_to_drug,legacy_spr_ranker,old_neural,272,5,80
drugclip_common548x269,target_to_drug,legacy_spr_ranker,A_consensus,272,2,71
drugclip_common548x269,target_to_drug,legacy_spr_ranker,B_consensus,272,2,71
drugclip_common548x269,target_to_drug,legacy_spr_ranker,dtiam,272,4,68
drugclip_common548x269,target_to_drug,legacy_spr_ranker,drugclip,272,3,79
drugclip_common548x269,target_to_drug,old_neural,A_consensus,272,0,26
drugclip_common548x269,target_to_drug,old_neural,B_consensus,272,1,25
drugclip_common548x269,target_to_drug,old_neural,dtiam,272,1,24
drugclip_common548x269,target_to_drug,old_neural,drugclip,272,5,30
drugclip_common548x269,target_to_drug,A_consensus,B_consensus,272,1,13
drugclip_common548x269,target_to_drug,A_consensus,dtiam,272,0,13
drugclip_common548x269,target_to_drug,A_consensus,drugclip,272,0,23
drugclip_common548x269,target_to_drug,B_consensus,dtiam,272,1,12
drugclip_common548x269,target_to_drug,B_consensus,drugclip,272,1,22
drugclip_common548x269,target_to_drug,dtiam,drugclip,272,0,22
