model,scenario,pair_id,ligand_inchikey,drug_names,gene_symbol,target_chembl_id,selection_score,in_frozen384,reviewed_in_original574,latest_exact_evidence,kdki_inactive_training_seen,all_inactive_training_seen
all_inactive_consensus,fixed112_frozen_evidence,ACRHBAYQBXXRTO-OAQYLSRUSA-N__CHEMBL2326,ACRHBAYQBXXRTO-OAQYLSRUSA-N,ivabradine,CA7,CHEMBL2326,0.7105386,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,ADEBPBSSDYVVLD-UHFFFAOYSA-N__CHEMBL2023,ADEBPBSSDYVVLD-UHFFFAOYSA-N,donepezil,COMT,CHEMBL2023,0.39602542,True,True,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,AFLFKFHDSCQHOL-IZZDOVSWSA-N__CHEMBL1977,AFLFKFHDSCQHOL-IZZDOVSWSA-N,elafibranor,VDR,CHEMBL1977,0.8512755,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,AOMXMOCNKJTRQP-UHFFFAOYSA-N__CHEMBL1908,AOMXMOCNKJTRQP-UHFFFAOYSA-N,relugolix,CYP11B1,CHEMBL1908,0.88460284,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,AOMXMOCNKJTRQP-UHFFFAOYSA-N__CHEMBL2722,AOMXMOCNKJTRQP-UHFFFAOYSA-N,relugolix,CYP11B2,CHEMBL2722,0.9299209,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,AOMXMOCNKJTRQP-UHFFFAOYSA-N__CHEMBL3535,AOMXMOCNKJTRQP-UHFFFAOYSA-N,relugolix,PDE9A,CHEMBL3535,0.8460639,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,AOMXMOCNKJTRQP-UHFFFAOYSA-N__CHEMBL4073,AOMXMOCNKJTRQP-UHFFFAOYSA-N,relugolix,MMP7,CHEMBL4073,0.42754194,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,ASOADIZOVZTJSR-UHFFFAOYSA-N__CHEMBL2179,ASOADIZOVZTJSR-UHFFFAOYSA-N,opicapone,GBA1,CHEMBL2179,0.81835204,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,ASOADIZOVZTJSR-UHFFFAOYSA-N__CHEMBL220,ASOADIZOVZTJSR-UHFFFAOYSA-N,opicapone,ACHE,CHEMBL220,0.90855813,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,ASOADIZOVZTJSR-UHFFFAOYSA-N__CHEMBL4523510,ASOADIZOVZTJSR-UHFFFAOYSA-N,opicapone,CYP46A1,CHEMBL4523510,0.4947525,False,False,False,False,False
