arm,variant,panel,scope,pairs,positive,negative,ap,auroc
all_inactive,assay,ACTIVITY_EC50,raw_source_assay_and_document_disjoint,188.0,166.0,22.0,0.9636278992693815,0.8112906170135087
all_inactive,assay,ACTIVITY_EC50,raw_source_assay_disjoint,535.0,359.0,176.0,0.8328274211941661,0.7533104372414958
all_inactive,assay,ACTIVITY_IC50,raw_source_assay_and_document_disjoint,994.0,508.0,486.0,0.8077923605511491,0.7948138427141052
all_inactive,assay,ACTIVITY_IC50,raw_source_assay_disjoint,4176.0,2130.0,2046.0,0.7585934091826975,0.7787971338402961
all_inactive,assay,AFFINITY_KD_KI,raw_source_assay_and_document_disjoint,488.0,324.0,164.0,0.8875270300125969,0.8588715748268593
all_inactive,assay,AFFINITY_KD_KI,raw_source_assay_disjoint,3381.0,2378.0,1003.0,0.821407559100133,0.6888335554033161
all_inactive,assay,ALL_ENDPOINT_UNION,raw_source_assay_and_document_disjoint,1930.0,934.0,996.0,0.6719613660837602,0.7144918001771541
all_inactive,assay,ALL_ENDPOINT_UNION,raw_source_assay_disjoint,8290.0,4677.0,3613.0,0.733937705316294,0.7120526268166275
all_inactive,assay,EXPLICIT_INACTIVE,raw_source_assay_and_document_disjoint,362.0,0.0,362.0,,
all_inactive,assay,EXPLICIT_INACTIVE,raw_source_assay_disjoint,494.0,0.0,494.0,,
all_inactive,balanced,ACTIVITY_EC50,raw_source_assay_and_document_disjoint,188.0,166.0,22.0,0.9664840134545134,0.8204180357794816
all_inactive,balanced,ACTIVITY_EC50,raw_source_assay_disjoint,535.0,359.0,176.0,0.8379787252594865,0.7743679834557272
all_inactive,balanced,ACTIVITY_IC50,raw_source_assay_and_document_disjoint,994.0,508.0,486.0,0.8213817490420512,0.8021126988756034
all_inactive,balanced,ACTIVITY_IC50,raw_source_assay_disjoint,4176.0,2130.0,2046.0,0.7658360867238789,0.7810357474487416
all_inactive,balanced,AFFINITY_KD_KI,raw_source_assay_and_document_disjoint,488.0,324.0,164.0,0.9213401630698423,0.879736274214594
all_inactive,balanced,AFFINITY_KD_KI,raw_source_assay_disjoint,3381.0,2378.0,1003.0,0.840091850956215,0.6908240794856809
all_inactive,balanced,ALL_ENDPOINT_UNION,raw_source_assay_and_document_disjoint,1930.0,934.0,996.0,0.7413527906602527,0.747916362093628
all_inactive,balanced,ALL_ENDPOINT_UNION,raw_source_assay_disjoint,8290.0,4677.0,3613.0,0.7485115574047083,0.7037313959996413
all_inactive,balanced,EXPLICIT_INACTIVE,raw_source_assay_and_document_disjoint,362.0,0.0,362.0,,
all_inactive,balanced,EXPLICIT_INACTIVE,raw_source_assay_disjoint,494.0,0.0,494.0,,
all_inactive,binary,ACTIVITY_EC50,raw_source_assay_and_document_disjoint,188.0,166.0,22.0,0.9532530427725763,0.8356151880248266
all_inactive,binary,ACTIVITY_EC50,raw_source_assay_disjoint,535.0,359.0,176.0,0.8568499054422533,0.810774879716384
all_inactive,binary,ACTIVITY_IC50,raw_source_assay_and_document_disjoint,994.0,508.0,486.0,0.8210513686494513,0.7930309830098398
all_inactive,binary,ACTIVITY_IC50,raw_source_assay_disjoint,4176.0,2130.0,2046.0,0.7797659095573349,0.7920932022022434
all_inactive,binary,AFFINITY_KD_KI,raw_source_assay_and_document_disjoint,488.0,324.0,164.0,0.9149525521803309,0.8633443741844825
all_inactive,binary,AFFINITY_KD_KI,raw_source_assay_disjoint,3381.0,2378.0,1003.0,0.8344645074566687,0.6797214188664732
all_inactive,binary,ALL_ENDPOINT_UNION,raw_source_assay_and_document_disjoint,1930.0,934.0,996.0,0.692900622531848,0.7266025200014906
all_inactive,binary,ALL_ENDPOINT_UNION,raw_source_assay_disjoint,8290.0,4677.0,3613.0,0.7429432241446544,0.7066013015385666
