model,cutoff,seed,selection,d2t_ap,t2d_ap,coverage_rows,exposure_sha256
global,2018,20260921,0.3738684634533834,0.3415239116051156,0.2093556809456768,242684,1fd5225b0bce658e3568dea53b3bc97ebb3a6fb3f47b3029407102fdb5d26a60
global,2018,20260922,0.36937171806116936,0.35337008379683116,0.2035237550668686,242684,eefdd9e5841e97f470a13425e4b428bb3b152abca29c86a02372bf3ee754f3ea
global,2018,20260923,0.38243240133566153,0.36979494300867577,0.2278164943263621,242684,60a5d2c1625f45925102e6c85a348b42cee713c49a210aa42fe496e99307ba2a
global,2020,20260921,0.4213819028886795,0.44199499610315485,0.2622872776102455,292408,df449fa88d378e402d126e5a39124b15904dadd9b357692a53c0b01fbd909d02
global,2020,20260922,0.39482896912350474,0.33869429013911123,0.2551717151566598,292408,e4e852a57e728690f6c1e06e98186f201536a1392987be2b05e1120674bba06d
global,2020,20260923,0.33592908701225765,0.26746094252919794,0.21316170211258983,292408,40e77564f140d9e8fa4774152d8c284d4d9f5f076a705c56f96957c530b65783
capacity,2018,20260921,0.31479991106301486,0.2611910451941269,0.18500597961176607,242684,1fd5225b0bce658e3568dea53b3bc97ebb3a6fb3f47b3029407102fdb5d26a60
capacity,2018,20260922,0.34990820484415097,0.29958887603283046,0.22875120212423666,242684,eefdd9e5841e97f470a13425e4b428bb3b152abca29c86a02372bf3ee754f3ea
capacity,2018,20260923,0.3561250906334822,0.31402758359044775,0.18832116021084344,242684,60a5d2c1625f45925102e6c85a348b42cee713c49a210aa42fe496e99307ba2a
capacity,2020,20260921,0.4597073297011442,0.37277925799295275,0.34189305224992,292408,df449fa88d378e402d126e5a39124b15904dadd9b357692a53c0b01fbd909d02
capacity,2020,20260922,0.41683590677045657,0.3446271157941408,0.3033030983356274,292408,e4e852a57e728690f6c1e06e98186f201536a1392987be2b05e1120674bba06d
capacity,2020,20260923,0.3713534639301181,0.3211625478138544,0.23185338231184396,292408,40e77564f140d9e8fa4774152d8c284d4d9f5f076a705c56f96957c530b65783
global_ema,2018,20260921,0.38633408755447873,0.32354918507945535,0.2634102982240029,242684,1fd5225b0bce658e3568dea53b3bc97ebb3a6fb3f47b3029407102fdb5d26a60
global_ema,2018,20260922,0.3753334077183106,0.3510628094241276,0.21652552926393362,242684,eefdd9e5841e97f470a13425e4b428bb3b152abca29c86a02372bf3ee754f3ea
global_ema,2018,20260923,0.3825082686748714,0.3440493904177106,0.23739043721241074,242684,60a5d2c1625f45925102e6c85a348b42cee713c49a210aa42fe496e99307ba2a
global_ema,2020,20260921,0.4284035196483758,0.40360517168571386,0.2787543780961141,292408,df449fa88d378e402d126e5a39124b15904dadd9b357692a53c0b01fbd909d02
global_ema,2020,20260922,0.39860832061318185,0.34123166874045774,0.28694573512310445,292408,e4e852a57e728690f6c1e06e98186f201536a1392987be2b05e1120674bba06d
global_ema,2020,20260923,0.385403274408696,0.2921878229643519,0.29100489814301916,292408,40e77564f140d9e8fa4774152d8c284d4d9f5f076a705c56f96957c530b65783
global_query,2018,20260921,0.3579689387032753,0.28871999741099297,0.22523578292860605,242684,1fd5225b0bce658e3568dea53b3bc97ebb3a6fb3f47b3029407102fdb5d26a60
global_query,2018,20260922,0.36796016497031453,0.31729372179186516,0.242988258519114,242684,eefdd9e5841e97f470a13425e4b428bb3b152abca29c86a02372bf3ee754f3ea
global_query,2018,20260923,0.39197999749079704,0.3385265333675167,0.24461977980965252,242684,60a5d2c1625f45925102e6c85a348b42cee713c49a210aa42fe496e99307ba2a
global_query,2020,20260921,0.4215939205016919,0.3971508634822924,0.2776466771021583,292408,df449fa88d378e402d126e5a39124b15904dadd9b357692a53c0b01fbd909d02
global_query,2020,20260922,0.39947815697294925,0.3646826113889355,0.2504015001088683,292408,e4e852a57e728690f6c1e06e98186f201536a1392987be2b05e1120674bba06d
global_query,2020,20260923,0.3938465990115692,0.34185815382139023,0.27193324951698694,292408,40e77564f140d9e8fa4774152d8c284d4d9f5f076a705c56f96957c530b65783
global_assay,2018,20260921,0.35911848353945897,0.325654982447895,0.23804470459743624,242684,1fd5225b0bce658e3568dea53b3bc97ebb3a6fb3f47b3029407102fdb5d26a60
global_assay,2018,20260922,0.39391695504131785,0.36492576455241454,0.2481826660541955,242684,eefdd9e5841e97f470a13425e4b428bb3b152abca29c86a02372bf3ee754f3ea
global_assay,2018,20260923,0.3711416618307656,0.31607470505521007,0.2553071611526669,242684,60a5d2c1625f45925102e6c85a348b42cee713c49a210aa42fe496e99307ba2a
global_assay,2020,20260921,0.40941538344384854,0.3829566036536465,0.27763335205965506,292408,df449fa88d378e402d126e5a39124b15904dadd9b357692a53c0b01fbd909d02
global_assay,2020,20260922,0.37676844879452587,0.36262593612456884,0.23419579001536084,292408,e4e852a57e728690f6c1e06e98186f201536a1392987be2b05e1120674bba06d
global_assay,2020,20260923,0.37856663921104133,0.3116898507305084,0.26166581312176673,292408,40e77564f140d9e8fa4774152d8c284d4d9f5f076a705c56f96957c530b65783
bermol,2018,20260921,0.3325063069556342,0.2717695338144221,0.22926889422208374,242684,1fd5225b0bce658e3568dea53b3bc97ebb3a6fb3f47b3029407102fdb5d26a60
bermol,2018,20260922,0.3548905339950962,0.3170693533091186,0.24266736101205913,242684,eefdd9e5841e97f470a13425e4b428bb3b152abca29c86a02372bf3ee754f3ea
bermol,2018,20260923,0.3817526093646223,0.3372113236406464,0.2971096752861039,242684,60a5d2c1625f45925102e6c85a348b42cee713c49a210aa42fe496e99307ba2a
bermol,2020,20260921,0.3090037458031437,0.34678104576540103,0.13334493340927814,292408,df449fa88d378e402d126e5a39124b15904dadd9b357692a53c0b01fbd909d02
bermol,2020,20260922,0.33357431509709823,0.32192134709103626,0.16911946699806593,292408,e4e852a57e728690f6c1e06e98186f201536a1392987be2b05e1120674bba06d
bermol,2020,20260923,0.3451337669293675,0.3685150749367669,0.16038467716049945,292408,40e77564f140d9e8fa4774152d8c284d4d9f5f076a705c56f96957c530b65783
bermol_morgan,2018,20260921,0.4017631060338366,0.3565771930365503,0.30368597942870956,242684,1fd5225b0bce658e3568dea53b3bc97ebb3a6fb3f47b3029407102fdb5d26a60
bermol_morgan,2018,20260922,0.4042555120831333,0.3957534802549309,0.2831104441879115,242684,eefdd9e5841e97f470a13425e4b428bb3b152abca29c86a02372bf3ee754f3ea
bermol_morgan,2018,20260923,0.40024975965546933,0.3744840169738464,0.2717150489558187,242684,60a5d2c1625f45925102e6c85a348b42cee713c49a210aa42fe496e99307ba2a
bermol_morgan,2020,20260921,0.3893630654824084,0.40636240343348,0.20078136909328925,292408,df449fa88d378e402d126e5a39124b15904dadd9b357692a53c0b01fbd909d02
