model,scope,head,pairs,positive,weak_negative,auroc_mean,auroc_seed_sd,ap_mean,ap_seed_sd,macro_query_ap_mean,both_class_queries
bindingdb_increment,all,drug_to_target,141,36,105,0.7142857142857143,0.004371087735941419,0.45491386624450175,0.005820428205610743,0.6241986023236024,8
bindingdb_increment,all,target_to_drug,141,36,105,0.7077601410934745,0.00359178339584054,0.45017385527662546,0.008594086072312808,0.7841880341880342,13
bindingdb_increment,core384,drug_to_target,74,16,58,0.853448275862069,0.0070662053063599555,0.6717291096487252,0.012755960711877196,0.8512650929317597,3
bindingdb_increment,core384,target_to_drug,74,16,58,0.848419540229885,0.004355012806387228,0.6702755183458701,0.008635433023184935,1.0,3
bindingdb_increment,extended506,drug_to_target,67,20,47,0.5765957446808511,0.005527821726283651,0.33717250970898843,0.0027699118634848664,0.5526171579743009,7
bindingdb_increment,extended506,target_to_drug,67,20,47,0.5691489361702128,0.0028146290543240838,0.334386446312163,0.00128299899635696,0.7194444444444444,10
frozen_parent,all,drug_to_target,141,36,105,0.6,,0.4462023810762692,,0.6157820767195767,8
frozen_parent,all,target_to_drug,141,36,105,0.5883597883597883,,0.4508606196255437,,0.8269230769230769,13
frozen_parent,core384,drug_to_target,74,16,58,0.8685344827586207,,0.7002094822818508,,0.8725396825396826,3
frozen_parent,core384,target_to_drug,74,16,58,0.8631465517241379,,0.6989257668952258,,1.0,3
frozen_parent,extended506,drug_to_target,67,20,47,0.4585106382978723,,0.3015704403131164,,0.5089285714285714,7
frozen_parent,extended506,target_to_drug,67,20,47,0.477659574468085,,0.3002470822546469,,0.7749999999999999,10
replay_control,all,drug_to_target,141,36,105,0.5979717813051146,0.01026077677506956,0.4446051470336046,0.023279292546757657,0.6127143207872374,8
replay_control,all,target_to_drug,141,36,105,0.5803350970017637,0.007025955656804926,0.4440871264807107,0.017690927905628945,0.814102564102564,13
replay_control,core384,drug_to_target,74,16,58,0.8649425287356323,0.014022429091913138,0.6994880078736628,0.030537634736094468,0.8681305114638449,3
replay_control,core384,target_to_drug,74,16,58,0.8599137931034483,0.00882042324555218,0.6981903241188311,0.01834449455984993,1.0,3
replay_control,extended506,drug_to_target,67,20,47,0.4361702127659574,0.008031738760926362,0.29440839948771275,0.004435213405574864,0.5044690098261526,7
replay_control,extended506,target_to_drug,67,20,47,0.4570921985815602,0.01269186536749874,0.2950935329364764,0.004638381584359532,0.7583333333333332,10
