model_id,stage,arm,variant,seed,status,checkpoint,selected_native_model,train_pairs,base_train_rows,internal_holdout_rows,fit_seconds,validation_binding_ap,validation_balanced_query_ap,pairs,positive,negative,auroc,ap,target_queries,target_macro_ap,target_p5,target_p20,drug_queries,drug_macro_ap,drug_p5,drug_p20,balanced_query_ap
dtiam__kdki_inactive__native__20260921,dtiam,kdki_inactive,native,20260921,COMPLETE_COMPATIBLE_NATIVE_FIT,outputs/biomaster_dtiam_ab_20260912/kdki_inactive__seed_20260921/predictor,WeightedEnsemble_L2,337570,334194,3376,10784.285839299671,0.9764135215168205,0.7104384730270551,34327,23190,11137,0.9426319282798119,0.973362512415881,516,0.6991286975009592,0.6468992248062015,0.5862623762376238,54,0.6695067248723321,0.6185185185185185,0.275,0.6843177111866456
dtiam__kdki_inactive__query__20260921,dtiam,kdki_inactive,query,20260921,COMPLETE_COMPATIBLE_NATIVE_FIT,outputs/biomaster_dtiam_ab_20260912/kdki_inactive__seed_20260921/predictor,RandomForestEntr,337570,334194,3376,10784.285839299671,0.9780438478235987,0.7183985148205436,34327,23190,11137,0.9545853723566652,0.9778738565912473,516,0.715469467397863,0.6589147286821705,0.5816831683168316,54,0.6549092213558276,0.6037037037037037,0.25666666666666665,0.6851893443768453
dtiam__kdki_inactive__native__20260922,dtiam,kdki_inactive,native,20260922,COMPLETE_COMPATIBLE_NATIVE_FIT,outputs/biomaster_dtiam_ab_20260912/kdki_inactive__seed_20260922/predictor,WeightedEnsemble_L2,337570,334194,3376,8954.667263087817,0.9783731515073628,0.7235621393715468,34327,23190,11137,0.9435940235964303,0.9740464397276795,516,0.6963423437719971,0.653875968992248,0.5847772277227723,54,0.6663339124406418,0.6333333333333334,0.2716666666666666,0.6813381281063194
dtiam__kdki_inactive__query__20260922,dtiam,kdki_inactive,query,20260922,COMPLETE_COMPATIBLE_NATIVE_FIT,outputs/biomaster_dtiam_ab_20260912/kdki_inactive__seed_20260922/predictor,WeightedEnsemble_L2,337570,334194,3376,8954.667263087817,0.9783731515073628,0.7235621393715468,34327,23190,11137,0.9435940235964303,0.9740464397276795,516,0.6963423437719971,0.653875968992248,0.5847772277227723,54,0.6663339124406418,0.6333333333333334,0.2716666666666666,0.6813381281063194
dtiam__kdki_inactive__native__20260923,dtiam,kdki_inactive,native,20260923,COMPLETE_COMPATIBLE_NATIVE_FIT,outputs/biomaster_dtiam_ab_20260912/kdki_inactive__seed_20260923/predictor,WeightedEnsemble_L2,337570,334194,3376,9413.56122116372,0.9785633482885912,0.7248591659759506,34327,23190,11137,0.9441488466414005,0.9740837833451435,516,0.7030983133893843,0.6546511627906977,0.585519801980198,54,0.6833921014940962,0.6518518518518519,0.2833333333333333,0.6932452074417403
dtiam__kdki_inactive__query__20260923,dtiam,kdki_inactive,query,20260923,COMPLETE_COMPATIBLE_NATIVE_FIT,outputs/biomaster_dtiam_ab_20260912/kdki_inactive__seed_20260923/predictor,WeightedEnsemble_L2,337570,334194,3376,9413.56122116372,0.9785633482885912,0.7248591659759506,34327,23190,11137,0.9441488466414005,0.9740837833451435,516,0.7030983133893843,0.6546511627906977,0.585519801980198,54,0.6833921014940962,0.6518518518518519,0.2833333333333333,0.6932452074417403
dtiam__all_inactive__native__20260921,dtiam,all_inactive,native,20260921,COMPLETE_COMPATIBLE_NATIVE_FIT,outputs/biomaster_dtiam_ab_20260912/all_inactive__seed_20260921/predictor,WeightedEnsemble_L2,1116270,1105107,11163,40714.13901600707,0.9646122389774365,0.7041066105358986,34327,23190,11137,0.9179130355895602,0.9589554799184749,516,0.6964681470366076,0.634108527131783,0.5769801980198019,54,0.6706315966882,0.637037037037037,0.28500000000000003,0.6835498718624038
dtiam__all_inactive__query__20260921,dtiam,all_inactive,query,20260921,COMPLETE_COMPATIBLE_NATIVE_FIT,outputs/biomaster_dtiam_ab_20260912/all_inactive__seed_20260921/predictor,LightGBMLarge,1116270,1105107,11163,40714.13901600707,0.9637145394782944,0.7087572653129147,34327,23190,11137,0.9188218759475415,0.9592627109453762,516,0.7022521861891814,0.6387596899224807,0.5762376237623763,54,0.6551975715663491,0.6148148148148147,0.27499999999999997,0.6787248788777652
dtiam__all_inactive__native__20260922,dtiam,all_inactive,native,20260922,COMPLETE_COMPATIBLE_NATIVE_FIT,outputs/biomaster_dtiam_ab_20260912/all_inactive__seed_20260922/predictor,WeightedEnsemble_L2,1116270,1105107,11163,44788.27796176821,0.9644418441133598,0.7044723639840944,34327,23190,11137,0.9162592491964615,0.9576941939189996,516,0.6962810795712691,0.6368217054263566,0.5763613861386138,54,0.6548283781536711,0.6222222222222222,0.2833333333333333,0.6755547288624701
dtiam__all_inactive__query__20260922,dtiam,all_inactive,query,20260922,COMPLETE_COMPATIBLE_NATIVE_FIT,outputs/biomaster_dtiam_ab_20260912/all_inactive__seed_20260922/predictor,WeightedEnsemble_L2,1116270,1105107,11163,44788.27796176821,0.9644418441133598,0.7044723639840944,34327,23190,11137,0.9162592491964615,0.9576941939189996,516,0.6962810795712691,0.6368217054263566,0.5763613861386138,54,0.6548283781536711,0.6222222222222222,0.2833333333333333,0.6755547288624701
dtiam__all_inactive__native__20260923,dtiam,all_inactive,native,20260923,COMPLETE_COMPATIBLE_NATIVE_FIT,outputs/biomaster_dtiam_ab_20260912/all_inactive__seed_20260923/predictor,WeightedEnsemble_L2,1116270,1105107,11163,50033.331942731515,0.9648960756038298,0.6956439477234398,34327,23190,11137,0.9175617596252994,0.958922973207273,516,0.7054204206543362,0.6368217054263566,0.5771039603960395,54,0.6654540728362557,0.6296296296296297,0.2816666666666667,0.6854372467452959
dtiam__all_inactive__query__20260923,dtiam,all_inactive,query,20260923,COMPLETE_COMPATIBLE_NATIVE_FIT,outputs/biomaster_dtiam_ab_20260912/all_inactive__seed_20260923/predictor,LightGBMLarge,1116270,1105107,11163,50033.331942731515,0.9628806962464665,0.6992057747798441,34327,23190,11137,0.9168280945500477,0.9587575529306267,516,0.694588135468625,0.6337209302325582,0.5773514851485149,54,0.6634687699441117,0.6111111111111112,0.27666666666666667,0.6790284527063684
