arm,view,baseline_variant,direction,metric,queries,seeds,baseline,dtiam,delta,ci95_low,ci95_high,scope
kdki_inactive,native,binary,target,ap,516,3,0.6979201832925586,0.6995231182207802,0.0016029349282216524,-0.01027146198168512,0.012569461848548576,paired query bootstrap conditional on three seeds; no multiple-comparison correction
kdki_inactive,native,binary,target,p5,516,3,0.6409560723514213,0.6518087855297158,0.010852713178294582,0.0015503875968992322,0.02015503875968993,paired query bootstrap conditional on three seeds; no multiple-comparison correction
kdki_inactive,native,binary,target,p20,404,3,0.5773102310231022,0.585519801980198,0.00820957095709571,0.005403259075907589,0.011344884488448842,paired query bootstrap conditional on three seeds; no multiple-comparison correction
kdki_inactive,query,binary,target,ap,516,3,0.6979201832925586,0.7049700415197482,0.007049858227189643,-0.004871145436752486,0.017957043015178354,paired query bootstrap conditional on three seeds; no multiple-comparison correction
kdki_inactive,query,binary,target,p5,516,3,0.6409560723514213,0.655813953488372,0.01485788113695091,0.006330749354005179,0.02351421188630491,paired query bootstrap conditional on three seeds; no multiple-comparison correction
kdki_inactive,query,binary,target,p20,404,3,0.5773102310231022,0.583993399339934,0.0066831683168316796,0.003795379537953794,0.009653465346534653,paired query bootstrap conditional on three seeds; no multiple-comparison correction
kdki_inactive,native,joint,target,ap,516,3,0.6955815002295955,0.6995231182207802,0.003941617991184734,-0.007870701448741062,0.015624642482564934,paired query bootstrap conditional on three seeds; no multiple-comparison correction
kdki_inactive,native,joint,target,p5,516,3,0.6396640826873385,0.6518087855297158,0.012144702842377269,0.0028359173126615064,0.021705426356589154,paired query bootstrap conditional on three seeds; no multiple-comparison correction
kdki_inactive,native,joint,target,p20,404,3,0.5762376237623763,0.585519801980198,0.00928217821782178,0.005775577557755775,0.012912541254125411,paired query bootstrap conditional on three seeds; no multiple-comparison correction
kdki_inactive,query,joint,target,ap,516,3,0.6955815002295955,0.7049700415197482,0.009388541290152722,-0.0023622164185675217,0.02172500351628726,paired query bootstrap conditional on three seeds; no multiple-comparison correction
kdki_inactive,query,joint,target,p5,516,3,0.6396640826873385,0.655813953488372,0.0161498708010336,0.0071059431524547875,0.025581395348837216,paired query bootstrap conditional on three seeds; no multiple-comparison correction
kdki_inactive,query,joint,target,p20,404,3,0.5762376237623763,0.583993399339934,0.007755775577557749,0.0046194306930693015,0.01130466171617161,paired query bootstrap conditional on three seeds; no multiple-comparison correction
all_inactive,native,binary,target,ap,516,3,0.6568858359575498,0.6993898824207377,0.042504046463187804,0.03253647672045546,0.053008410668926496,paired query bootstrap conditional on three seeds; no multiple-comparison correction
all_inactive,native,binary,target,p5,516,3,0.6058139534883722,0.6359173126614988,0.03010335917312662,0.021705426356589154,0.038888888888888896,paired query bootstrap conditional on three seeds; no multiple-comparison correction
all_inactive,native,binary,target,p20,404,3,0.5664191419141914,0.5768151815181517,0.010396039603960398,0.006559405940594063,0.014273927392739274,paired query bootstrap conditional on three seeds; no multiple-comparison correction
all_inactive,query,binary,target,ap,516,3,0.6568858359575498,0.6977071337430252,0.04082129778547529,0.030856132899866152,0.05155186770065026,paired query bootstrap conditional on three seeds; no multiple-comparison correction
all_inactive,query,binary,target,p5,516,3,0.6058139534883722,0.6364341085271318,0.030620155038759696,0.0223514211886305,0.03914728682170543,paired query bootstrap conditional on three seeds; no multiple-comparison correction
all_inactive,query,binary,target,p20,404,3,0.5664191419141914,0.5766501650165017,0.010231023102310232,0.006229372937293732,0.014274958745874589,paired query bootstrap conditional on three seeds; no multiple-comparison correction
all_inactive,native,joint,target,ap,516,3,0.6694492775316202,0.6993898824207377,0.029940604889117428,0.020677886875681204,0.03948674643805083,paired query bootstrap conditional on three seeds; no multiple-comparison correction
all_inactive,native,joint,target,p5,516,3,0.6149870801033591,0.6359173126614988,0.020930232558139535,0.012403100775193802,0.029589793281653735,paired query bootstrap conditional on three seeds; no multiple-comparison correction
