split,panel,pairs,positive,negative,molecules,target_sequences,random_ap
validation,ACTIVITY_EC50,12994,9173,3821,9972,598,0.7059412036324457
validation,ACTIVITY_IC50,85805,64470,21335,61019,1932,0.7513548161529049
validation,AFFINITY_KD_KI,34685,24419,10266,17282,2034,0.7040219114891163
validation,ALL_ENDPOINT_UNION,135215,94084,41131,83246,2999,0.695810376067744
validation,EXPLICIT_INACTIVE,11719,0,11719,543,838,0.0
test,ACTIVITY_EC50,11957,8543,3414,9429,602,0.7144768754704357
test,ACTIVITY_IC50,85704,65173,20531,61888,1942,0.7604429198170447
test,AFFINITY_KD_KI,34327,23190,11137,16293,2533,0.6755615113467532
test,ALL_ENDPOINT_UNION,132331,93249,39082,82705,3464,0.7046648177675677
test,EXPLICIT_INACTIVE,10649,0,10649,450,779,0.0
