family,arm,variant,seed,panel,pairs,positive,negative,prevalence,random_ap,auroc,ap,brier,precision,recall,false_positive_rate,threshold,mean_probability,top1pct_n,top1pct_precision,top1pct_enrichment,top5pct_n,top5pct_precision,top5pct_enrichment,top10pct_n,top10pct_precision,top10pct_enrichment
DTIAM,kdki_inactive,native,20260921,ACTIVITY_EC50,11957,8543,3414,0.7144768754704357,0.7144768754704357,0.6914666875952871,0.8422105198431273,0.2223451033610011,0.8070428066500851,0.7216434507784151,0.4317516110134739,0.5165016308787567,0.6193634824077866,120,0.9583333333333334,1.3413076983105077,598,0.9331103678929766,1.3060049946033387,1196,0.9280936454849499,1.2989834623742884
DTIAM,kdki_inactive,native,20260921,ACTIVITY_IC50,85704,65173,20531,0.7604429198170447,0.7604429198170447,0.7111614821448575,0.875661385445612,0.19990080663359408,0.8436317098669743,0.718134810427631,0.4225317812089036,0.5165016308787567,0.6288988575433796,858,0.9778554778554779,1.2859025343950083,4286,0.9524031731217919,1.2524321659157942,8571,0.9329133123322833,1.2268025489102237
DTIAM,kdki_inactive,native,20260921,AFFINITY_KD_KI,34327,23190,11137,0.6755615113467532,0.6755615113467532,0.9426319282798119,0.973362512415881,0.09127044080049357,0.8998681356076397,0.9122466580422596,0.2113675136930951,0.5165016308787567,0.6875028857002093,344,1.0,1.4802501078050885,1717,0.9994175888177053,1.4793879935897098,3433,0.9997087095834547,1.4798189251345948
DTIAM,kdki_inactive,native,20260921,ALL_ENDPOINT_UNION,132331,93249,39082,0.7046648177675677,0.7046648177675677,0.799881942177824,0.9012640805433927,0.17333848665972867,0.8472408186687069,0.7600081502214501,0.3269535847704826,0.5165016308787567,0.6250625764531726,1324,0.9962235649546828,1.413755220688888,6617,0.9953150974761976,1.4124660013954327,13234,0.9845851594378117,1.3972389916628065
DTIAM,kdki_inactive,native,20260921,EXPLICIT_INACTIVE,10649,0,10649,0.0,,,,0.12226931421623131,0.0,,0.15344163771246128,0.5165016308787567,0.2559754977318601,107,0.0,,533,0.0,,1065,0.0,
DTIAM,kdki_inactive,query,20260921,ACTIVITY_EC50,11957,8543,3414,0.7144768754704357,0.7144768754704357,0.6545356270333317,0.8322140707417631,0.239670584525859,0.7439323090625696,0.782160833430879,0.6736965436438196,0.36564435202287393,0.6145766137014803,120,0.9583333333333334,1.3413076983105077,598,0.939799331103679,1.3153670375754056,1196,0.9264214046822743,1.2966429516312716
DTIAM,kdki_inactive,query,20260921,ACTIVITY_IC50,85704,65173,20531,0.7604429198170447,0.7604429198170447,0.6212262791085948,0.8430275023911007,0.2521818755826496,0.7872178749272457,0.7471038620287542,0.6410306365983147,0.36564435202287393,0.5701474991041366,858,0.965034965034965,1.2690432639798175,4286,0.9428371441903873,1.2398526169685753,8571,0.9257962898144907,1.2174434999503032
DTIAM,kdki_inactive,query,20260921,AFFINITY_KD_KI,34327,23190,11137,0.6755615113467532,0.6755615113467532,0.9545853723566652,0.9778738565912473,0.078113910750586,0.8852911747048229,0.9538163001293661,0.2573403968752806,0.36564435202287393,0.6853912358631057,344,1.0,1.4802501078050885,1717,0.9994175888177053,1.4793879935897098,3433,0.9994174191669094,1.4793877424641009
DTIAM,kdki_inactive,query,20260921,ALL_ENDPOINT_UNION,132331,93249,39082,0.7046648177675677,0.7046648177675677,0.7585611705772597,0.8833853606742155,0.20392772369490597,0.7997670078850572,0.7951184463104162,0.4749756921344865,0.36564435202287393,0.5837384783613749,1324,0.9954682779456193,1.4126833820075468,6617,0.9928970832703642,1.4090345625824465,13234,0.9844340335499471,1.397024526736995
DTIAM,kdki_inactive,query,20260921,EXPLICIT_INACTIVE,10649,0,10649,0.0,,,,0.06319025926089972,0.0,,0.11202929852568316,0.36564435202287393,0.16785923718711065,107,0.0,,533,0.0,,1065,0.0,
DTIAM,kdki_inactive,native,20260922,ACTIVITY_EC50,11957,8543,3414,0.7144768754704357,0.7144768754704357,0.7000900746703278,0.8444907078060365,0.21782328443363178,0.8190762503416233,0.7016270630925904,0.3878148799062683,0.574616006835024,0.6174053856234167,120,0.95,1.3296441531078076,598,0.9331103678929766,1.3060049946033387,1196,0.9280936454849499,1.2989834623742884
DTIAM,kdki_inactive,native,20260922,ACTIVITY_IC50,85704,65173,20531,0.7604429198170447,0.7604429198170447,0.7188518938010648,0.8787943271146135,0.19293431779982598,0.8538090793058122,0.687692756202722,0.37377624080658517,0.574616006835024,0.6350148757952344,858,0.9801864801864801,1.2889678562886793,4286,0.9519365375641624,1.2518185293817834,8571,0.9378135573445339,1.233246484259677
DTIAM,kdki_inactive,native,20260922,AFFINITY_KD_KI,34327,23190,11137,0.6755615113467532,0.6755615113467532,0.9435940235964303,0.9740464397276795,0.09072387761492864,0.9120716646373282,0.9044415696420871,0.18155697225464668,0.574616006835024,0.6907568380555233,344,1.0,1.4802501078050885,1717,1.0,1.4802501078050885,3433,1.0,1.4802501078050885
DTIAM,kdki_inactive,native,20260922,ALL_ENDPOINT_UNION,132331,93249,39082,0.7046648177675677,0.7046648177675677,0.8059121429730195,0.9038895408644192,0.16836988686701923,0.8590087156882388,0.7356325537003078,0.2880865871756819,0.574616006835024,0.6294023999354544,1324,0.9954682779456193,1.4126833820075468,6617,0.9956173492519269,1.412894931247056,13234,0.9866253589239837,1.4001342681612639
DTIAM,kdki_inactive,native,20260922,EXPLICIT_INACTIVE,10649,0,10649,0.0,,,,0.122528691732427,0.0,,0.131561648981125,0.574616006835024,0.2506967978005188,107,0.0,,533,0.0,,1065,0.0,
DTIAM,kdki_inactive,query,20260922,ACTIVITY_EC50,11957,8543,3414,0.7144768754704357,0.7144768754704357,0.7000900746703278,0.8444907078060365,0.21782328443363178,0.8190762503416233,0.7016270630925904,0.3878148799062683,0.574616006835024,0.6174053856234167,120,0.95,1.3296441531078076,598,0.9331103678929766,1.3060049946033387,1196,0.9280936454849499,1.2989834623742884
DTIAM,kdki_inactive,query,20260922,ACTIVITY_IC50,85704,65173,20531,0.7604429198170447,0.7604429198170447,0.7188518938010648,0.8787943271146135,0.19293431779982598,0.8538090793058122,0.687692756202722,0.37377624080658517,0.574616006835024,0.6350148757952344,858,0.9801864801864801,1.2889678562886793,4286,0.9519365375641624,1.2518185293817834,8571,0.9378135573445339,1.233246484259677
DTIAM,kdki_inactive,query,20260922,AFFINITY_KD_KI,34327,23190,11137,0.6755615113467532,0.6755615113467532,0.9435940235964303,0.9740464397276795,0.09072387761492864,0.9120716646373282,0.9044415696420871,0.18155697225464668,0.574616006835024,0.6907568380555233,344,1.0,1.4802501078050885,1717,1.0,1.4802501078050885,3433,1.0,1.4802501078050885
DTIAM,kdki_inactive,query,20260922,ALL_ENDPOINT_UNION,132331,93249,39082,0.7046648177675677,0.7046648177675677,0.8059121429730195,0.9038895408644192,0.16836988686701923,0.8590087156882388,0.7356325537003078,0.2880865871756819,0.574616006835024,0.6294023999354544,1324,0.9954682779456193,1.4126833820075468,6617,0.9956173492519269,1.412894931247056,13234,0.9866253589239837,1.4001342681612639
DTIAM,kdki_inactive,query,20260922,EXPLICIT_INACTIVE,10649,0,10649,0.0,,,,0.122528691732427,0.0,,0.131561648981125,0.574616006835024,0.2506967978005188,107,0.0,,533,0.0,,1065,0.0,
DTIAM,kdki_inactive,native,20260923,ACTIVITY_EC50,11957,8543,3414,0.7144768754704357,0.7144768754704357,0.7009674035365117,0.8461569942266912,0.217237389405264,0.8150356448476993,0.7360412033243591,0.4179847685998828,0.5232230668975973,0.6234141427049779,120,0.975,1.3646347887159078,598,0.939799331103679,1.3153670375754056,1196,0.9289297658862876,1.3001537177457967
DTIAM,kdki_inactive,native,20260923,ACTIVITY_IC50,85704,65173,20531,0.7604429198170447,0.7604429198170447,0.7195208723287844,0.8796939577604597,0.19350597425644755,0.8465787755246112,0.7360103110183664,0.4234085042131411,0.5232230668975973,0.6392738523641543,858,0.9755244755244755,1.2828372125013372,4286,0.9582361175921605,1.2601026225909278,8571,0.9360634698401586,1.2309450787777294
DTIAM,kdki_inactive,native,20260923,AFFINITY_KD_KI,34327,23190,11137,0.6755615113467532,0.6755615113467532,0.9441488466414005,0.9740837833451435,0.08973743306102565,0.8995810587787229,0.9166882276843467,0.213073538654934,0.5232230668975973,0.693407660616091,344,1.0,1.4802501078050885,1717,1.0,1.4802501078050885,3433,0.9997087095834547,1.4798189251345948
DTIAM,kdki_inactive,native,20260923,ALL_ENDPOINT_UNION,132331,93249,39082,0.7046648177675677,0.7046648177675677,0.8045542317057114,0.9035744994512424,0.16905119340508912,0.8480360516834681,0.7749359242458365,0.331329000562919,0.5232230668975973,0.6338141460630449,1324,0.9954682779456193,1.4126833820075468,6617,0.9950128457004684,1.4120370715438093,13234,0.9856430406528638,1.398740246143488
DTIAM,kdki_inactive,native,20260923,EXPLICIT_INACTIVE,10649,0,10649,0.0,,,,0.12904721225985774,0.0,,0.1643346793126115,0.5232230668975973,0.2618328262813501,107,0.0,,533,0.0,,1065,0.0,
DTIAM,kdki_inactive,query,20260923,ACTIVITY_EC50,11957,8543,3414,0.7144768754704357,0.7144768754704357,0.7009674035365117,0.8461569942266912,0.217237389405264,0.8150356448476993,0.7360412033243591,0.4179847685998828,0.5232230668975973,0.6234141427049779,120,0.975,1.3646347887159078,598,0.939799331103679,1.3153670375754056,1196,0.9289297658862876,1.3001537177457967
DTIAM,kdki_inactive,query,20260923,ACTIVITY_IC50,85704,65173,20531,0.7604429198170447,0.7604429198170447,0.7195208723287844,0.8796939577604597,0.19350597425644755,0.8465787755246112,0.7360103110183664,0.4234085042131411,0.5232230668975973,0.6392738523641543,858,0.9755244755244755,1.2828372125013372,4286,0.9582361175921605,1.2601026225909278,8571,0.9360634698401586,1.2309450787777294
DTIAM,kdki_inactive,query,20260923,AFFINITY_KD_KI,34327,23190,11137,0.6755615113467532,0.6755615113467532,0.9441488466414005,0.9740837833451435,0.08973743306102565,0.8995810587787229,0.9166882276843467,0.213073538654934,0.5232230668975973,0.693407660616091,344,1.0,1.4802501078050885,1717,1.0,1.4802501078050885,3433,0.9997087095834547,1.4798189251345948
DTIAM,kdki_inactive,query,20260923,ALL_ENDPOINT_UNION,132331,93249,39082,0.7046648177675677,0.7046648177675677,0.8045542317057114,0.9035744994512424,0.16905119340508912,0.8480360516834681,0.7749359242458365,0.331329000562919,0.5232230668975973,0.6338141460630449,1324,0.9954682779456193,1.4126833820075468,6617,0.9950128457004684,1.4120370715438093,13234,0.9856430406528638,1.398740246143488
DTIAM,kdki_inactive,query,20260923,EXPLICIT_INACTIVE,10649,0,10649,0.0,,,,0.12904721225985774,0.0,,0.1643346793126115,0.5232230668975973,0.2618328262813501,107,0.0,,533,0.0,,1065,0.0,
