family,arm,variant,seed,panel,stratum,pairs,positive,negative,prevalence,random_ap,auroc,ap,brier,precision,recall,false_positive_rate,threshold,mean_probability,top1pct_n,top1pct_precision,top1pct_enrichment,top5pct_n,top5pct_precision,top5pct_enrichment,top10pct_n,top10pct_precision,top10pct_enrichment
DTIAM,kdki_inactive,native,20260921,AFFINITY_KD_KI,all,34327,23190,11137,0.6755615113467532,0.6755615113467532,0.9426319282798119,0.973362512415881,0.09127044080049357,0.8998681356076397,0.9122466580422596,0.2113675136930951,0.5165016308787567,0.6875028857002093,344,1.0,1.4802501078050885,1717,0.9994175888177053,1.4793879935897098,3433,0.9997087095834547,1.4798189251345948
DTIAM,kdki_inactive,native,20260921,AFFINITY_KD_KI,no_A_training_positive_reference,1973,854,1119,0.4328433857070451,0.4328433857070451,0.7583950206461524,0.6371002028404639,0.26351098896389424,0.711864406779661,0.09836065573770492,0.03038427167113494,0.5165016308787567,0.20245391355256614,20,0.75,1.7327283372365339,99,0.7373737373737373,1.7035578265086462,198,0.6363636363636364,1.4701937406855439
DTIAM,kdki_inactive,native,20260921,AFFINITY_KD_KI,A_positive_neighbor_lt_0.3,9859,1909,7950,0.19363018561720255,0.19363018561720255,0.7028779597471099,0.36519453292090337,0.17338569477818666,0.3331415420023015,0.3033001571503405,0.14578616352201257,0.5165016308787567,0.2762193449589359,99,0.8282828282828283,4.27765343323227,493,0.5233265720081136,2.7027117199727564,986,0.38336713995943206,1.9798934692823682
DTIAM,kdki_inactive,native,20260921,AFFINITY_KD_KI,A_positive_neighbor_ge_0.3,24468,21281,3187,0.869748242602583,0.869748242602583,0.938212140573252,0.989518488505496,0.058183376513830314,0.945110468053833,0.9668718575254922,0.3749607781612802,0.5165016308787567,0.8532231909220588,245,1.0,1.1497580000939804,1224,0.9991830065359477,1.1488186553226618,2447,0.9995913363302003,1.1492881357702804
DTIAM,kdki_inactive,native,20260921,EXPLICIT_INACTIVE,all,10649,0,10649,0.0,,,,0.12226931421623131,0.0,,0.15344163771246128,0.5165016308787567,0.2559754977318601,107,0.0,,533,0.0,,1065,0.0,
DTIAM,kdki_inactive,native,20260921,EXPLICIT_INACTIVE,no_A_training_positive_reference,817,0,817,0.0,,,,0.02270574288230859,0.0,,0.0208078335373317,0.5165016308787567,0.09354863829211181,9,0.0,,41,0.0,,82,0.0,
DTIAM,kdki_inactive,native,20260921,EXPLICIT_INACTIVE,A_positive_neighbor_lt_0.3,9556,0,9556,0.0,,,,0.10480571351418057,0.0,,0.12683131017161992,0.5165016308787567,0.23517300448801,96,0.0,,478,0.0,,956,0.0,
DTIAM,kdki_inactive,native,20260921,EXPLICIT_INACTIVE,A_positive_neighbor_ge_0.3,1093,0,1093,0.0,,,,0.27495199336426157,0.0,,0.38609332113449224,0.5165016308787567,0.43784981194799216,11,0.0,,55,0.0,,110,0.0,
DTIAM,kdki_inactive,query,20260921,AFFINITY_KD_KI,all,34327,23190,11137,0.6755615113467532,0.6755615113467532,0.9545853723566652,0.9778738565912473,0.078113910750586,0.8852911747048229,0.9538163001293661,0.2573403968752806,0.36564435202287393,0.6853912358631057,344,1.0,1.4802501078050885,1717,0.9994175888177053,1.4793879935897098,3433,0.9994174191669094,1.4793877424641009
DTIAM,kdki_inactive,query,20260921,AFFINITY_KD_KI,no_A_training_positive_reference,1973,854,1119,0.4328433857070451,0.4328433857070451,0.8055196279716124,0.6760084290279258,0.20618178067407228,0.681757656458056,0.5995316159250585,0.21358355674709562,0.36564435202287393,0.25171157485135354,20,0.75,1.7327283372365339,99,0.7070707070707071,1.6335486007617155,198,0.6767676767676768,1.5635393750147848
DTIAM,kdki_inactive,query,20260921,AFFINITY_KD_KI,A_positive_neighbor_lt_0.3,9859,1909,7950,0.19363018561720255,0.19363018561720255,0.8114702616866153,0.5117306902120395,0.12601759381105898,0.49604916593503073,0.5919329491880566,0.14440251572327045,0.36564435202287393,0.2314255437226772,99,0.8686868686868687,4.486319454365552,493,0.6247464503042597,3.2264930610527482,986,0.5354969574036511,2.7655654809023553
DTIAM,kdki_inactive,query,20260921,AFFINITY_KD_KI,A_positive_neighbor_ge_0.3,24468,21281,3187,0.869748242602583,0.869748242602583,0.9346015050127799,0.9886044248355886,0.058811866803667456,0.9243405117364689,0.9862788402800621,0.5390649513649199,0.36564435202287393,0.8683096500699261,245,1.0,1.1497580000939804,1224,1.0,1.1497580000939804,2447,0.9995913363302003,1.1492881357702804
