model,metric,A_value,B_value,B_minus_A
LightGBMLarge,ap,0.9752386672447341,0.9637145394782944,-0.011524127766439629
LightGBMLarge,auroc,0.9424502927082479,0.915847696133179,-0.026602596575068915
LightGBMLarge,selection_score,0.7073128026867106,0.7087572653129147,0.0014444626262041238
LightGBMLarge,target_macro_ap,0.7370472076075327,0.7453270646481479,0.00827985704061518
LightGBMLarge,drug_macro_ap,0.6775783977658884,0.6721874659776815,-0.005390931788206821
WeightedEnsemble_L2,ap,0.9764135215168205,0.9646122389774365,-0.01180128253938395
WeightedEnsemble_L2,auroc,0.943311690912868,0.9181021268988347,-0.025209564014033292
WeightedEnsemble_L2,selection_score,0.7104384730270551,0.7041066105358986,-0.00633186249115647
WeightedEnsemble_L2,target_macro_ap,0.7300505485608532,0.7299961303688612,-5.441819199192288e-05
WeightedEnsemble_L2,drug_macro_ap,0.690826397493257,0.6782170907029359,-0.012609306790321129
XGBoost,ap,0.9726546346222189,0.9592188653497383,-0.01343576927248058
XGBoost,auroc,0.936670926666531,0.9084717575994656,-0.02819916906706532
XGBoost,selection_score,0.7003498295129563,0.6886536338539293,-0.01169619565902702
XGBoost,target_macro_ap,0.7210624536665388,0.7054393963245059,-0.015623057342032842
XGBoost,drug_macro_ap,0.6796372053593739,0.6718678713833526,-0.007769333976021309
LightGBMXT,ap,0.9756892870861484,0.9601034964157497,-0.01558579067039878
LightGBMXT,auroc,0.9429756004111829,0.9099794597575654,-0.032996140653617445
LightGBMXT,selection_score,0.7177752986344178,0.685120427065174,-0.03265487156924385
LightGBMXT,target_macro_ap,0.7512816156872932,0.7157477139116039,-0.03553390177568938
LightGBMXT,drug_macro_ap,0.6842689815815424,0.654493140218744,-0.029775841362798317
LightGBM,ap,0.9740499697917566,0.9586386035817094,-0.01541136621004724
LightGBM,auroc,0.9400000767495669,0.9064862335410973,-0.03351384320846962
LightGBM,selection_score,0.7013491194348205,0.6802423617144446,-0.021106757720375846
LightGBM,target_macro_ap,0.7311355956123404,0.7030592810075115,-0.028076314604828956
LightGBM,drug_macro_ap,0.6715626432573005,0.6574254424213777,-0.014137200835922847
CatBoost,ap,0.9723122675048737,0.9582039110807522,-0.014108356424121449
CatBoost,auroc,0.9362513490710953,0.907452540106296,-0.02879880896479936
CatBoost,selection_score,0.6954032086490458,0.6722826809961706,-0.0231205276528752
CatBoost,target_macro_ap,0.7061916315276547,0.7066024939055549,0.00041086237790011193
CatBoost,drug_macro_ap,0.6846147857704369,0.6379628680867865,-0.0466519176836504
RandomForestEntr,ap,0.9780438478235987,0.968437537438827,-0.009606310384771666
RandomForestEntr,auroc,0.9488609777893217,0.9278950864057713,-0.020965891383550317
RandomForestEntr,selection_score,0.7183985148205436,0.6636742281815482,-0.05472428663899542
RandomForestEntr,target_macro_ap,0.7736614591678002,0.7199785640416159,-0.053682895126184293
RandomForestEntr,drug_macro_ap,0.6631355704732871,0.6073698923214806,-0.05576567815180644
RandomForestGini,ap,0.9775835588618886,0.96567543894951,-0.011908119912378612
RandomForestGini,auroc,0.947566955759627,0.9242322392586847,-0.02333471650094232
RandomForestGini,selection_score,0.7106196656062195,0.6633301028063818,-0.04728956279983765
RandomForestGini,target_macro_ap,0.7689736413843179,0.7277462760835646,-0.04122736530075333
RandomForestGini,drug_macro_ap,0.652265689828121,0.5989139295291991,-0.05335176029892197
NeuralNetFastAI,ap,0.9434858779010609,0.9350183131922358,-0.008467564708825037
NeuralNetFastAI,auroc,0.8940660733350727,0.8832096735856082,-0.010856399749464507
NeuralNetFastAI,selection_score,0.6670387897831884,0.655532682964679,-0.011506106818509387
NeuralNetFastAI,target_macro_ap,0.6689083351384753,0.7036354974945648,0.034727162356089525
NeuralNetFastAI,drug_macro_ap,0.6651692444279015,0.6074298684347934,-0.05773937599310808
NeuralNetTorch,ap,0.9569155736528849,0.9391741239067947,-0.017741449746090265
NeuralNetTorch,auroc,0.9115397896201827,0.8783678210543481,-0.0331719685658346
NeuralNetTorch,selection_score,0.6643088539610076,0.6547936056702204,-0.009515248290787204
NeuralNetTorch,target_macro_ap,0.7032298796047206,0.695870742916165,-0.00735913668855559
NeuralNetTorch,drug_macro_ap,0.6253878283172944,0.6137164684242756,-0.011671359893018818
ExtraTreesEntr,ap,0.9769827321943444,0.9611518205655113,-0.0158309116288331
ExtraTreesEntr,auroc,0.946678230480816,0.9141466760173489,-0.032531554463467116
ExtraTreesEntr,selection_score,0.7104591511386105,0.645152546870562,-0.06530660426804846
ExtraTreesEntr,target_macro_ap,0.7658762763058072,0.7042370955633849,-0.06163918074242236
ExtraTreesEntr,drug_macro_ap,0.6550420259714138,0.5860679981777391,-0.06897402779367467
ExtraTreesGini,ap,0.9759255844637533,0.9595106570975702,-0.016414927366183107
ExtraTreesGini,auroc,0.9452144957720602,0.9124473612258333,-0.03276713454622693
ExtraTreesGini,selection_score,0.7025043588282179,0.6398293794408159,-0.06267497938740207
ExtraTreesGini,target_macro_ap,0.7673911658197268,0.7028202146306235,-0.06457095118910328
ExtraTreesGini,drug_macro_ap,0.6376175518367091,0.5768385442510081,-0.060779007585700984
