arm,seed,panel,direction,queries,macro_ap,macro_auroc,macro_top1pct_precision
all_inactive,20260921,ACTIVITY_EC50,within_drug,4,0.8958333333333333,0.975,0.75
all_inactive,20260921,ACTIVITY_EC50,within_target,177,0.8500540525007483,0.8057811321263567,0.8295668549905839
all_inactive,20260921,ACTIVITY_IC50,within_drug,83,0.7685052474887414,0.8361744009881694,0.7349397590361446
all_inactive,20260921,ACTIVITY_IC50,within_target,810,0.9005749253615871,0.8619464633726833,0.9242283950617284
all_inactive,20260921,AFFINITY_KD_KI,within_drug,54,0.5265805017493803,0.7433108638606761,0.5228395061728395
all_inactive,20260921,AFFINITY_KD_KI,within_target,516,0.6560832841964288,0.7633069441189243,0.5666989664082688
all_inactive,20260921,ALL_ENDPOINT_UNION,within_drug,164,0.615140252909774,0.7917404021318885,0.5683943089430894
all_inactive,20260921,ALL_ENDPOINT_UNION,within_target,1215,0.7875897535113404,0.8232539062681459,0.7730442876739173
all_inactive,20260922,ACTIVITY_EC50,within_drug,4,1.0,1.0,1.0
all_inactive,20260922,ACTIVITY_EC50,within_target,177,0.8561888020379332,0.8006495633813754,0.8483992467043314
all_inactive,20260922,ACTIVITY_IC50,within_drug,83,0.7405267229640462,0.8291309856142899,0.6867469879518072
all_inactive,20260922,ACTIVITY_IC50,within_target,810,0.9015991320059045,0.8655001821542032,0.9225308641975308
all_inactive,20260922,AFFINITY_KD_KI,within_drug,54,0.5809783677093792,0.8015938721232888,0.6111111111111112
all_inactive,20260922,AFFINITY_KD_KI,within_target,516,0.6527372028366643,0.7188168893027217,0.6099806201550387
all_inactive,20260922,ALL_ENDPOINT_UNION,within_drug,164,0.6095458356924783,0.8005960033812127,0.5742886178861789
all_inactive,20260922,ALL_ENDPOINT_UNION,within_target,1215,0.7962668199076545,0.8207253630289034,0.7870096021947874
all_inactive,20260923,ACTIVITY_EC50,within_drug,4,0.9375,0.975,1.0
all_inactive,20260923,ACTIVITY_EC50,within_target,177,0.8438260039579345,0.7776488652999819,0.8389830508474576
all_inactive,20260923,ACTIVITY_IC50,within_drug,83,0.7677878379286023,0.8265934485551416,0.7590361445783133
all_inactive,20260923,ACTIVITY_IC50,within_target,810,0.9038953655055143,0.866601293790532,0.9296296296296296
all_inactive,20260923,AFFINITY_KD_KI,within_drug,54,0.5737108301143823,0.7635470428519701,0.6348765432098765
all_inactive,20260923,AFFINITY_KD_KI,within_target,516,0.6663695035001742,0.7418700887553155,0.6332364341085271
all_inactive,20260923,ALL_ENDPOINT_UNION,within_drug,164,0.63483264657464,0.7810006761408695,0.6349593495934959
all_inactive,20260923,ALL_ENDPOINT_UNION,within_target,1215,0.7990853124262404,0.8262564421718932,0.8020987654320987
kdki_inactive,20260921,ACTIVITY_EC50,within_drug,4,0.3364177489177489,0.4927083333333333,0.25
kdki_inactive,20260921,ACTIVITY_EC50,within_target,177,0.7598087910193723,0.5742386047776824,0.7142184557438795
kdki_inactive,20260921,ACTIVITY_IC50,within_drug,83,0.6022226677107455,0.6613465774352821,0.5180722891566265
kdki_inactive,20260921,ACTIVITY_IC50,within_target,810,0.7809839890538822,0.6294368397903279,0.7671115030374289
kdki_inactive,20260921,AFFINITY_KD_KI,within_drug,54,0.6038730982235562,0.8304843121090579,0.633641975308642
kdki_inactive,20260921,AFFINITY_KD_KI,within_target,516,0.6966019171624845,0.7637564307737122,0.6744186046511628
kdki_inactive,20260921,ALL_ENDPOINT_UNION,within_drug,164,0.5607738120856245,0.73521381114848,0.5076219512195121
kdki_inactive,20260921,ALL_ENDPOINT_UNION,within_target,1215,0.6891899496874039,0.657835078289385,0.6451806127114769
kdki_inactive,20260922,ACTIVITY_EC50,within_drug,4,0.0992497086247086,0.2847222222222222,0.0
kdki_inactive,20260922,ACTIVITY_EC50,within_target,177,0.7547896105997063,0.5975360949643499,0.6749529190207156
kdki_inactive,20260922,ACTIVITY_IC50,within_drug,83,0.5723771354721597,0.637304720010791,0.5060240963855421
kdki_inactive,20260922,ACTIVITY_IC50,within_target,810,0.7800825885372933,0.6338169606615093,0.7676889263000375
kdki_inactive,20260922,AFFINITY_KD_KI,within_drug,54,0.56188699905729,0.7692067432233893,0.5645061728395062
kdki_inactive,20260922,AFFINITY_KD_KI,within_target,516,0.6713623736929007,0.7663586058186067,0.622093023255814
kdki_inactive,20260922,ALL_ENDPOINT_UNION,within_drug,164,0.5116364897035641,0.6810367293190643,0.4594512195121951
kdki_inactive,20260922,ALL_ENDPOINT_UNION,within_target,1215,0.6955250483423151,0.6691893137964972,0.6741527265601339
kdki_inactive,20260923,ACTIVITY_EC50,within_drug,4,0.11919642857142855,0.321875,0.0
kdki_inactive,20260923,ACTIVITY_EC50,within_target,177,0.7674353009187913,0.5995124380989414,0.745291902071563
kdki_inactive,20260923,ACTIVITY_IC50,within_drug,83,0.6120583784137337,0.6859323358673335,0.5180722891566265
kdki_inactive,20260923,ACTIVITY_IC50,within_target,810,0.7791090557351927,0.6329762164802835,0.760199837885023
kdki_inactive,20260923,AFFINITY_KD_KI,within_drug,54,0.5623127133053157,0.7870403189554471,0.6003086419753086
kdki_inactive,20260923,AFFINITY_KD_KI,within_target,516,0.6706894678558962,0.7669321656083994,0.6239664082687338
kdki_inactive,20260923,ALL_ENDPOINT_UNION,within_drug,164,0.5377009261550705,0.7084877588723868,0.4885162601626016
kdki_inactive,20260923,ALL_ENDPOINT_UNION,within_target,1215,0.681023442360174,0.6583125657250986,0.6326928604089097
