source_id,authors_or_publisher,title,publication_and_use,primary_url,additional_urls,accessed,full_citation
1,Yan J. et al.,Multi-task bioassay pre-training for protein-ligand binding affinity prediction,Briefings in Bioinformatics，2023-12-11在线，2024，25(1)，bbad451。,https://doi.org/10.1093/bib/bbad451,https://github.com/jiaxianyan/MBP,2026-09-11,1. Yan J. et al. *Multi-task bioassay pre-training for protein-ligand binding affinity prediction*. Briefings in Bioinformatics，2023-12-11在线，2024，25(1)，bbad451。[论文](https://doi.org/10.1093/bib/bbad451)；[官方代码](https://github.com/jiaxianyan/MBP)。用于核对两类端点、实验内排序及采样，而非仅依据摘要泛称多任务。
2,"Passaro S., Corso G., Wohlwend J. et al.",Boltz-2: Towards Accurate and Efficient Binding Affinity Prediction,2025-06-14技术预印本。,https://jeremywohlwend.com/assets/boltz2.pdf,https://doi.org/10.1101/2025.06.14.659707,2026-09-11,"2. Passaro S., Corso G., Wohlwend J. et al. *Boltz-2: Towards Accurate and Efficient Binding Affinity Prediction*. 2025-06-14技术预印本。[作者公开报告](https://jeremywohlwend.com/assets/boltz2.pdf)，正文亲和训练段及附录C.2.4–C.2.5；[预印本记录](https://doi.org/10.1101/2025.06.14.659707)。用于共享连续值头、实验内差值与采样；不将技术报告等同独立复现结论。"
3,Feng B. et al.,A bioactivity foundation model using pairwise meta-learning,Nature Machine Intelligence，2024-08-14，6，962–974。,https://www.nature.com/articles/s42256-024-00876-w,https://github.com/BFeng14/ActFound,2026-09-11,3. Feng B. et al. *A bioactivity foundation model using pairwise meta-learning*. Nature Machine Intelligence，2024-08-14，6，962–974。[论文](https://www.nature.com/articles/s42256-024-00876-w)；[代码与权重说明](https://github.com/BFeng14/ActFound)。用于规模、实验内差值及少样本适应。
4,Schoenmaker L. et al.,Toward Assay-Aware Bioactivity Model(er)s: Getting a Grip on Biological Context,JCIM，2025-06-30，65，7013–7023。,https://pubs.acs.org/doi/10.1021/acs.jcim.5c00603,https://github.com/CDDLeiden/AssayCTX,2026-09-11,4. Schoenmaker L. et al. *Toward Assay-Aware Bioactivity Model(er)s: Getting a Grip on Biological Context*. JCIM，2025-06-30，65，7013–7023。[论文](https://pubs.acs.org/doi/10.1021/acs.jcim.5c00603)；[代码](https://github.com/CDDLeiden/AssayCTX)。用于实验描述、上下文与数据集依赖性。
5,Wan M. et al.,A meta learning and task adaptive approach for drug target affinity prediction,Nature Communications，2026-03-10，17，3734。,https://www.nature.com/articles/s41467-026-70554-5,https://github.com/Moohyun-w/AdaMBind,2026-09-11,5. Wan M. et al. *A meta learning and task adaptive approach for drug target affinity prediction*. Nature Communications，2026-03-10，17，3734。[论文](https://www.nature.com/articles/s41467-026-70554-5)；[代码](https://github.com/Moohyun-w/AdaMBind)。用于任务调度及支持集条件。
6,Lu Z. et al.,"DTIAM: a unified framework for predicting drug-target interactions, binding affinities and drug mechanisms",Nature Communications，2025-03-15，16，2548。,https://www.nature.com/articles/s41467-025-57828-0,https://github.com/CSUBioGroup/DTIAM,2026-09-11,"6. Lu Z. et al. *DTIAM: a unified framework for predicting drug-target interactions, binding affinities and drug mechanisms*. Nature Communications，2025-03-15，16，2548。[论文](https://www.nature.com/articles/s41467-025-57828-0)；[代码](https://github.com/CSUBioGroup/DTIAM)。用于预训练表示、AutoML和下游任务区分。"
7,Jia Y. et al.,Deep contrastive learning enables genome-wide virtual screening,Science，2026-01-08，391，eads9530。,https://pubmed.ncbi.nlm.nih.gov/41505557/,https://doi.org/10.1126/science.ads9530,2026-09-11,7. Jia Y. et al. *Deep contrastive learning enables genome-wide virtual screening*. Science，2026-01-08，391，eads9530。[正式论文摘要](https://pubmed.ncbi.nlm.nih.gov/41505557/)；[DOI](https://doi.org/10.1126/science.ads9530)。用于筛选规模及靶点特定湿实验命中率。
8,THU-ATOM.,DrugCLIP for Drug-The-Whole-Genome,官方代码仓库，访问于2026-09-11。,https://github.com/THU-ATOM/Drug-The-Whole-Genome,,2026-09-11,8. THU-ATOM. *DrugCLIP for Drug-The-Whole-Genome*. 官方代码仓库，访问于2026-09-11。[README](https://github.com/THU-ATOM/Drug-The-Whole-Genome)。用于口袋检索、权重入口和运行范围，不将检索库算作监督标签。
9,"Singh R., Sledzieski S. et al.",Contrastive learning in protein language space predicts interactions between drugs and protein targets,PNAS，2023，120(24)，e2220778120。,https://doi.org/10.1073/pnas.2220778120,https://github.com/samsledje/ConPLex,2026-09-11,"9. Singh R., Sledzieski S. et al. *Contrastive learning in protein language space predicts interactions between drugs and protein targets*. PNAS，2023，120(24)，e2220778120。[论文](https://doi.org/10.1073/pnas.2220778120)；[作者官方仓库及摘要](https://github.com/samsledje/ConPLex)。用于对比学习、公开模型和特定激酶实验结果。"
10,"Landrum G. A., Riniker S.",Combining IC50 or Ki Values from Different Sources Is a Source of Significant Noise,JCIM，2024-02-23在线，64，1560–1567。,https://pubs.acs.org/doi/10.1021/acs.jcim.4c00049,https://github.com/rinikerlab/overlapping_assays,2026-09-11,"10. Landrum G. A., Riniker S. *Combining IC50 or Ki Values from Different Sources Is a Source of Significant Noise*. JCIM，2024-02-23在线，64，1560–1567。[论文](https://pubs.acs.org/doi/10.1021/acs.jcim.4c00049)；[复现代码](https://github.com/rinikerlab/overlapping_assays)。用于跨实验测量差异与元数据清洗。"
