stage,arm,variant,panel,pairs,positive,negative,ap,auroc
assay_aware,all_inactive,assay,ACTIVITY_EC50,11957.0,8543.0,3414.0,0.9584356105320276,0.9197455007980465
assay_aware,all_inactive,assay,ACTIVITY_IC50,85704.0,65173.0,20531.0,0.9774692988204104,0.9422712179269226
assay_aware,all_inactive,assay,AFFINITY_KD_KI,34327.0,23190.0,11137.0,0.8956364942907081,0.8419195686727803
assay_aware,all_inactive,assay,ALL_ENDPOINT_UNION,132331.0,93249.0,39082.0,0.9504204321623733,0.9081915396074726
assay_aware,all_inactive,balanced,ACTIVITY_EC50,11957.0,8543.0,3414.0,0.9613833916576441,0.9210961694110109
assay_aware,all_inactive,balanced,ACTIVITY_IC50,85704.0,65173.0,20531.0,0.9789888999855932,0.9425127977828613
assay_aware,all_inactive,balanced,AFFINITY_KD_KI,34327.0,23190.0,11137.0,0.8983561394776297,0.8379429835340061
assay_aware,all_inactive,balanced,ALL_ENDPOINT_UNION,132331.0,93249.0,39082.0,0.9535305640787294,0.9089660316992907
assay_aware,all_inactive,regression,ACTIVITY_EC50,11957.0,8543.0,3414.0,0.9626843171188435,0.9243337911069044
assay_aware,all_inactive,regression,ACTIVITY_IC50,85704.0,65173.0,20531.0,0.9791680417086871,0.9446555570469526
assay_aware,all_inactive,regression,AFFINITY_KD_KI,34327.0,23190.0,11137.0,0.9053085025212942,0.8468078645836702
assay_aware,all_inactive,regression,ALL_ENDPOINT_UNION,132331.0,93249.0,39082.0,0.9540772883089584,0.9112488471257477
assay_aware,all_inactive,rotate150,ACTIVITY_EC50,11957.0,8543.0,3414.0,0.9501346950502357,0.9087444146629902
assay_aware,all_inactive,rotate150,ACTIVITY_IC50,85704.0,65173.0,20531.0,0.9724337588814582,0.9325569777848489
assay_aware,all_inactive,rotate150,AFFINITY_KD_KI,34327.0,23190.0,11137.0,0.8748293556626358,0.8187738152252728
assay_aware,all_inactive,rotate150,ALL_ENDPOINT_UNION,132331.0,93249.0,39082.0,0.9392182006841271,0.8933999174775783
assay_aware,kdki_inactive,adapt_from_B,ACTIVITY_EC50,11957.0,8543.0,3414.0,0.9496422057830428,0.9026142215004637
assay_aware,kdki_inactive,adapt_from_B,ACTIVITY_IC50,85704.0,65173.0,20531.0,0.9717459987204103,0.9302172460520258
assay_aware,kdki_inactive,adapt_from_B,AFFINITY_KD_KI,34327.0,23190.0,11137.0,0.9077744200202092,0.8533127825104119
assay_aware,kdki_inactive,adapt_from_B,ALL_ENDPOINT_UNION,132331.0,93249.0,39082.0,0.9449205790945001,0.8996255879861671
assay_aware,kdki_inactive,assay,ACTIVITY_EC50,11957.0,8543.0,3414.0,0.8417554442363357,0.6957535232530208
assay_aware,kdki_inactive,assay,ACTIVITY_IC50,85704.0,65173.0,20531.0,0.868456595753289,0.7023252260302032
assay_aware,kdki_inactive,assay,AFFINITY_KD_KI,34327.0,23190.0,11137.0,0.9387092698845624,0.8901520872924946
assay_aware,kdki_inactive,assay,ALL_ENDPOINT_UNION,132331.0,93249.0,39082.0,0.868831348770941,0.7554072418645519
assay_aware,kdki_inactive,balanced,ACTIVITY_EC50,11957.0,8543.0,3414.0,0.8289814911022418,0.6814659454018557
assay_aware,kdki_inactive,balanced,ACTIVITY_IC50,85704.0,65173.0,20531.0,0.8592914511179047,0.6885826954124837
assay_aware,kdki_inactive,balanced,AFFINITY_KD_KI,34327.0,23190.0,11137.0,0.9353988824636236,0.8928656372953735
assay_aware,kdki_inactive,balanced,ALL_ENDPOINT_UNION,132331.0,93249.0,39082.0,0.8596614616175803,0.7448414870322141
