stage,arm,variant,scope,pairs,positive,negative,target_queries,drug_queries,ap,auroc,target_macro_ap,drug_macro_ap,balanced_query_ap,target_p5,drug_p5
legacy,legacy,mean_logits,all,34327.0,23190.0,11137.0,516.0,54.0,0.8884596473624777,0.7914427366125673,0.8054812909823842,0.499788564696762,0.6526349278395731,0.6523255813953488,0.48148148148148157
legacy,legacy,mean_logits,document_disjoint,503.0,331.0,172.0,2.0,0.0,0.8644313937303364,0.7476902269373991,1.0,,,1.0,
legacy,legacy,mean_logits,neither_arm_target_supervised,870.0,599.0,271.0,0.0,1.0,0.7124996126992115,0.5225714444122738,,0.7085627625659737,,,0.8
legacy,legacy,mean_logits,old_training_pair_unseen,27439.0,18074.0,9365.0,423.0,46.0,0.8228272918043014,0.7206226451957813,0.7660893123569575,0.3445818246297938,0.5553355684933756,0.6009456264775414,0.2652173913043478
legacy,legacy,mean_logits,raw_assay_and_document_disjoint,488.0,324.0,164.0,2.0,0.0,0.8638389623518035,0.7408254290876243,1.0,,,1.0,
legacy,legacy,mean_logits,wetlab112_old_pair_unseen,1390.0,848.0,542.0,31.0,3.0,0.910417570444199,0.8611895582399219,0.8031036821331431,0.556011396011396,0.6795575390722696,0.7354838709677418,0.20000000000000004
multitask,all_inactive,binary,all,34327.0,23190.0,11137.0,516.0,54.0,0.917034670291831,0.8623364146273982,0.6568858359575498,0.5431991032119643,0.600042469584757,0.6058139534883721,0.5197530864197532
multitask,all_inactive,binary,document_disjoint,503.0,331.0,172.0,2.0,0.0,0.9065390937299784,0.8534274807372538,0.7861814982403218,,,0.7666666666666666,
multitask,all_inactive,binary,neither_arm_target_supervised,870.0,599.0,271.0,0.0,1.0,0.6885561677333879,0.5005010400688313,,0.6829335180911243,,,0.5333333333333333
multitask,all_inactive,binary,old_training_pair_unseen,27439.0,18074.0,9365.0,423.0,46.0,0.9139206451877713,0.8647169731098759,0.6559277959032791,0.4636088745041227,0.559768335203701,0.5996847911741529,0.40144927536231884
multitask,all_inactive,binary,raw_assay_and_document_disjoint,488.0,324.0,164.0,2.0,0.0,0.9149525521803309,0.8633443741844825,0.7861814982403218,,,0.7666666666666666,
multitask,all_inactive,binary,wetlab112_old_pair_unseen,1390.0,848.0,542.0,31.0,3.0,0.9557283887630138,0.9270771687669707,0.9270981316404745,0.5812915479582146,0.7541948397993444,0.8645161290322582,0.2888888888888889
multitask,kdki_inactive,binary,all,34327.0,23190.0,11137.0,516.0,54.0,0.9555030741111114,0.9151169231060322,0.6979201832925584,0.6084496892327745,0.6531849362626665,0.6409560723514213,0.5790123456790124
multitask,kdki_inactive,binary,document_disjoint,503.0,331.0,172.0,2.0,0.0,0.9114583663709318,0.859335113234502,0.8631277056277056,,,0.8666666666666667,
multitask,kdki_inactive,binary,neither_arm_target_supervised,870.0,599.0,271.0,0.0,1.0,0.6924097928794749,0.49448650579994946,,0.6888233748054325,,,0.6
multitask,kdki_inactive,binary,old_training_pair_unseen,27439.0,18074.0,9365.0,423.0,46.0,0.9527064069727063,0.9147936033592533,0.6935472876866241,0.5444474084844345,0.6189973480855294,0.626950354609929,0.481159420289855
multitask,kdki_inactive,binary,raw_assay_and_document_disjoint,488.0,324.0,164.0,2.0,0.0,0.9157399964582845,0.8645300110408511,0.8631277056277056,,,0.8666666666666667,
multitask,kdki_inactive,binary,wetlab112_old_pair_unseen,1390.0,848.0,542.0,31.0,3.0,0.9488140797236081,0.9349710773051126,0.9065995607735612,0.421011396011396,0.6638054783924786,0.8645161290322582,0.22222222222222224
multitask,kdki_inactive,joint,all,34327.0,23190.0,11137.0,516.0,54.0,0.9468223680616027,0.903524356167336,0.6955815002295954,0.6274077337161538,0.6614946169728745,0.6396640826873384,0.5740740740740741
multitask,kdki_inactive,joint,document_disjoint,503.0,331.0,172.0,2.0,0.0,0.9180645009876836,0.8669523876437387,0.880436507936508,,,0.8666666666666667,
multitask,kdki_inactive,joint,neither_arm_target_supervised,870.0,599.0,271.0,0.0,1.0,0.6886932770610601,0.4890356416085029,,0.6903295140742896,,,0.7333333333333334
multitask,kdki_inactive,joint,old_training_pair_unseen,27439.0,18074.0,9365.0,423.0,46.0,0.9444929067579722,0.9046591189652128,0.6907068022721256,0.5667296231543298,0.6287182127132277,0.6282111899133177,0.46956521739130436
multitask,kdki_inactive,joint,raw_assay_and_document_disjoint,488.0,324.0,164.0,2.0,0.0,0.9277403110837827,0.877515557562983,0.880436507936508,,,0.8666666666666667,
multitask,kdki_inactive,joint,wetlab112_old_pair_unseen,1390.0,848.0,542.0,31.0,3.0,0.9557381733796798,0.9307367454570771,0.8955459876575618,0.370709537376204,0.633127762516883,0.8559139784946236,0.26666666666666666
