direction,query,pairs,positive,negative,random_ap,random_p5
target_to_drug,SEQ:0005091cb3c277123e3a0b90c22eadb48f41111ede450925669dc482ed4974c7,20,1,19,0.17988698285718413,0.05
target_to_drug,SEQ:00faf52e877f8ec4d0da6ca32313f09350fb35484546287f7d68e8d95efc02b9,24,18,6,0.7801734584538424,0.75
target_to_drug,SEQ:0153dbebb226a1e5b5f70a1ca9add9fc132e086045e02ee6797b928c3f08547d,61,55,6,0.9076987932058601,0.9016393442622951
target_to_drug,SEQ:01a94f11705e76d6747b6e29529607e32c7dac0df85b78165c8fbc95731e31e5,12,7,5,0.6630004044776773,0.5833333333333334
target_to_drug,SEQ:01b6c32eee0d173b181b1bb3926e78b1014c3c8a350003ef462b97fcad650063,25,5,20,0.2938652725917836,0.2
target_to_drug,SEQ:01e988a935055b3c57d7a073517b26d9bed04f57214bf0e7f9b60e40711d4458,19,2,17,0.23190518763579707,0.10526315789473684
target_to_drug,SEQ:020c11b8422162d1f0031a0b93cc2b1560b0f1eb23b752616591ff327bf3ff6f,22,1,21,0.16776423864623977,0.045454545454545456
target_to_drug,SEQ:022c5e46aa4d58f82ea0b1dcb834398f4f1195826519611b0447b8b5e3536ef3,46,29,17,0.6584945329380502,0.6304347826086957
target_to_drug,SEQ:025f53bb7b61d7ff93a932e7af3847f13013f8f3a49ab3b2b7f983b2b2c72aee,12,1,11,0.25860088985088986,0.08333333333333333
target_to_drug,SEQ:02cd9fe282994502c12ea0f7782e619810cc9f9d00e83fbfefbdca32937a73fe,24,3,21,0.23060710458844863,0.125
target_to_drug,SEQ:03bfae282c699ad0b358e53c924c5fc3b921d43eccfec4f32b71a4382263a1f4,22,7,15,0.4055458847473141,0.3181818181818182
target_to_drug,SEQ:043f80df5b673d9048e118735cb0230b0baaa23f788c3bae0010f9995412d852,79,77,2,0.9759665625702517,0.9746835443037974
target_to_drug,SEQ:0451c5f5ef052711dec57df65d688e28c0027e49dc4be546d73beb880c6181ed,19,17,2,0.9096359044277408,0.8947368421052632
target_to_drug,SEQ:04770a360e7954ab34f507b43e99f4bf5e82130f35800ddd1a5c8b5cbeeadc80,31,14,17,0.5069496433574417,0.45161290322580644
target_to_drug,SEQ:0485206622621e81abb7366851480e380fd9ea6f6148bec63384662578658e81,22,4,18,0.2866550616967769,0.18181818181818182
target_to_drug,SEQ:051fc4732e4921492421cda1544c298561f4d5e41751c6e73886e38ed9280207,21,3,18,0.25622965877554554,0.14285714285714285
target_to_drug,SEQ:05d2b6ddc4b9d17b8873e7cb92ebf8e337ab9caba8e3bfb6a63d1c102f14c663,57,47,10,0.8359304925264172,0.8245614035087719
target_to_drug,SEQ:06328137fc9825821b1a7a7d95bea792b72346b624c39624ac8359ae06ffe578,18,1,17,0.19417267101090632,0.05555555555555555
target_to_drug,SEQ:069dcf65f46230dcb8df3afdfe9a000b11850089320595f24e1665054b6bef10,22,2,20,0.2073945129964188,0.09090909090909091
target_to_drug,SEQ:075cd160a22e392ad92776143a4af52ed1c6ac1e68ba82bc253ba8dd9daef9c1,83,55,28,0.6791151794938356,0.6626506024096386
target_to_drug,SEQ:07709ab07a513c4dce1a7959395be60cbd9c5b95c7f6810f9e2bbbac5fb11a0a,23,1,22,0.16236050048203654,0.043478260869565216
target_to_drug,SEQ:0798437def06af18f0ee151fb68a7ef37e16370ca11546ce6c0bc2b644f3a960,23,3,20,0.23850954589276047,0.13043478260869565
target_to_drug,SEQ:07bcaa90ff5dd47e7cfac1beed8e4064c7b6f27cf4a4a0492219342dc2e4129b,20,2,18,0.22305082586470074,0.1
target_to_drug,SEQ:082ef6cfa8a9d5c17782cc036623a4c0ece915fc6a420e54678ff55dab70b98e,52,12,40,0.2841333929215301,0.23076923076923078
target_to_drug,SEQ:084144427674914cba4b07ab865916ee9dc6c8c6a2a8752c081d60c89ddd4ce9,11,1,10,0.2745343040797586,0.09090909090909091
target_to_drug,SEQ:08ab69187b319cff68eba5e95e6d06f77a7a8e75e4b1a83c000f7ed2c160d37f,192,169,23,0.8832422065251402,0.8802083333333334
