target_chembl_id,gene_symbol,sequence_target_id,in_frozen112,wetlab_pairs,A_train_pairs,A_train_positive,A_train_negative,A_explicit_inactive,B_train_pairs,B_train_positive,B_train_negative,B_explicit_inactive
CHEMBL1075094,NFE2L2,SEQ:850aba8ba2a5e1681e7e3dbc08958a52248c816c95be57b749d282e591253998,False,0,120,66,54,8,540,286,254,8
CHEMBL1075126,PKLR,SEQ:4e4075bd902760c9a35050c66dbe273ad1a4cf0dcf8ac68d3858465b0f757cf7,False,0,0,0,0,0,23,15,8,0
CHEMBL1075319,TRPM8,SEQ:b752efca239d6c441dadf5c0a7bb5e4a9500b78108fb7bafa7604d2ee58898cc,False,0,7,0,7,6,658,509,149,6
CHEMBL1163124,MAP3K13,SEQ:4b73868ce025017dbd7dc7c6e3d898657ae4faf8dd559c654aec1cb4c86901db,False,0,186,66,120,81,345,121,224,81
CHEMBL1169596,ARAF,SEQ:39ad43cf31421ee66dcea16ed6c270c50e9b75b9984e56a6806f208b39ce4fe8,False,0,192,1,191,190,248,55,193,190
CHEMBL1250375,NOX4,SEQ:45ea878aa8f308e6bac27bbe1c4e2dfa0945622116e9bc1f92526df3e6a9bc72,False,0,82,60,22,8,213,168,45,8
CHEMBL1250417,HCN4,SEQ:9c3188b073b9e98d1564288ad72c38251639f58ffa45500df86cfcc08355c99f,False,0,0,0,0,0,32,7,25,0
CHEMBL1255163,PORCN,SEQ:b2c990ba31b043f2e3029746535efd35e18656597c027a86068758bb928430d4,False,0,0,0,0,0,44,41,3,0
CHEMBL1287628,NOX1,SEQ:87dbdcd6bb922f6c07c087bedb6707d8d54078cc3912c82ea227236f19974349,False,0,86,77,9,1,194,84,110,1
CHEMBL1628478,CLCN2,SEQ:7756423b3cb4a3ce6ad2f3dba705c7a6aa3804e8306021e09b6040c2b2f4a110,False,0,0,0,0,0,21,3,18,0
CHEMBL1641347,SLC22A6,SEQ:f4530393413bef6fed4161594ee08a4d063a4dcbc1b9ce61a747fd299e1ee5de,False,0,4,0,4,0,25,2,23,0
CHEMBL1641348,SLC22A8,SEQ:2d18ac9566390f8e8a70ccbb95841c3aa5c4e4c5fd088d59fd7e1ac28d693c44,False,0,6,0,6,0,17,3,14,0
CHEMBL1641353,POLR2A,SEQ:dbd82d02d7916602a7d14fb2d0202917b489aaff347393d7bc526bb025176d83,False,0,1,1,0,0,3,1,2,0
CHEMBL1744522,EPAS1,SEQ:bc397cc8eb78693a226a23c89a09eb3c0054deef0ef8c9cae74b11a491fad1df,False,0,89,62,27,4,350,247,103,4
CHEMBL1744525,NAMPT,SEQ:3e723e9b939c852d117a2a4862213f89c492ff4b6056a25176e677a8fd066a27,False,0,95,67,28,5,4134,3577,557,5
CHEMBL1781,TOP1,SEQ:fa554cc87a32d58ec860310b47bd8ba0682f5a1f4dee892685283f4289b12e2e,False,0,9,2,7,7,382,109,273,7
CHEMBL1781870,INPP5D,SEQ:6162b17907607d9b41ec56d5672c104c2596dc26c9f5638e327985ddd21a0499,False,0,0,0,0,0,12,0,12,0
CHEMBL1782,FDPS,SEQ:265d3e283924e8ac4ea8bc436c687772d97f9703fd677b466a605ac7f1a560d7,True,1,65,61,4,0,315,175,140,0
CHEMBL1786,IMPA1,SEQ:8dfa317b0c2b7bd7a20857e127c506e04e100a0b3cd0045d906de2ee961ac21f,False,0,0,0,0,0,0,0,0,0
CHEMBL1795116,PRMT5,SEQ:426a120e9105502534446b6b2f93d80918127f6d0a708f46a005683d0db7c88e,False,0,22,6,16,6,1258,1060,198,6
CHEMBL1801,PLG,SEQ:082ef6cfa8a9d5c17782cc036623a4c0ece915fc6a420e54678ff55dab70b98e,False,0,425,165,260,14,777,314,463,14
CHEMBL1806,TOP2A,SEQ:761da99e636939921184b716e7ba5e440765a070c13385f413f8172c5649afbc,False,0,171,2,169,168,527,25,502,168
CHEMBL1808,ACE,SEQ:9b90c234c007ae25d011f573a0deccfd96ca908b193a043413120f802384f402,True,7,92,46,46,16,229,109,120,16
CHEMBL1812,PNLIP,SEQ:8e144ac7eadb8b0b53e0e195deec103c4626a452c2e9d6b3d76b1590d2ef1112,False,0,1,0,1,0,30,2,28,0
CHEMBL1822,IMPDH1,SEQ:57bf41a20daca07077287ad2d41a3724e4370a8a0d0136404bf44a32b2c14b91,False,0,60,51,9,0,92,68,24,0
CHEMBL1824,ERBB2,SEQ:a5f256fc653515d110f6dd48ad55b8ea21bf6d45af33b7f5c182c6c31455b636,True,2,176,23,153,111,2305,1802,503,111
CHEMBL1827,PDE5A,SEQ:c5b3e22fca3e7eb5509db07f615e1e9cfb78fbfb82b25c1541f882b2613f56a3,True,2,97,79,18,10,1503,1230,273,10
CHEMBL1829,HDAC3,SEQ:9d0bf140dd3e9610a05d0391d0b3076177bb6c5932d4b003e913cd9bfb378d81,False,0,59,50,9,5,2066,1517,549,5
CHEMBL1835,TBXAS1,SEQ:2527e74d770f31ba23b27e94f47140ab3b881c5f75f5f675cd15269c21c43def,False,0,11,0,11,8,337,276,61,8
CHEMBL1839,TPO,SEQ:5ef0edb0ae15eab922119f2b67389d5724f897d5a6430209a7fc299242e56d98,False,0,0,0,0,0,38,16,22,0
CHEMBL1841,FYN,SEQ:a25f82cd1b4be74e9b43bdc43c058fe9ce987dc011b712f1ce43a21e4d45d0a4,True,1,326,37,289,273,704,275,429,273
CHEMBL1843,DDC,SEQ:b58d47b64e57c2bcc0ce08c90525cc9827590c4c915163a5664c66f25057eb86,False,0,2,0,2,2,17,0,17,2
CHEMBL1844,CSF1R,SEQ:52b1cbc0ca3474810cb7949467e3a5a2851350643eb734f1c33aaca65b4a6fe4,True,3,173,57,116,91,2284,2091,193,91
CHEMBL1846,RYR1,SEQ:13ec7d20623e4c991345c6e854938a42b0c3ba3acffa421ee016a700bcc189ef,False,0,1,1,0,0,3,1,2,0
CHEMBL1847,GABRB3,SEQ:7f10a0276ca0f6917022cb3000efe665000389079d05be3da18888261d53eba2,False,0,12,12,0,0,14,14,0,0
CHEMBL1856,SRD5A2,SEQ:7be15bef7aeb161cc050a294e7a4a2e1f70cd9358f41b59831a41a435a20ebed,False,0,52,29,23,19,184,151,33,19
CHEMBL1859,CACNA1H,SEQ:a64a69646209bd7078de92ee938caf58bd2616e8e36c85917fc353526695ee56,False,0,2,0,2,1,723,464,259,1
CHEMBL1861,HPD,SEQ:11e560a685bf1b104cc898e25b632bc4bd7d8e027955f2d7e663ee781abe6ae5,False,0,45,45,0,0,108,108,0,0
CHEMBL1862,ABL1,SEQ:bf5ccc817349256c1c2f16dd66d61bfcd29ac4897fdead01d85e01cd84e33670,True,1,780,496,284,257,2470,1796,674,257
CHEMBL1865,HDAC6,SEQ:9a7fa3c16640c215ee56fb067330853d5928b50181834259d9e00abb24e9b751,False,0,178,77,101,41,6167,5131,1036,41
CHEMBL1868,FLT1,SEQ:cabcd0382ed2f6481aa338d4235c57b559cc4d1a254f9c9aae6c341230ecaa90,True,2,274,143,131,103,1153,753,400,103
CHEMBL1871,AR,SEQ:043f80df5b673d9048e118735cb0230b0baaa23f788c3bae0010f9995412d852,True,7,726,610,116,80,2081,1551,530,80
CHEMBL1873,PLAT,SEQ:4d29fd09ba426cc617b6e576d98a128ec8eacdad5c5c1704381f32f5b0963348,False,0,219,42,177,0,670,391,279,0
CHEMBL1874,SLC12A1,SEQ:da02982123f1f4c22734b86851c507afb751568922ebc5feb52d3c74a9e37d6a,False,0,0,0,0,0,0,0,0,0
CHEMBL1876,SLC12A3,SEQ:88a8c1a1f2cf753a5c462e5f24930bbc0dd9ff72cc88a4aafa5800d2e014f52f,False,0,0,0,0,0,0,0,0,0
CHEMBL1886,KCNJ11,SEQ:607eea43ecd23c2d43d7d12cc6f26edfeb0c9ab22a17b1d09c9281e301ed99c7,False,0,0,0,0,0,16,11,5,0
CHEMBL1893,SLC18A2,SEQ:0b6a052b9555faa3d4d4664f357b23e5ca0f6f71a459d41757d4b10000fce676,False,0,133,128,5,0,134,129,5,0
CHEMBL1899,HTR3A,SEQ:ce82cc02fd301ba6e478be5129ef6dd8f51452ce094b362910739b89e26b4995,False,0,672,270,402,250,978,487,491,250
CHEMBL1900,AKR1B1,SEQ:ea6689b6c8edb306fc5da3e16dba9d7362e6e517d15f469c38e5c4fb8858d27f,False,0,15,11,4,0,588,425,163,0
CHEMBL1902,FKBP1A,SEQ:7c2c9a4005a08f9f8ed2ce2e3b7d9432dd39547abafef80ffab6adbb89753b2c,True,10,360,248,112,1,431,310,121,1
CHEMBL1903,SLC6A1,SEQ:9061011260b9d045e365e5402f4e150b7e1bc166a21b6dcd06b0d24f3294833e,False,0,56,43,13,0,129,50,79,0
CHEMBL1906,RAF1,SEQ:cccfc1d98eae3098eabc4172a1261029642e3f31e5bbc317cc8a820a75086f1d,False,0,355,238,117,94,1967,1745,222,94
CHEMBL1908,CYP11B1,SEQ:8759d02877c2edf1cd747fc987a8e5230be180fb1e10bb4f5b2db0e8fdcf9319,True,3,0,0,0,0,1418,1194,224,0
CHEMBL1908389,MAP3K12,SEQ:b43db80f7a2a9a1a5499909e2cd5fab0a2376b5a8fb9dfbe694828f9de6e91fa,False,0,364,246,118,84,400,280,120,84
CHEMBL1910,ADA,SEQ:f4124bbcd051f8182a69fa8eb7767b80cfc460fdd1a01eb6e8567315f1bc4b97,False,0,11,4,7,0,163,156,7,0
CHEMBL1911,ALDH5A1,SEQ:75d56b10a2333553c758f86a0f55199fce32b36120f166f2fca7fe1365931dbb,False,0,0,0,0,0,1,0,1,0
