scope,direction,model,queries,ap,auroc,precision_at_5,prevalence
all_kdki,drug_to_target,A,54.0,0.5760242701953874,0.7955771247626314,0.5481481481481482,0.3402651279753544
all_kdki,drug_to_target,A_target_prior,54.0,0.45702529243036477,0.7283256096294727,,0.3402651279753544
all_kdki,drug_to_target,B,54.0,0.5604232331910474,0.769483926278645,0.5222222222222223,0.3402651279753544
all_kdki,drug_to_target,B_target_prior,54.0,0.4397656107997343,0.728456352842876,,0.3402651279753544
all_kdki,drug_to_target,old_neural,54.0,0.5002472092459455,0.5760254373757955,0.4777777777777778,0.3402651279753544
all_kdki,target_to_drug,A,516.0,0.6795512529037605,0.7656824007335729,0.6257105943152456,0.47875959911137816
all_kdki,target_to_drug,A_target_prior,516.0,0.47875959911137816,0.5,,0.47875959911137816
all_kdki,target_to_drug,B,516.0,0.658396663511089,0.7413313073923206,0.6019379844961241,0.47875959911137816
all_kdki,target_to_drug,B_target_prior,516.0,0.47875959911137816,0.5,,0.47875959911137816
all_kdki,target_to_drug,old_neural,516.0,0.8058570660595067,0.8038251617316484,0.6542635658914729,0.47875959911137816
catalog384_targets_old_pair_unseen,drug_to_target,A,5.0,0.4423796013946835,0.7416169468798731,0.30666666666666664,0.1418787973351868
catalog384_targets_old_pair_unseen,drug_to_target,A_target_prior,5.0,0.15893921156982807,0.46655798913224655,,0.1418787973351868
catalog384_targets_old_pair_unseen,drug_to_target,B,5.0,0.4531155876269539,0.7099280668807623,0.24,0.1418787973351868
catalog384_targets_old_pair_unseen,drug_to_target,B_target_prior,5.0,0.23067264646418253,0.5341042993188208,,0.1418787973351868
catalog384_targets_old_pair_unseen,drug_to_target,old_neural,5.0,0.6126172019180744,0.7629315375982043,0.28,0.1418787973351868
catalog384_targets_old_pair_unseen,target_to_drug,A,65.0,0.9049212127320515,0.8895255656840134,0.8553846153846153,0.6092346415468233
catalog384_targets_old_pair_unseen,target_to_drug,A_target_prior,65.0,0.6092346415468233,0.5,,0.6092346415468233
catalog384_targets_old_pair_unseen,target_to_drug,B,65.0,0.8863071815129261,0.8735486917325069,0.8492307692307692,0.6092346415468233
catalog384_targets_old_pair_unseen,target_to_drug,B_target_prior,65.0,0.6092346415468233,0.5,,0.6092346415468233
catalog384_targets_old_pair_unseen,target_to_drug,old_neural,65.0,0.8259049286981488,0.8071790061772023,0.7907692307692308,0.6092346415468233
catalog720_drugs_old_pair_unseen,drug_to_target,A,5.0,0.38534982901918235,0.7871476185386639,0.5733333333333334,0.09366218625723115
