pair_id,ligand_inchikey,drug_names,target_chembl_id,gene_symbol,sequence_target_id,in_frozen384,in_frozen112,wetlab_pairs,A_train_pairs,A_train_positive,A_train_negative,A_explicit_inactive,B_train_pairs,B_train_positive,B_train_negative,B_explicit_inactive,排序,A药内排名_384,B药内排名_384
CSKDFZIMJXRJGH-VWLPUNTISA-N__CHEMBL1871,CSKDFZIMJXRJGH-VWLPUNTISA-N,tecovirimat,CHEMBL1871,AR,SEQ:043f80df5b673d9048e118735cb0230b0baaa23f788c3bae0010f9995412d852,True,True,7,726,610,116,80,2081,1551,530,80,1,13,120
IVBHGBMCVLDMKU-GXNBUGAJSA-N__CHEMBL261,IVBHGBMCVLDMKU-GXNBUGAJSA-N,piperacillin,CHEMBL261,CA1,SEQ:5862305c8302b2d7dd9de31f34102a1220d9099d9f6f7b961610ed4337934880,True,True,4,5041,3686,1355,2,5171,3738,1433,2,2,19,22
DRHKJLXJIQTDTD-OAHLLOKOSA-N__CHEMBL3729,DRHKJLXJIQTDTD-OAHLLOKOSA-N,tamsulosin,CHEMBL3729,CA4,SEQ:62f5e1881b0efc28f2f60c2972f6226477c26b841e00762613f38246a2677974,True,True,10,1001,798,203,1,1030,827,203,1,3,53,64
BQJCRHHNABKAKU-KBQPJGBKSA-N__CHEMBL2326,BQJCRHHNABKAKU-KBQPJGBKSA-N,morphine,CHEMBL2326,CA7,SEQ:e4a9ea745635c950475641c84676edde20d12f8fc62fb2c5df55eabe66448254,True,True,10,1158,1068,90,0,1159,1068,91,0,4,8,69
ZBMZVLHSJCTVON-UHFFFAOYSA-N__CHEMBL1994,ZBMZVLHSJCTVON-UHFFFAOYSA-N,sotalol,CHEMBL1994,NR3C2,SEQ:cc3ab1bd86da746c869394db023aa68c2e557d769f04f80ee36b584a8929621c,True,True,10,130,114,16,2,584,496,88,2,5,100,28
SGUAFYQXFOLMHL-UHFFFAOYSA-N__CHEMBL1944,SGUAFYQXFOLMHL-UHFFFAOYSA-N,labetalol,CHEMBL1944,MME,SEQ:1a916537b7b555892eb6262b941745a4bee0eec5d0d65b73609e69a3a5ace44f,True,True,10,318,300,18,8,462,423,39,8,6,132,188
BPZSYCZIITTYBL-YJYMSZOUSA-N__CHEMBL2252,BPZSYCZIITTYBL-YJYMSZOUSA-N,arformoterol,CHEMBL2252,CTSC,SEQ:11218c4d9b56cea287841837e6126434a6d3e34733904e87928c45e26a9e6beb,True,True,8,1,0,1,0,298,267,31,0,7,185,68
SMOBCLHAZXOKDQ-ZJUUUORDSA-N__CHEMBL4073,SMOBCLHAZXOKDQ-ZJUUUORDSA-N,relebactam,CHEMBL4073,MMP7,SEQ:0979d0f16275fb9831c003699f0d784233dfefee41a6be01942a90b08379d9d0,True,True,4,73,33,40,7,253,129,124,7,8,116,147
BPQMGSKTAYIVFO-UHFFFAOYSA-N__CHEMBL2815,BPQMGSKTAYIVFO-UHFFFAOYSA-N,vismodegib,CHEMBL2815,NTRK1,SEQ:c17cbbd68c27235daefe2b9862da81fedd3a349c2589358be6a4b8f13cd12b63,True,True,2,328,69,259,243,3481,3091,390,243,9,376,81
IUBSYMUCCVWXPE-UHFFFAOYSA-N__CHEMBL3729,IUBSYMUCCVWXPE-UHFFFAOYSA-N,metoprolol,CHEMBL3729,CA4,SEQ:62f5e1881b0efc28f2f60c2972f6226477c26b841e00762613f38246a2677974,True,True,10,1001,798,203,1,1030,827,203,1,10,62,12
FBOUYBDGKBSUES-VXKWHMMOSA-N__CHEMBL2326,FBOUYBDGKBSUES-VXKWHMMOSA-N,solifenacin,CHEMBL2326,CA7,SEQ:e4a9ea745635c950475641c84676edde20d12f8fc62fb2c5df55eabe66448254,True,True,10,1158,1068,90,0,1159,1068,91,0,11,5,111
UJVDJAPJQWZRFR-DHIUTWEWSA-N__CHEMBL1808,UJVDJAPJQWZRFR-DHIUTWEWSA-N,macimorelin,CHEMBL1808,ACE,SEQ:9b90c234c007ae25d011f573a0deccfd96ca908b193a043413120f802384f402,True,True,7,92,46,46,16,229,109,120,16,12,255,125
BRUQQQPBMZOVGD-XFKAJCMBSA-N__CHEMBL2326,BRUQQQPBMZOVGD-XFKAJCMBSA-N,oxycodone,CHEMBL2326,CA7,SEQ:e4a9ea745635c950475641c84676edde20d12f8fc62fb2c5df55eabe66448254,True,True,10,1158,1068,90,0,1159,1068,91,0,13,3,20
JVLBPIPGETUEET-WIXLDOGYSA-O__CHEMBL1902,JVLBPIPGETUEET-WIXLDOGYSA-O,methylnaltrexone,CHEMBL1902,FKBP1A,SEQ:7c2c9a4005a08f9f8ed2ce2e3b7d9432dd39547abafef80ffab6adbb89753b2c,True,True,10,360,248,112,1,431,310,121,1,14,23,23
UEJJHQNACJXSKW-UHFFFAOYSA-N__CHEMBL2085,UEJJHQNACJXSKW-UHFFFAOYSA-N,thalidomide,CHEMBL2085,MIF,SEQ:6fcd7510546f6916475197b4cc685730be47749ee22261b24813a38c97516602,True,True,2,125,74,51,13,270,117,153,13,15,294,186
YFGHCGITMMYXAQ-LJQANCHMSA-N__CHEMBL1994,YFGHCGITMMYXAQ-LJQANCHMSA-N,armodafinil,CHEMBL1994,NR3C2,SEQ:cc3ab1bd86da746c869394db023aa68c2e557d769f04f80ee36b584a8929621c,True,True,10,130,114,16,2,584,496,88,2,16,7,24
HSUGRBWQSSZJOP-RTWAWAEBSA-N__CHEMBL286,HSUGRBWQSSZJOP-RTWAWAEBSA-N,diltiazem,CHEMBL286,REN,SEQ:fcfb09a6bd3571f67e1a10ecdcd3005e00f3bd03a7e392bbe0ad742723ca029f,True,True,10,33,26,7,3,1004,918,86,3,17,242,81
