task,earliest_evidence_year_band,task_rows,positive,rows_with_missing_year_records
ACTIVITY_EC50,2025,1865,1493,473
ACTIVITY_EC50,2026_or_later,427,281,0
ACTIVITY_EC50,through_2024,100408,70398,1073
ACTIVITY_EC50,unknown,121,52,121
ACTIVITY_IC50,2025,28574,24060,4028
ACTIVITY_IC50,2026_or_later,7783,6903,0
ACTIVITY_IC50,through_2024,683795,509826,12277
ACTIVITY_IC50,unknown,1231,708,1231
AFFINITY_KD_KI,2025,4876,3979,788
AFFINITY_KD_KI,2026_or_later,388,320,0
AFFINITY_KD_KI,through_2024,281715,184578,3150
AFFINITY_KD_KI,unknown,317,251,317
ANNOTATED_INACTIVITY,2025,220,0,0
ANNOTATED_INACTIVITY,through_2024,46383,0,0
