排序,小分子药物名称,新靶点名称,当前实验建议,pair_id,historical_neural_only_rank384,chemical_neighbor_only_rank384,historical_neural_plus_chemical_rank384,historical_neural_plus_prior_rank384,original_complete_combination_rank384
1,tecovirimat,AR — Androgen receptor,仍可探索,CSKDFZIMJXRJGH-VWLPUNTISA-N__CHEMBL1871,33,1,1,76,1
2,piperacillin,CA1 — Carbonic anhydrase 1,仍可探索,IVBHGBMCVLDMKU-GXNBUGAJSA-N__CHEMBL261,137,1,1,180,1
3,tamsulosin,CA4 — Carbonic anhydrase 4,仍可探索,DRHKJLXJIQTDTD-OAHLLOKOSA-N__CHEMBL3729,2,1,1,9,1
4,morphine,CA7 — Carbonic anhydrase 7,仍可探索,BQJCRHHNABKAKU-KBQPJGBKSA-N__CHEMBL2326,17,8,3,5,1
5,sotalol,NR3C2 — Mineralocorticoid receptor,仍可探索,ZBMZVLHSJCTVON-UHFFFAOYSA-N__CHEMBL1994,1,1,1,1,1
6,labetalol,MME — Neprilysin,仍可探索,SGUAFYQXFOLMHL-UHFFFAOYSA-N__CHEMBL1944,49,4,2,12,1
7,arformoterol,CTSC — Dipeptidyl peptidase 1,仍可探索,BPZSYCZIITTYBL-YJYMSZOUSA-N__CHEMBL2252,1,101,3,1,1
8,relebactam,MMP7 — Matrilysin,仍可探索,SMOBCLHAZXOKDQ-ZJUUUORDSA-N__CHEMBL4073,5,12,1,6,1
9,vismodegib,NTRK1 — High affinity nerve growth factor receptor,仍可探索,BPQMGSKTAYIVFO-UHFFFAOYSA-N__CHEMBL2815,7,2,1,29,2
10,metoprolol,CA4 — Carbonic anhydrase 4,仍可探索,IUBSYMUCCVWXPE-UHFFFAOYSA-N__CHEMBL3729,32,3,1,40,2
11,solifenacin,CA7 — Carbonic anhydrase 7,仍可探索,FBOUYBDGKBSUES-VXKWHMMOSA-N__CHEMBL2326,4,3,2,1,2
12,macimorelin,ACE — Angiotensin-converting enzyme,仍可探索,UJVDJAPJQWZRFR-DHIUTWEWSA-N__CHEMBL1808,86,1,1,98,2
13,oxycodone,CA7 — Carbonic anhydrase 7,仍可探索,BRUQQQPBMZOVGD-XFKAJCMBSA-N__CHEMBL2326,3,43,3,1,2
14,methylnaltrexone,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,仍可探索,JVLBPIPGETUEET-WIXLDOGYSA-O__CHEMBL1902,8,42,4,5,2
15,thalidomide,MIF — Macrophage migration inhibitory factor,仍可探索,UEJJHQNACJXSKW-UHFFFAOYSA-N__CHEMBL2085,28,3,2,129,2
16,armodafinil,NR3C2 — Mineralocorticoid receptor,仍可探索,YFGHCGITMMYXAQ-LJQANCHMSA-N__CHEMBL1994,22,4,1,10,2
17,diltiazem,REN — Renin,仍可探索,HSUGRBWQSSZJOP-RTWAWAEBSA-N__CHEMBL286,3,42,2,4,2
18,upadacitinib,PRKCB — Protein kinase C beta type,仍可探索,WYQFJHHDOKWSHR-MNOVXSKESA-N__CHEMBL3045,2,19,2,5,2
19,carglumic acid,MMP12 — Macrophage metalloelastase,仍可探索,LCQLHJZYVOQKHU-VKHMYHEASA-N__CHEMBL4393,28,7,4,17,3
20,diazoxide,CSF1R — Macrophage colony-stimulating factor 1 receptor,仍可探索,GDLBFKVLRPITMI-UHFFFAOYSA-N__CHEMBL1844,5,3,1,22,3
21,lenalidomide,AXL — Tyrosine-protein kinase receptor UFO,仍可探索,GOTYRUGSSMKFNF-UHFFFAOYSA-N__CHEMBL4895,375,1,3,338,3
22,ixabepilone,CSF1R — Macrophage colony-stimulating factor 1 receptor,仍可探索,FABUFPQFXZVHFB-PVYNADRNSA-N__CHEMBL1844,8,3,1,15,3
23,esketamine,GSK3A — Glycogen synthase kinase-3 alpha,仍可探索,YQEZLKZALYSWHR-ZDUSSCGKSA-N__CHEMBL2850,11,9,2,10,3
24,ibuprofen,CA4 — Carbonic anhydrase 4,仍可探索,HEFNNWSXXWATRW-UHFFFAOYSA-N__CHEMBL3729,204,3,4,119,4
25,lisinopril,REN — Renin,仍可探索,RLAWWYSOJDYHDC-BZSNNMDCSA-N__CHEMBL286,45,6,5,36,4
26,apixaban,FLT3 — Receptor-type tyrosine-protein kinase FLT3,仍可探索,QNZCBYKSOIHPEH-UHFFFAOYSA-N__CHEMBL1974,11,6,3,26,4
27,nimodipine,CA7 — Carbonic anhydrase 7,仍可探索,UIAGMCDKSXEBJQ-UHFFFAOYSA-N__CHEMBL2326,14,32,7,2,4
28,etravirine,FLT3 — Receptor-type tyrosine-protein kinase FLT3,仍可探索,PYGWGZALEOIKDF-UHFFFAOYSA-N__CHEMBL1974,52,3,3,112,4
29,darunavir,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,仍可探索,CJBJHOAVZSMMDJ-HEXNFIEUSA-N__CHEMBL1902,162,2,6,113,4
30,bupivacaine,CTSC — Dipeptidyl peptidase 1,仍可探索,LEBVLXFERQHONN-UHFFFAOYSA-N__CHEMBL2252,3,155,16,1,4
31,belzutifan,PGR — Progesterone receptor,仍可探索,LOMMPXLFBTZENJ-ZACQAIPSSA-N__CHEMBL208,3,9,2,24,4
32,oxaprozin,FAAH — Fatty-acid amide hydrolase 1,仍可探索,OFPXSFXSNFPTHF-UHFFFAOYSA-N__CHEMBL2243,8,3,1,39,4
33,cobimetinib,PARP2 — Poly [ADP-ribose] polymerase 2,仍可探索,BSMCAPRUBJMWDF-KRWDZBQOSA-N__CHEMBL5366,27,12,4,17,4
34,lumateperone,COMT — Catechol O-methyltransferase,仍可探索,HOIIHACBCFLJET-SFTDATJTSA-N__CHEMBL2023,2,72,8,2,4
35,tafamidis,RARB — Retinoic acid receptor beta,仍可探索,TXEIIPDJKFWEEC-UHFFFAOYSA-N__CHEMBL2008,2,16,6,5,4
36,pregabalin,MME — Neprilysin,仍可探索,AYXYPKUFHZROOJ-ZETCQYMHSA-N__CHEMBL1944,39,16,15,21,5
37,cabotegravir,"ALDH2 — Aldehyde dehydrogenase, mitochondrial",仍可探索,WCWSTNLSLKSJPK-LKFCYVNXSA-N__CHEMBL1935,4,10,3,31,5
38,pacritinib,CA7 — Carbonic anhydrase 7,仍可探索,HWXVIOGONBBTBY-ONEGZZNKSA-N__CHEMBL2326,3,42,10,4,5
39,bictegravir,MET — Hepatocyte growth factor receptor,仍可探索,SOLUWJRYJLAZCX-LYOVBCGYSA-N__CHEMBL3717,61,2,2,132,5
40,rimegepant,REN — Renin,仍可探索,KRNAOFGYEFKHPB-ANJVHQHFSA-N__CHEMBL286,56,9,7,36,5
41,calcipotriene,NR3C2 — Mineralocorticoid receptor,仍可探索,LWQQLNNNIPYSNX-UROSTWAQSA-N__CHEMBL1994,19,30,11,5,5
42,olanzapine,DYRK1A — Dual specificity tyrosine-phosphorylation-regulated kinase 1A,仍可探索,KVWDHTXUZHCGIO-UHFFFAOYSA-N__CHEMBL2292,18,8,2,45,5
43,avibactam,MMP8 — Neutrophil collagenase,仍可探索,NDCUAPJVLWFHHB-UHNVWZDZSA-N__CHEMBL4588,13,5,3,24,5
44,tapentadol,ESR1 — Estrogen receptor,仍可探索,KWTWDQCKEHXFFR-SMDDNHRTSA-N__CHEMBL206,3,30,3,8,5
45,lubiprostone,AR — Androgen receptor,仍可探索,WGFOBBZOWHGYQH-MXHNKVEKSA-N__CHEMBL1871,8,9,1,29,6
