drug_names,ligand_inchikey,gene_symbol,target_chembl_id
midostaurin,BMGQWWVMWDBQGC-IIFHNQTCSA-N,PRKCB,CHEMBL3045
dexrazoxane,BMKDZUISNHGIBY-ZETCQYMHSA-N,TOP2A,CHEMBL1806
aspirin,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,PTGS2,CHEMBL230
pazopanib,CUIHSIWYWATEQL-UHFFFAOYSA-N,LCK,CHEMBL258
fosphenytoin,CXOFVDLJLONNDW-UHFFFAOYSA-N,SCN4A,CHEMBL2072
fosphenytoin,CXOFVDLJLONNDW-UHFFFAOYSA-N,SCN2A,CHEMBL4187
carbamazepine,FFGPTBGBLSHEPO-UHFFFAOYSA-N,SCN5A,CHEMBL1980
carbamazepine,FFGPTBGBLSHEPO-UHFFFAOYSA-N,SCN4A,CHEMBL2072
carbamazepine,FFGPTBGBLSHEPO-UHFFFAOYSA-N,SCN9A,CHEMBL4296
regorafenib,FNHKPVJBJVTLMP-UHFFFAOYSA-N,NTRK1,CHEMBL2815
regorafenib,FNHKPVJBJVTLMP-UHFFFAOYSA-N,FRK,CHEMBL4223
riluzole,FTALBRSUTCGOEG-UHFFFAOYSA-N,SCN4A,CHEMBL2072
riluzole,FTALBRSUTCGOEG-UHFFFAOYSA-N,SCN9A,CHEMBL4296
tranexamic acid,GYDJEQRTZSCIOI-LJGSYFOKSA-N,PLG,CHEMBL1801
ibuprofen,HEFNNWSXXWATRW-UHFFFAOYSA-N,PTGS2,CHEMBL230
centanafadine,HKHCSWPSUSWGLI-CABCVRRESA-N,SLC6A4,CHEMBL228
pralidoxime,JBKPUQTUERUYQE-UHFFFAOYSA-O,ACHE,CHEMBL220
quinidine,LOUPRKONTZGTKE-LHHVKLHASA-N,SCN5A,CHEMBL1980
quinidine,LOUPRKONTZGTKE-LHHVKLHASA-N,SCN2A,CHEMBL4187
choline fenofibrate;fenofibrate,MQOBSOSZFYZQOK-UHFFFAOYSA-N,PPARA,CHEMBL239
lidocaine,NNJVILVZKWQKPM-UHFFFAOYSA-N,SCN5A,CHEMBL1980
lidocaine,NNJVILVZKWQKPM-UHFFFAOYSA-N,SCN9A,CHEMBL4296
lidocaine,NNJVILVZKWQKPM-UHFFFAOYSA-N,SCN3A,CHEMBL5163
ezogabine,PCOBBVZJEWWZFR-UHFFFAOYSA-N,KCNQ2,CHEMBL2476
deutivacaftor;ivacaftor,PURKAOJPTOLRMP-UHFFFAOYSA-N,CFTR,CHEMBL4051
lamotrigine,PYZRQGJRPPTADH-UHFFFAOYSA-N,SCN5A,CHEMBL1980
lamotrigine,PYZRQGJRPPTADH-UHFFFAOYSA-N,SCN4A,CHEMBL2072
lamotrigine,PYZRQGJRPPTADH-UHFFFAOYSA-N,SCN2A,CHEMBL4187
lamotrigine,PYZRQGJRPPTADH-UHFFFAOYSA-N,SCN9A,CHEMBL4296
lamotrigine,PYZRQGJRPPTADH-UHFFFAOYSA-N,SCN3A,CHEMBL5163
lamotrigine,PYZRQGJRPPTADH-UHFFFAOYSA-N,SCN10A,CHEMBL5451
chenodiol,RUDATBOHQWOJDD-BSWAIDMHSA-N,NR1H4,CHEMBL2047
lumacaftor,UFSKUSARDNFIRC-UHFFFAOYSA-N,CFTR,CHEMBL4051
vandetanib,UHTHHESEBZOYNR-UHFFFAOYSA-N,ERBB2,CHEMBL1824
vandetanib,UHTHHESEBZOYNR-UHFFFAOYSA-N,EPHA2,CHEMBL2068
miglustat,UQRORFVVSGFNRO-UTINFBMNSA-N,UGCG,CHEMBL2063
etoposide,VJJPUSNTGOMMGY-MRVIYFEKSA-N,TOP2A,CHEMBL1806
tovorafenib,VWMJHAFYPMOMGF-ZCFIWIBFSA-N,ARAF,CHEMBL1169596
momelotinib,ZVHNDZWQTBEVRY-UHFFFAOYSA-N,ACVR1,CHEMBL5903
vamorolone,ZYTXTXAMMDTYDQ-DGEXFFLYSA-N,NR3C1,CHEMBL2034
