panel,scope,head,pairs,positive,negative,auroc,ap,top1pct_precision,top5pct_precision
AFFINITY_KD_KI,all,0,34327,23190,11137,0.7919299919931707,0.8886197038014367,0.997093023255814,0.9906814210832848
AFFINITY_KD_KI,all,1,34327,23190,11137,0.790470202487712,0.8877178202904975,0.9941860465116279,0.9877693651718114
AFFINITY_KD_KI,old_train_pair_seen,0,6888,5116,1772,0.995111715204987,0.9979205574446788,1.0,1.0
AFFINITY_KD_KI,old_train_pair_seen,1,6888,5116,1772,0.9948041222420874,0.9973677294791801,1.0,0.9971014492753624
AFFINITY_KD_KI,old_train_pair_unseen,0,27439,18074,9365,0.7214612424770186,0.8227727304504332,0.9890909090909091,0.9402332361516035
AFFINITY_KD_KI,old_train_pair_unseen,1,27439,18074,9365,0.7192665396887364,0.8223445394002078,0.9927272727272727,0.9387755102040817
AFFINITY_KD_KI,document_disjoint_new_training,0,503,331,172,0.7477077917515632,0.8642484683241222,1.0,1.0
AFFINITY_KD_KI,document_disjoint_new_training,1,503,331,172,0.7484279491322982,0.8646047455266921,1.0,1.0
ACTIVITY_IC50,all,0,85704,65173,20531,0.784968028537151,0.9182122305692879,0.9895104895104895,0.9806346243583761
ACTIVITY_IC50,all,1,85704,65173,20531,0.7829304793866644,0.9154900231667951,0.9708624708624709,0.9729351376574895
ACTIVITY_IC50,old_train_pair_seen,0,26696,23965,2731,0.9934510025949443,0.999070742808009,1.0,0.9992509363295881
ACTIVITY_IC50,old_train_pair_seen,1,26696,23965,2731,0.9932860788148957,0.9989941616228009,0.9962546816479401,0.9992509363295881
ACTIVITY_IC50,old_train_pair_unseen,0,59008,41208,17800,0.6727908708955825,0.8223626602458629,0.9407783417935702,0.9220603185360895
ACTIVITY_IC50,old_train_pair_unseen,1,59008,41208,17800,0.671626725420394,0.8199018845030996,0.9170896785109983,0.9095221958658082
ACTIVITY_IC50,document_disjoint_new_training,0,995,509,486,0.8136990952969997,0.8438895604811236,1.0,0.98
ACTIVITY_IC50,document_disjoint_new_training,1,995,509,486,0.813923451939169,0.8436996472084575,1.0,0.98
ACTIVITY_EC50,all,0,11957,8543,3414,0.5877523786248018,0.7866207741835705,0.95,0.9013377926421404
ACTIVITY_EC50,all,1,11957,8543,3414,0.587799437162743,0.7855959449445027,0.9333333333333333,0.8996655518394648
ACTIVITY_EC50,old_train_pair_seen,0,419,346,73,0.8484836487449522,0.9467319872903839,1.0,0.9523809523809523
ACTIVITY_EC50,old_train_pair_seen,1,419,346,73,0.8535711457755958,0.95020023631308,1.0,0.9523809523809523
ACTIVITY_EC50,old_train_pair_unseen,0,11538,8197,3341,0.5736221233069516,0.7726486509220636,0.9568965517241379,0.8890814558058926
ACTIVITY_EC50,old_train_pair_unseen,1,11538,8197,3341,0.5737788812217199,0.7715439712302962,0.9224137931034483,0.878682842287695
ACTIVITY_EC50,document_disjoint_new_training,0,188,166,22,0.7642387732749178,0.9507323302097066,1.0,1.0
ACTIVITY_EC50,document_disjoint_new_training,1,188,166,22,0.7599945235487404,0.9509658783765602,1.0,1.0
ALL_ENDPOINT_UNION,all,0,132331,93249,39082,0.800111520373384,0.9022316351865906,0.9894259818731118,0.9820160193441136
ALL_ENDPOINT_UNION,all,1,132331,93249,39082,0.7990291645428285,0.900001978259346,0.9735649546827795,0.9744597249508841
ALL_ENDPOINT_UNION,old_train_pair_seen,0,34017,28465,5552,0.9952780849478429,0.9988660209580691,1.0,0.9994121105232217
ALL_ENDPOINT_UNION,old_train_pair_seen,1,34017,28465,5552,0.9951009847778075,0.998710177512465,0.9970674486803519,0.9988242210464433
ALL_ENDPOINT_UNION,old_train_pair_unseen,0,98314,64784,33530,0.7086555045164376,0.8133256187917641,0.943089430894309,0.9241253051261188
ALL_ENDPOINT_UNION,old_train_pair_unseen,1,98314,64784,33530,0.7080029358797174,0.811613799915679,0.9278455284552846,0.9147681041497152
ALL_ENDPOINT_UNION,document_disjoint_new_training,0,4371,942,3429,0.932722891238029,0.8112595313409683,0.9772727272727273,0.9497716894977168
ALL_ENDPOINT_UNION,document_disjoint_new_training,1,4371,942,3429,0.9358436750607871,0.8128461393121904,0.9772727272727273,0.954337899543379
EXPLICIT_INACTIVE,all,0,10649,0,10649,,,0.0,0.0
EXPLICIT_INACTIVE,all,1,10649,0,10649,,,0.0,0.0
EXPLICIT_INACTIVE,old_train_pair_seen,0,2592,0,2592,,,0.0,0.0
EXPLICIT_INACTIVE,old_train_pair_seen,1,2592,0,2592,,,0.0,0.0
EXPLICIT_INACTIVE,old_train_pair_unseen,0,8057,0,8057,,,0.0,0.0
EXPLICIT_INACTIVE,old_train_pair_unseen,1,8057,0,8057,,,0.0,0.0
EXPLICIT_INACTIVE,document_disjoint_new_training,0,2788,0,2788,,,0.0,0.0
EXPLICIT_INACTIVE,document_disjoint_new_training,1,2788,0,2788,,,0.0,0.0
