query_id,candidate_id,rank,candidates
26,59,1,384
26,275,2,384
41,312,160,291
52,39,43,383
58,127,34,383
64,64,8,384
97,126,108,384
135,187,13,381
135,177,28,381
135,369,56,381
135,370,73,381
135,346,113,381
147,370,1,312
147,346,2,312
147,120,3,312
147,202,11,312
152,103,3,384
152,78,6,384
152,202,15,384
177,308,1,311
183,180,1,384
183,300,3,384
183,259,4,384
183,283,7,384
211,32,1,313
247,91,1,307
260,206,1,310
270,283,1,381
270,359,13,381
277,171,1,380
278,39,80,384
364,224,1,379
372,237,1,379
433,32,3,301
433,187,12,301
462,341,18,382
485,39,88,307
494,206,17,383
494,98,22,383
494,25,30,383
495,25,1,383
499,373,53,384
509,25,2,311
515,130,1,383
515,150,3,383
564,248,333,374
612,98,1,381
614,46,5,384
622,91,1,312
652,100,2,379
680,383,130,376
686,39,35,383
686,105,286,383
