query_id,candidate_id,rank,candidates
25,495,1,707
25,509,16,707
25,494,56,707
32,433,10,710
32,211,13,710
39,52,31,708
39,278,79,708
39,686,288,708
39,485,517,708
46,614,18,720
59,26,18,719
64,64,19,701
78,152,7,659
91,247,2,708
91,622,6,708
98,612,1,659
98,494,44,659
100,652,8,712
103,152,15,659
105,686,376,720
120,147,8,701
126,97,109,719
127,58,290,710
130,515,5,707
150,515,22,705
171,277,9,706
177,135,20,660
180,183,12,706
187,433,2,667
187,135,3,667
202,147,4,683
202,152,22,683
206,260,2,712
206,494,59,712
224,364,1,715
237,372,1,715
248,564,621,720
259,183,5,657
275,26,40,720
283,270,9,713
283,183,35,713
300,183,16,704
308,177,1,704
312,41,285,708
341,462,22,720
346,147,1,712
346,135,269,712
359,270,27,658
369,135,240,712
370,147,2,713
370,135,227,713
373,499,21,719
383,680,270,718
