drug_feature_index,ligand_inchikey,ligand_smiles,drug_names,on_bits,target_feature_index,panel_role,uniprot_accession,gene_symbol,protein_name,target_assay_family,experimental_positive_old_drug_name,experimental_positive_old_drug_inchikey,is_literature_experimental_positive,score_seed_20260816,score_seed_20260817,score_seed_20260818,score_seed_20260819,score_seed_20260820,biomaster_ensemble_score,biomaster_ensemble_logit,model_seed_std,rank_within_target_720,percentile_within_target_720,top_1_percent,top_5_percent,top_10
617,WIJZXSAJMHAVGX-DHLKQENFSA-N,N#Cc1ccnc(N2C(=O)CC[C@H]2C(=O)N(c2cncc(F)c2)[C@H](C(=O)NC2CC(F)(F)C2)c2ccccc2Cl)c1,ivosidenib,80,0,PRIMARY_SHOWCASE,Q99611,SEPHS2,Selenophosphate synthetase 2,enzyme,dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,False,0.8417678834347636,0.901490114276354,0.8367613850416618,0.8281245991049556,0.7702052653007462,0.8356698494316962,7.485403156280517,0.041745005236178113,1,1.0,True,True,True
463,QIVUCLWGARAQIO-OLIXTKCUSA-N,C[C@@H]1[C@H](c2c(F)ccc(F)c2F)C[C@H](NC(=O)c2cnc3c(c2)C[C@@]2(C3)C(=O)Nc3ncccc32)C(=O)N1CC(F)(F)F,atogepant,79,0,PRIMARY_SHOWCASE,Q99611,SEPHS2,Selenophosphate synthetase 2,enzyme,dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,False,0.8563013321372362,0.8295453385200401,0.829809662638508,0.8340075674564674,0.8031071331386613,0.8305542067781826,7.162406539916992,0.016910080879408367,2,0.9986091794158554,True,True,True
576,VCSUIBJKYCVWNF-NRFANRHFSA-N,CC1(C)C[C@@H]2CCCNc3cccc(n3)S(=O)(=O)NC(=O)c3ccc(-n4ccc(OCCC5C6(CC6)C56CC6)n4)nc3N1C2,vanzacaftor,78,0,PRIMARY_SHOWCASE,Q99611,SEPHS2,Selenophosphate synthetase 2,enzyme,dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,False,0.698169475563918,0.7749315127963355,0.838815538089098,0.8517277357492916,0.8769325147303026,0.8081153553857892,6.611694574356079,0.06445092126268251,3,0.9972183588317107,True,True,True
312,LMMJFBMMJUMSJS-UHFFFAOYSA-N,CNS(=O)(=O)Nc1nccc(Cc2c(C)c3ccc(Oc4ncccn4)cc3oc2=O)c1F,avutometinib,59,0,PRIMARY_SHOWCASE,Q99611,SEPHS2,Selenophosphate synthetase 2,enzyme,dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,False,0.7587344733001679,0.7642496974658908,0.7929748257875127,0.8207514370384125,0.8477076397242121,0.7968836146632392,6.164354515075684,0.03372940152801181,4,0.9958275382475661,True,True,True
117,DWYRIWUZIJHQKQ-SANMLTNESA-N,Cn1cc(-c2cc3c(N4CCN(c5ncc([C@@](C)(N)c6ccc(F)cc6)cn5)CC4)ncnn3c2)cn1,avapritinib,56,0,PRIMARY_SHOWCASE,Q99611,SEPHS2,Selenophosphate synthetase 2,enzyme,dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,False,0.8191378035111897,0.6254803493748119,0.8201283880921398,0.8289370234974744,0.8543535314979487,0.7896074191947129,6.132250070571899,0.08304233260329119,5,0.9944367176634215,True,True,True
38,BLIJXOOIHRSQRB-PXYINDEMSA-N,CC(O)c1cc(C(=O)N[C@@H](C)Cn2ccc(-c3ccc(C#N)c(Cl)c3)n2)n[nH]1,darolutamide,60,0,PRIMARY_SHOWCASE,Q99611,SEPHS2,Selenophosphate synthetase 2,enzyme,dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,False,0.8674563227531299,0.5056963692471047,0.8673850660343869,0.8462316857456229,0.8162275895664254,0.780599406669334,6.19460654258728,0.1387260018888158,6,0.9930458970792768,True,True,True
94,DDOOFTLHJSMHLN-ZQHRPCGSSA-N,C[C@@H]1[C@H](c2ccccc2)C[C@H](NC(=O)c2cnc3c(c2)C[C@@]2(C3)C(=O)Nc3ncccc32)C(=O)N1CC(F)(F)F,ubrogepant,75,0,PRIMARY_SHOWCASE,Q99611,SEPHS2,Selenophosphate synthetase 2,enzyme,dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,False,0.7782480910791799,0.689975145910754,0.8213414798636087,0.8176282038984886,0.7877580541580244,0.7789901949820112,5.696572208404541,0.047513434096144495,7,0.9916550764951322,True,True,True
378,NEQYWYXGTJDAKR-JTQLQIEISA-N,C[C@H](Nc1ccc(C#N)n(C)c1=O)c1cc2cc(Cl)ccc2[nH]c1=O,olutasidenib,50,0,PRIMARY_SHOWCASE,Q99611,SEPHS2,Selenophosphate synthetase 2,enzyme,dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,False,0.763683584559686,0.8327331176946333,0.8435506841689722,0.5410392214004245,0.8787080997299582,0.7719429415107347,6.036433386802673,0.12133149490274893,8,0.9902642559109874,True,True,True
121,DYLUUSLLRIQKOE-UHFFFAOYSA-N,CC(C)(O)CNc1nc(Nc2ccnc(C(F)(F)F)c2)nc(-c2cccc(C(F)(F)F)n2)n1,enasidenib,50,0,PRIMARY_SHOWCASE,Q99611,SEPHS2,Selenophosphate synthetase 2,enzyme,dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,False,0.64910234305653,0.8982687784032638,0.839705031653298,0.7915976172465247,0.652498245760449,0.7662344032240131,5.763538885116577,0.10013005056423015,9,0.9888734353268428,False,True,True
161,GHILNKWBALQPDP-UHFFFAOYSA-N,N#Cc1cccc(-c2ccc3ncc(-c4cc(F)cc(F)c4)c(N4CCC(N)CC4)c3c2)c1O,paltusotine,57,0,PRIMARY_SHOWCASE,Q99611,SEPHS2,Selenophosphate synthetase 2,enzyme,dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,False,0.8117883100122347,0.769687093111845,0.8441143510178591,0.5390299566489145,0.8523215372900315,0.7633882496161769,5.726399946212768,0.11588331890561657,10,0.9874826147426982,False,True,True
