partition,head,rows,positives,prevalence,target_groups_with_both_classes,target_macro_auprc,target_macro_auroc,micro_auprc,micro_auroc
DEVELOPMENT_FOLDS_0_2,BINARY,1637,165,0.10079413561392792,54,0.5668085995839408,0.7232063774789762,0.22540804388760477,0.6941473155467721
DEVELOPMENT_FOLDS_0_2,AFFINITY,1637,165,0.10079413561392792,54,0.5684507769734397,0.7247120512565516,0.22421789058451017,0.692183382740448
DEVELOPMENT_FOLDS_0_2,CONPLEX,1637,165,0.10079413561392792,54,0.4806086000222529,0.5957593665058913,0.20210422228416913,0.6150279973649538
DEVELOPMENT_FOLDS_0_2,INTERNAL_SELECTED_FUSION,1637,165,0.10079413561392792,54,0.5711621330877157,0.726415394597481,0.23217110049131948,0.6956315876152832
HELDOUT_FOLDS_3_4,BINARY,919,189,0.20565832426550598,48,0.7303844977495269,0.7902406061479595,0.3924408435286977,0.70637819815902
HELDOUT_FOLDS_3_4,AFFINITY,919,189,0.20565832426550598,48,0.7326229251333617,0.8056131544499623,0.393230630812366,0.7087519025875189
HELDOUT_FOLDS_3_4,CONPLEX,919,189,0.20565832426550598,48,0.6188016668416824,0.6293847049863865,0.3550584561911818,0.6719069362904978
HELDOUT_FOLDS_3_4,INTERNAL_SELECTED_FUSION,919,189,0.20565832426550598,48,0.7324382910701636,0.8043731713208594,0.40323838033876885,0.7110639994201637
ALL_FOLDS_REPORT_ONLY,BINARY,2556,354,0.13849765258215962,102,0.6437854928383342,0.7547518968526155,0.28661812419026844,0.6973700077484772
ALL_FOLDS_REPORT_ONLY,AFFINITY,2556,354,0.13849765258215962,102,0.6457082584604619,0.762783158641686,0.28603194112845726,0.6975072738188703
ALL_FOLDS_REPORT_ONLY,CONPLEX,2556,354,0.13849765258215962,102,0.5456406314666905,0.611583055202595,0.257148357409671,0.6418138107626863
ALL_FOLDS_REPORT_ONLY,INTERNAL_SELECTED_FUSION,2556,354,0.13849765258215962,102,0.6470567956676911,0.7631014071731882,0.29473253470841054,0.700492490134803
