protocol,fold,role,rows,positives,negatives,prevalence,compounds,scaffolds,targets,target_homology_clusters
S6_NEW_TARGET_OLD_DRUG_DOUBLE_COLD,0,TRAIN,49527,26810,22717,0.5413208956730672,37287,27250,242,162
S6_NEW_TARGET_OLD_DRUG_DOUBLE_COLD,0,VALID,537,43,494,0.08007448789571694,116,108,53,36
S6_NEW_TARGET_OLD_DRUG_DOUBLE_COLD,0,TEST,551,48,503,0.08711433756805807,151,146,54,37
S6_NEW_TARGET_OLD_DRUG_DOUBLE_COLD,1,TRAIN,49413,26893,22520,0.5442494890008702,37386,27068,253,170
S6_NEW_TARGET_OLD_DRUG_DOUBLE_COLD,1,VALID,549,74,475,0.13479052823315119,146,141,53,36
S6_NEW_TARGET_OLD_DRUG_DOUBLE_COLD,1,TEST,537,43,494,0.08007448789571694,116,108,53,36
S6_NEW_TARGET_OLD_DRUG_DOUBLE_COLD,2,TRAIN,48732,26713,22019,0.5481613724041697,36709,26395,263,182
S6_NEW_TARGET_OLD_DRUG_DOUBLE_COLD,2,VALID,479,110,369,0.22964509394572025,138,133,52,33
S6_NEW_TARGET_OLD_DRUG_DOUBLE_COLD,2,TEST,549,74,475,0.13479052823315119,146,141,53,36
S6_NEW_TARGET_OLD_DRUG_DOUBLE_COLD,3,TRAIN,48565,26732,21833,0.5504375579120766,36968,26582,270,194
S6_NEW_TARGET_OLD_DRUG_DOUBLE_COLD,3,VALID,440,79,361,0.17954545454545454,120,114,49,29
S6_NEW_TARGET_OLD_DRUG_DOUBLE_COLD,3,TEST,479,110,369,0.22964509394572025,138,133,52,33
S6_NEW_TARGET_OLD_DRUG_DOUBLE_COLD,4,TRAIN,49598,27105,22493,0.5464938102342837,38108,27985,253,183
S6_NEW_TARGET_OLD_DRUG_DOUBLE_COLD,4,VALID,551,48,503,0.08711433756805807,151,146,54,37
S6_NEW_TARGET_OLD_DRUG_DOUBLE_COLD,4,TEST,440,79,361,0.17954545454545454,120,114,49,29
