pair_id,ligand_inchikey,drug_names,gene_symbol,target_chembl_id,assay_lane,replacement_rank384,model,review_status,in_frozen384,decision,close_negative_review,new_identity_hold,disease_investment_hold,raw_prior_activity_hold,deep_review_investment_hold,reason,deep_reason,primary_reason
GCKFUYQCUCGESZ-BPIQYHPVSA-N__CHEMBL1871,GCKFUYQCUCGESZ-BPIQYHPVSA-N,etonogestrel,AR,CHEMBL1871,NUCLEAR_EPIGENETIC_DOMAIN,4,A_consensus,FROZEN_REVIEW_HOLD_OR_EXCLUSION,False,EXCLUDE,False,False,False,True,False,FDA原始NuvaRing药理审查Table6：MCF7细胞质受体结合实验中etonogestrel对AR相对结合4.47±0.67（DHT=100）；已知交叉结合，不应占新关系发现名额；可另列已知关系对照。旧文3-ketodesogestrel为etonogestrel别名。,,PRIOR_AGENT_HOLD_OR_EXCLUSION
GCKFUYQCUCGESZ-BPIQYHPVSA-N__CHEMBL1994,GCKFUYQCUCGESZ-BPIQYHPVSA-N,etonogestrel,NR3C2,CHEMBL1994,NUCLEAR_EPIGENETIC_DOMAIN,1,A_consensus,FROZEN_REVIEW_HOLD_OR_EXCLUSION,False,HOLD,False,False,False,False,False,同一原始研究报告3-ketodesogestrel对以aldosterone为参照的受体未测得亲和；与本模型Top1相冲突，需核实种属、浓度与检测限后再考虑。未测得不等于所有条件绝对不结合。,,PRIOR_AGENT_HOLD_OR_EXCLUSION
GCKFUYQCUCGESZ-BPIQYHPVSA-N__CHEMBL2034,GCKFUYQCUCGESZ-BPIQYHPVSA-N,etonogestrel,NR3C1,CHEMBL2034,NUCLEAR_EPIGENETIC_DOMAIN,3,A_consensus,FROZEN_REVIEW_HOLD_OR_EXCLUSION,False,HOLD,False,False,False,False,False,1990原始研究报告3-ketodesogestrel（etonogestrel）与glucocorticoid receptor结合；摘要含人/大鼠材料，需全文确认GR实验种属与构建，先移出新关系主队列；不能继续按无既有证据的新颖配对。,,PRIOR_AGENT_HOLD_OR_EXCLUSION
GPNHMOZDMYNCPO-PDUMRIMRSA-N__CHEMBL2034,GPNHMOZDMYNCPO-PDUMRIMRSA-N,clascoterone,NR3C1,CHEMBL2034,NUCLEAR_EPIGENETIC_DOMAIN,5,A_consensus,FROZEN_REVIEW_HOLD_OR_EXCLUSION,False,KEEP_REVIEW,False,False,False,False,True,clascoterone–NR3C1: 结合名次3/384；阳性近邻T=0.522，阴性近邻T=0.359；共同疾病=Cushing syndrome。现有字段未见可硬排除事实，保留探索；共同疾病及化学近邻均不能确认直接结合。,全部共同疾病为Cushing及肾上腺功能亢进。EMA已有54受体筛查未见offtarget总述，但未列名单/浓度，不能当作GR确证阴性。弱糖皮质激素样/代谢相关作用已经讨论；这不支持所需的GR拮抗方向。局部用药与代谢使系统Cushing假说更弱。,DEEP_REVIEW_HOLD
GPNHMOZDMYNCPO-PDUMRIMRSA-N__CHEMBL208,GPNHMOZDMYNCPO-PDUMRIMRSA-N,clascoterone,PGR,CHEMBL208,NUCLEAR_EPIGENETIC_DOMAIN,8,A_consensus,FROZEN_REVIEW_HOLD_OR_EXCLUSION,False,KEEP_REVIEW,False,False,False,False,True,clascoterone–PGR: 结合名次8/384；阳性近邻T=0.492，阴性近邻T=0.380；共同疾病=Cushing syndrome。现有字段未见可硬排除事实，保留探索；共同疾病及化学近邻均不能确认直接结合。,唯一共同疾病Cushing缺少PGR可操作方向。EMA页19–20兔实验有潜在孕激素样作用，页44概述却写无progesterone activity，报告内部需核验；两者均不是人PGR直接KD。既有功能药理与跨物种不确定性降低新颖性，局部给药不支持直接系统治疗设想。,DEEP_REVIEW_HOLD
HKDLNTKNLJPAIY-WKWWZUSTSA-N__CHEMBL1936,HKDLNTKNLJPAIY-WKWWZUSTSA-N,ulipristal,KIT,CHEMBL1936,KINASE_BIOCHEMICAL,20,A_consensus,KNOWN_IDENTITY_HOLD,False,,,,,,,,,MOLECULE_IDENTITY_HOLD
HKDLNTKNLJPAIY-WKWWZUSTSA-N__CHEMBL1974,HKDLNTKNLJPAIY-WKWWZUSTSA-N,ulipristal,FLT3,CHEMBL1974,KINASE_BIOCHEMICAL,17,A_consensus,KNOWN_IDENTITY_HOLD,False,,,,,,,,,MOLECULE_IDENTITY_HOLD
HKDLNTKNLJPAIY-WKWWZUSTSA-N__CHEMBL1994,HKDLNTKNLJPAIY-WKWWZUSTSA-N,ulipristal,NR3C2,CHEMBL1994,NUCLEAR_EPIGENETIC_DOMAIN,2,A_consensus,KNOWN_IDENTITY_HOLD,False,KEEP_REVIEW,False,True,False,False,True,ulipristal–NR3C2: 结合名次3/384；阳性近邻T=0.412，阴性近邻T=0.553；共同疾病=cardiovascular disorder。现有字段未见可硬排除事实，保留探索；共同疾病及化学近邻均不能确认直接结合。,模型结构HKDLNTKNLJPAIY-WKWWZUSTSA-N是17-OH、C28H35NO3、约433.59；ella实际为17-acetoxy ulipristal acetate，C30H37NO4、475.6，属共价酯差异，不是去盐。已发表UPA的MR低敏感/构效不能直接套该去乙酰结构；阴性近邻0.553高于阳性0.412，唯一共同疾病cardiovascular disorder过泛。,MOLECULE_IDENTITY_HOLD
HKDLNTKNLJPAIY-WKWWZUSTSA-N__CHEMBL2000,HKDLNTKNLJPAIY-WKWWZUSTSA-N,ulipristal,KLKB1,CHEMBL2000,ENZYME_BIOCHEMICAL,4,A_consensus,KNOWN_IDENTITY_HOLD,False,,,,,,,,,MOLECULE_IDENTITY_HOLD
HKDLNTKNLJPAIY-WKWWZUSTSA-N__CHEMBL2007,HKDLNTKNLJPAIY-WKWWZUSTSA-N,ulipristal,PDGFRA,CHEMBL2007,KINASE_BIOCHEMICAL,11,A_consensus,KNOWN_IDENTITY_HOLD,False,,,,,,,,,MOLECULE_IDENTITY_HOLD
