排序,原候选编号,小分子药物名称,新靶点名称,当前实验建议,pair_id,原药内排名_384,A药内排名_384,A排名变化_正数为后移,A排名区间,A原规则去向,A三个种子Top20次数,A_种子20260921_药内排名,A_种子20260922_药内排名,A_种子20260923_药内排名,A靶点内药物排名_720,B药内排名_384,B排名变化_正数为后移,B排名区间,B原规则去向,B三个种子Top20次数,B_种子20260921_药内排名,B_种子20260922_药内排名,B_种子20260923_药内排名,B靶点内药物排名_720,共识Top20组合
1,C384-001,tecovirimat,AR — Androgen receptor,仍可探索,CSKDFZIMJXRJGH-VWLPUNTISA-N__CHEMBL1871,1,13,12,11–20,通过原Top20及既有审核,1,21,11,29,127,120,119,101–200,仅因药内排名超过20而未通过,0,146,47,206,348,仅A在Top20
2,C384-040,piperacillin,CA1 — Carbonic anhydrase 1,仍可探索,IVBHGBMCVLDMKU-GXNBUGAJSA-N__CHEMBL261,1,19,18,11–20,通过原Top20及既有审核,2,12,280,19,175,22,21,21–50,仅因药内排名超过20而未通过,2,183,16,12,71,仅A在Top20
3,C384-089,tamsulosin,CA4 — Carbonic anhydrase 4,仍可探索,DRHKJLXJIQTDTD-OAHLLOKOSA-N__CHEMBL3729,1,53,52,51–100,仅因药内排名超过20而未通过,0,96,171,59,313,64,63,51–100,仅因药内排名超过20而未通过,0,75,73,111,240,A和B均未进Top20
4,C384-156,morphine,CA7 — Carbonic anhydrase 7,仍可探索,BQJCRHHNABKAKU-KBQPJGBKSA-N__CHEMBL2326,1,8,7,1–10,通过原Top20及既有审核,2,3,23,15,184,69,68,51–100,仅因药内排名超过20而未通过,0,137,22,159,535,仅A在Top20
5,C384-074,sotalol,NR3C2 — Mineralocorticoid receptor,仍可探索,ZBMZVLHSJCTVON-UHFFFAOYSA-N__CHEMBL1994,1,100,99,51–100,仅因药内排名超过20而未通过,0,186,66,140,609,28,27,21–50,仅因药内排名超过20而未通过,1,17,43,107,506,A和B均未进Top20
6,C384-194,labetalol,MME — Neprilysin,仍可探索,SGUAFYQXFOLMHL-UHFFFAOYSA-N__CHEMBL1944,1,132,131,101–200,仅因药内排名超过20而未通过,0,76,134,350,319,188,187,101–200,仅因药内排名超过20而未通过,0,51,316,311,371,A和B均未进Top20
7,C384-283,arformoterol,CTSC — Dipeptidyl peptidase 1,仍可探索,BPZSYCZIITTYBL-YJYMSZOUSA-N__CHEMBL2252,1,185,184,101–200,仅因药内排名超过20而未通过,0,312,82,155,460,68,67,51–100,仅因药内排名超过20而未通过,0,88,148,65,258,A和B均未进Top20
8,C384-285,relebactam,MMP7 — Matrilysin,仍可探索,SMOBCLHAZXOKDQ-ZJUUUORDSA-N__CHEMBL4073,1,116,115,101–200,仅因药内排名超过20而未通过,0,69,111,150,331,147,146,101–200,仅因药内排名超过20而未通过,0,105,148,175,144,A和B均未进Top20
9,C384-007,vismodegib,NTRK1 — High affinity nerve growth factor receptor,仍可探索,BPQMGSKTAYIVFO-UHFFFAOYSA-N__CHEMBL2815,2,376,374,201–384,仅因药内排名超过20而未通过,0,329,347,333,552,81,79,51–100,仅因药内排名超过20而未通过,0,51,169,119,220,A和B均未进Top20
10,C384-093,metoprolol,CA4 — Carbonic anhydrase 4,仍可探索,IUBSYMUCCVWXPE-UHFFFAOYSA-N__CHEMBL3729,2,62,60,51–100,仅因药内排名超过20而未通过,0,52,289,34,615,12,10,11–20,通过原Top20及既有审核,2,23,13,10,566,仅B在Top20
11,C384-094,solifenacin,CA7 — Carbonic anhydrase 7,仍可探索,FBOUYBDGKBSUES-VXKWHMMOSA-N__CHEMBL2326,2,5,3,1–10,通过原Top20及既有审核,2,19,9,33,10,111,109,101–200,仅因药内排名超过20而未通过,0,129,52,254,113,仅A在Top20
12,C384-128,macimorelin,ACE — Angiotensin-converting enzyme,仍可探索,UJVDJAPJQWZRFR-DHIUTWEWSA-N__CHEMBL1808,2,255,253,201–384,仅因药内排名超过20而未通过,0,145,333,160,577,125,123,101–200,仅因药内排名超过20而未通过,0,257,139,75,227,A和B均未进Top20
13,C384-157,oxycodone,CA7 — Carbonic anhydrase 7,仍可探索,BRUQQQPBMZOVGD-XFKAJCMBSA-N__CHEMBL2326,2,3,1,1–10,通过原Top20及既有审核,3,2,9,3,139,20,18,11–20,通过原Top20及既有审核,1,132,9,43,590,A和B均在Top20
14,C384-158,methylnaltrexone,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,仍可探索,JVLBPIPGETUEET-WIXLDOGYSA-O__CHEMBL1902,2,23,21,21–50,仅因药内排名超过20而未通过,1,55,56,7,70,23,21,21–50,仅因药内排名超过20而未通过,1,85,20,112,116,A和B均未进Top20
15,C384-196,thalidomide,MIF — Macrophage migration inhibitory factor,仍可探索,UEJJHQNACJXSKW-UHFFFAOYSA-N__CHEMBL2085,2,294,292,201–384,仅因药内排名超过20而未通过,0,302,179,276,660,186,184,101–200,仅因药内排名超过20而未通过,0,253,257,67,356,A和B均未进Top20
16,C384-197,armodafinil,NR3C2 — Mineralocorticoid receptor,仍可探索,YFGHCGITMMYXAQ-LJQANCHMSA-N__CHEMBL1994,2,7,5,1–10,通过原Top20及既有审核,2,23,11,10,406,24,22,21–50,仅因药内排名超过20而未通过,2,110,19,20,571,仅A在Top20
17,C384-287,diltiazem,REN — Renin,仍可探索,HSUGRBWQSSZJOP-RTWAWAEBSA-N__CHEMBL286,2,242,240,201–384,仅因药内排名超过20而未通过,0,246,165,384,369,81,79,51–100,仅因药内排名超过20而未通过,1,156,20,186,332,A和B均未进Top20
18,C384-303,upadacitinib,PRKCB — Protein kinase C beta type,仍可探索,WYQFJHHDOKWSHR-MNOVXSKESA-N__CHEMBL3045,2,139,137,101–200,仅因药内排名超过20而未通过,0,187,107,162,292,200,198,101–200,仅因药内排名超过20而未通过,0,101,290,170,71,A和B均未进Top20
19,C384-003,carglumic acid,MMP12 — Macrophage metalloelastase,仍可探索,LCQLHJZYVOQKHU-VKHMYHEASA-N__CHEMBL4393,3,3,0,1–10,通过原Top20及既有审核,3,5,16,15,179,87,84,51–100,仅因药内排名超过20而未通过,0,96,72,123,360,仅A在Top20
20,C384-121,diazoxide,CSF1R — Macrophage colony-stimulating factor 1 receptor,仍可探索,GDLBFKVLRPITMI-UHFFFAOYSA-N__CHEMBL1844,3,69,66,51–100,仅因药内排名超过20而未通过,0,148,60,86,152,67,64,51–100,仅因药内排名超过20而未通过,1,204,293,18,434,A和B均未进Top20
21,C384-222,lenalidomide,AXL — Tyrosine-protein kinase receptor UFO,仍可探索,GOTYRUGSSMKFNF-UHFFFAOYSA-N__CHEMBL4895,3,118,115,101–200,仅因药内排名超过20而未通过,0,151,147,78,383,275,272,201–384,仅因药内排名超过20而未通过,0,318,224,242,284,A和B均未进Top20
22,C384-288,ixabepilone,CSF1R — Macrophage colony-stimulating factor 1 receptor,仍可探索,FABUFPQFXZVHFB-PVYNADRNSA-N__CHEMBL1844,3,98,95,51–100,仅因药内排名超过20而未通过,1,216,108,7,173,48,45,21–50,仅因药内排名超过20而未通过,1,53,160,4,172,A和B均未进Top20
23,C384-304,esketamine,GSK3A — Glycogen synthase kinase-3 alpha,仍可探索,YQEZLKZALYSWHR-ZDUSSCGKSA-N__CHEMBL2850,3,88,85,51–100,仅因药内排名超过20而未通过,0,87,45,222,415,121,118,101–200,仅因药内排名超过20而未通过,0,186,50,170,414,A和B均未进Top20
24,C384-080,ibuprofen,CA4 — Carbonic anhydrase 4,仍可探索,HEFNNWSXXWATRW-UHFFFAOYSA-N__CHEMBL3729,4,214,210,201–384,仅因药内排名超过20而未通过,0,197,302,122,705,3,-1,1–10,通过原Top20及既有审核,2,1,62,9,302,仅B在Top20
25,C384-082,lisinopril,REN — Renin,仍可探索,RLAWWYSOJDYHDC-BZSNNMDCSA-N__CHEMBL286,4,109,105,101–200,仅因药内排名超过20而未通过,0,75,110,189,261,34,30,21–50,仅因药内排名超过20而未通过,1,131,2,236,228,A和B均未进Top20
26,C384-004,apixaban,FLT3 — Receptor-type tyrosine-protein kinase FLT3,仍可探索,QNZCBYKSOIHPEH-UHFFFAOYSA-N__CHEMBL1974,4,379,375,201–384,仅因药内排名超过20而未通过,0,361,369,377,683,215,211,201–384,仅因药内排名超过20而未通过,0,89,379,121,234,A和B均未进Top20
27,C384-102,nimodipine,CA7 — Carbonic anhydrase 7,仍可探索,UIAGMCDKSXEBJQ-UHFFFAOYSA-N__CHEMBL2326,4,5,1,1–10,通过原Top20及既有审核,2,6,1,28,52,3,-1,1–10,通过原Top20及既有审核,2,3,33,5,53,A和B均在Top20
28,C384-103,etravirine,FLT3 — Receptor-type tyrosine-protein kinase FLT3,仍可探索,PYGWGZALEOIKDF-UHFFFAOYSA-N__CHEMBL1974,4,67,63,51–100,仅因药内排名超过20而未通过,1,151,85,20,414,78,74,51–100,仅因药内排名超过20而未通过,0,159,104,36,311,A和B均未进Top20
