drug_id,name,smiles,native_feature_index,gene_symbol,drug_to_target_logit,target_to_drug_logit,rank_720,evidence
UXNXMBYCBRBRFD-MUUNZHRXSA-N,berotralstat,N#Cc1cccc([C@@H](NCC2CC2)c2ccc(F)c(NC(=O)c3cc(C(F)(F)F)nn3-c3cccc(CN)c3)c2)c1,238134,HGF,4.3291078,5.437458,1,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
AILRADAXUVEEIR-UHFFFAOYSA-N,brigatinib,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1,128985,HGF,-1.8562658,-0.10261508,2,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
VPPJLAIAVCUEMN-GFCCVEGCSA-N,lacosamide,COC[C@@H](NC(C)=O)C(=O)NCc1ccccc1,119827,HGF,-0.19083637,-0.12384479,3,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
WINHZLLDWRZWRT-ATVHPVEESA-N,sunitinib,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,63677,HGF,-3.2579637,-0.63846445,4,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
RVOLLAQWKVFTGE-UHFFFAOYSA-N,pyridostigmine,CN(C)C(=O)Oc1ccc[n+](C)c1,88379,HGF,-1.0609261,-0.71976554,5,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
KSGXQBZTULBEEQ-UHFFFAOYSA-N,dabigatran etexilate,CCCCCCOC(=O)NC(=N)c1ccc(NCc2nc3cc(C(=O)N(CCC(=O)OCC)c4ccccn4)ccc3n2C)cc1,55459,HGF,-2.0022988,-1.039661,6,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
LXBIFEVIBLOUGU-DPYQTVNSSA-N,migalastat,OC[C@H]1NC[C@H](O)[C@@H](O)[C@H]1O,303804,HGF,-1.9160016,-1.8407707,7,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
GNXFOGHNGIVQEH-UHFFFAOYSA-N,methocarbamol,COc1ccccc1OCC(O)COC(N)=O,156316,HGF,-2.180712,-2.2394373,8,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
YQNQNVDNTFHQSW-UHFFFAOYSA-N,nitazoxanide,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,19616,HGF,-2.4001231,-2.3803623,9,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
BBAWEDCPNXPBQM-GDEBMMAJSA-N,telaprevir,CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,61038,HGF,-2.5292654,-2.5275822,10,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
ZWUQVNSJSJHFPS-XFXZXTDPSA-N,prasugrel,O=C(O)/C=C1/CN(C(C(=O)C2CC2)c2ccccc2F)CCC1S,281766,HGF,-2.4832633,-2.6235542,11,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
NSQSAUGJQHDYNO-UHFFFAOYSA-N,tazemetostat,CCN(c1cc(-c2ccc(CN3CCOCC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1,64878,HGF,-2.6056707,-2.6478188,12,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
UQRORFVVSGFNRO-UTINFBMNSA-N,miglustat,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,56546,HGF,-3.2328634,-2.9898896,13,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
RZEKVGVHFLEQIL-UHFFFAOYSA-N,celecoxib,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,192052,HGF,-3.252424,-3.2426763,14,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
ZSBOMTDTBDDKMP-OAHLLOKOSA-N,alogliptin,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O,219732,HGF,-3.415022,-3.2833912,15,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
LTXREWYXXSTFRX-QGZVFWFLSA-N,linagliptin,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,13607,HGF,-4.49676,-3.704857,16,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
FDTZUTSGGSRHQF-UHFFFAOYSA-N,nitazoxanide,O=C(Nc1ncc([N+](=O)[O-])s1)c1ccccc1O,281350,HGF,-4.003234,-3.8971176,17,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
XEDHVZKDSYZQBF-UHFFFAOYSA-N,lasmiditan,CN1CCC(C(=O)c2cccc(NC(=O)c3c(F)cc(F)cc3F)n2)CC1,97320,HGF,-3.984339,-3.9399412,18,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
DHSUYTOATWAVLW-WFVMDLQDSA-N,cilastatin,CC1(C)C[C@@H]1C(=O)N/C(=C\CCCCSC[C@H](N)C(=O)O)C(=O)O,44134,HGF,-3.8145103,-4.0191236,19,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
