drug_id,name,smiles,native_feature_index,gene_symbol,drug_to_target_logit,target_to_drug_logit,ours_rank,evidence,dtiam_probability,dtiam_rank,drugclip_score,drugclip_max_mean_cosine,winning_pocket,winning_pocket_fold_cosine_std,fold_0_rank,fold_1_rank,fold_2_rank,fold_3_rank,fold_4_rank,fold_5_rank,fold_top20_count,drugclip_cosine_rank,drugclip_rank,drugclip_pocket_route,models_in_top20,model
VWUXBMIQPBEWFH-WCCTWKNTSA-N,fulvestrant,C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](CCCCCCCCC[S+]([O-])CCCC(F)(F)C(F)(F)F)[C@H]3[C@@H]1CC[C@@H]2O,176558,LYVE1,3.6432583,4.3696404,1,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.42469922,229,-0.47443235,-0.05545202,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.1706314,471,529,710,305,596,706,0,635,611,DTWG,1,BioMaster
UREBDLICKHMUKA-CXSFZGCWSA-N,dexamethasone,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,169098,LYVE1,2.2382145,3.8770328,2,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.50098616,186,0.37792757,0.10966999,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.13300744,562,196,422,304,48,483,0,373,377,DTWG,1,BioMaster
UREBDLICKHMUKA-DVTGEIKXSA-N,betamethasone,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,174844,LYVE1,1.6422557,3.3042939,3,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.50098616,187,0.4126202,0.11790671,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.16233377,537,201,381,237,70,500,0,358,365,DTWG,1,BioMaster
UXNXMBYCBRBRFD-MUUNZHRXSA-N,berotralstat,N#Cc1cccc([C@@H](NCC2CC2)c2ccc(F)c(NC(=O)c3cc(C(F)(F)F)nn3-c3cccc(CN)c3)c2)c1,238134,LYVE1,1.1340795,1.9966964,4,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.79907644,53,-0.74901783,-0.1068579,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.12810332,606,709,593,553,698,550,0,679,662,DTWG,1,BioMaster
GFNANZIMVAIWHM-OBYCQNJPSA-N,triamcinolone,C[C@]12C=CC(=O)C=C1CC[C@H]1[C@@H]3C[C@@H](O)[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F,176170,LYVE1,-1.4293371,1.0870256,5,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.52005357,176,0.7846085,0.18025638,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.1536156,488,98,339,180,74,393,0,243,247,DTWG,1,BioMaster
HHZIURLSWUIHRB-UHFFFAOYSA-N,nilotinib,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,206290,LYVE1,-3.0746582,1.0108068,6,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.88363385,15,-2.3102984,-0.37885424,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.111399174,720,719,718,720,720,720,0,720,720,DTWG,2,BioMaster
VPPJLAIAVCUEMN-GFCCVEGCSA-N,lacosamide,COC[C@@H](NC(C)=O)C(=O)NCc1ccccc1,119827,LYVE1,0.3990924,0.7339628,7,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.111022405,637,1.2843806,0.25616035,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.064404264,51,171,280,271,197,137,0,137,125,DTWG,1,BioMaster
PHXJVRSECIGDHY-UHFFFAOYSA-N,ponatinib,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,194505,LYVE1,-2.6176684,0.5121886,8,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.8933027,10,-1.2110153,-0.19334967,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.16195805,602,720,664,617,706,705,0,710,704,DTWG,2,BioMaster
FNHKPVJBJVTLMP-UHFFFAOYSA-N,regorafenib,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1,104154,LYVE1,-3.8928778,0.49603373,9,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.726145,77,-0.8554972,-0.12679219,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.0798164,581,687,569,705,671,682,0,690,680,DTWG,1,BioMaster
MLDQJTXFUGDVEO-UHFFFAOYSA-N,sorafenib,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,104155,LYVE1,-4.2128997,0.32720038,10,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.6874117,92,-0.6597455,-0.09014499,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.08184812,525,677,505,690,644,662,0,665,643,DTWG,1,BioMaster
