gene_symbol,experiment_arm,candidates,rule_flagged,local_model_available,positive_control_drug,control_standard_types,structure_ready_strict,positive_compounds,negative_compounds
AKR1B1,FROZEN_384_CORE_DISCOVERY,15,0,15.0,Zopolrestat,IC50,True,253,102
AOC3,EXTENDED_367_TARGET_DISCOVERY,15,0,0.0,Mofegiline,"IC50,Ki",True,621,90
AR,FROZEN_384_CORE_DISCOVERY,15,0,15.0,Testosterone,"IC50,Kd",True,1551,471
CA4,FROZEN_384_CORE_DISCOVERY,15,0,0.0,Acetazolamide,"Ki,Kd",True,916,114
CA7,FROZEN_384_CORE_DISCOVERY,15,0,0.0,Ethoxzolamide,"Ki,Kd",True,1336,34
CA9,EXTENDED_367_TARGET_DISCOVERY,15,0,0.0,Zonisamide,Ki,True,4968,235
CDK5,FROZEN_384_CORE_DISCOVERY,15,1,15.0,Dinaciclib,"IC50,Kd",True,147,351
CLK2,FROZEN_384_CORE_DISCOVERY,15,1,15.0,Sunitinib,Kd,True,439,305
DYRK1A,FROZEN_384_CORE_DISCOVERY,15,0,15.0,Harmine,"IC50,Ki,Kd",True,1117,544
ELANE,FROZEN_384_CORE_DISCOVERY,15,1,0.0,Alvelestat,"Ki,IC50",False,488,1220
FAP,EXTENDED_367_TARGET_DISCOVERY,15,2,15.0,Linagliptin,"IC50,Ki",True,209,80
FKBP1A,FROZEN_384_CORE_DISCOVERY,15,1,15.0,Sirolimus,"Ki,Kd",False,261,61
FOLH1,EXTENDED_367_TARGET_DISCOVERY,15,0,15.0,Piflufolastat,"IC50,Ki",True,424,24
GSK3A,FROZEN_384_CORE_DISCOVERY,15,0,15.0,Abemaciclib,Kd,True,513,432
HDAC6,EXTENDED_367_TARGET_DISCOVERY,15,0,15.0,Panobinostat,"Ki,IC50",True,4959,485
HDAC8,EXTENDED_367_TARGET_DISCOVERY,15,0,15.0,Quisinostat,"Ki,IC50,Kd",True,1387,489
KDM1A,EXTENDED_367_TARGET_DISCOVERY,15,0,15.0,Seclidemstat,"IC50,Ki",True,2724,562
LYN,FROZEN_384_CORE_DISCOVERY,15,0,15.0,Dasatinib Anhydrous,"Kd,IC50",True,189,335
MME,FROZEN_384_CORE_DISCOVERY,15,0,15.0,Omapatrilat,"Ki,IC50",True,288,42
MMP12,FROZEN_384_CORE_DISCOVERY,15,1,0.0,Ilomastat,"Ki,IC50",True,425,57
NAMPT,FROZEN_384_CORE_DISCOVERY,15,1,15.0,Chs-828,"IC50,Ki,Kd",True,2126,65
NR3C1,EXTENDED_367_TARGET_DISCOVERY,15,1,15.0,Budesonide,"IC50,Ki",True,1593,289
NR3C2,FROZEN_384_CORE_DISCOVERY,15,0,15.0,Aldosterone,"Kd,IC50",True,491,45
NT5E,EXTENDED_367_TARGET_DISCOVERY,15,1,15.0,Quemliclustat,IC50,True,334,43
PDE5A,FROZEN_384_CORE_DISCOVERY,15,2,15.0,Vardenafil,"IC50,Ki",True,911,1011
PGR,EXTENDED_367_TARGET_DISCOVERY,15,0,15.0,Progesterone,"IC50,Ki",True,516,139
PNP,FROZEN_384_CORE_DISCOVERY,15,0,15.0,Cladribine,Ki,True,144,26
PPARG,EXTENDED_367_TARGET_DISCOVERY,15,3,15.0,Int131,"IC50,Ki",True,971,738
REN,FROZEN_384_CORE_DISCOVERY,15,0,15.0,Remikiren,Kd,False,1238,68
RIPK1,FROZEN_384_CORE_DISCOVERY,15,0,15.0,Gsk2982772,"IC50,Ki,Kd",True,1696,849
RORC,EXTENDED_367_TARGET_DISCOVERY,15,0,15.0,T091317,"IC50,Ki",True,5796,222
TPH1,FROZEN_384_CORE_DISCOVERY,15,0,15.0,Telotristat,IC50,True,657,17
