blind_experiment_id,lab_row_type,experiment_arm,selection_role,pair_id,drug_names,ingredient_name,all_fda_brand_names,ligand_inchikey,ligand_smiles,known_mechanism_of_action,known_action_types,known_target_names,known_target_chembl_ids,gene_symbol,target_name,target_chembl_id,uniprot_accession,target_class_l1,assay_lane,construct_recommendation,known_positive_for_new_target,retargetmap_rank_384,routed_rank_within_drug,routed_candidate_target_count,diagnostic_rank_within_drug_745,independent_validation_rank_score,ensemble_drug_to_target_logit,ensemble_pair_logit,structure_mask,structure_evidence_route,connectivity_key,murcko_scaffold,rdkit_mw,rdkit_clogp,rdkit_tpsa,rdkit_hbd,rdkit_hba,rdkit_rotatable_bonds,chemical_risk_points,same_assay_family_as_known_target,known_kinase_drug,external_novelty_status,spr_concentration_plan,primary_endpoint,exact_pair_in_full_fit_training,drug_seen_in_full_fit_training,target_seen_in_full_fit_training,result_bin_pre_registered,control_chembl_id,control_standard_types,control_min_pchembl,control_max_pchembl,control_direct_kd_or_ki_evidence,control_evidence_years,optimization_objective_contribution,posthoc_only_dtiam_rank_384,posthoc_only_dtiam_probability,drug_feature_index,target_feature_index
SPR512-002,BLINDED_CANDIDATE,FROZEN_384_CORE_DISCOVERY,OUR_FROZEN_MODEL_HIGH,MKXZASYAUGDDCJ-NJAFHUGGSA-N__CHEMBL2326,dextromethorphan,DEXTROMETHORPHAN HYDROBROMIDE,AUVELITY; MUCINEX 12HR COLD & FEVER MULTI-SYMPTOM; NUEDEXTA,MKXZASYAUGDDCJ-NJAFHUGGSA-N,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,Glutamate [NMDA] receptor subunit epsilon 1 antagonist; Sigma opioid receptor agonist,AGONIST; ANTAGONIST,"Glutamate receptor ionotropic, NMDA 2A; Sigma non-opioid intracellular receptor 1",CHEMBL1972; CHEMBL287,CA7,Carbonic anhydrase 7,CHEMBL2326,P43166,Enzyme,ENZYME_BIOCHEMICAL,可溶性全长胞内酶；保留 Zn2+ 催化位点,Ethoxzolamide,2.0,2.0,367.0,11.0,-1.1383459234163154,,-1.9740502,0.0,OPTIONAL_STRICT_POCKET_CONTEXT,MKXZASYAUGDDCJ,c1ccc2c(c1)CC1NCCC23CCCCC13,271.404,3.383400000000002,12.47,0.0,2.0,1.0,0.0,False,False,NO_EXACT_PAIR_IN_CHEMBL37_BINDINGDB_2026_07_GTOPDB_2026_2_KIRHUB;_PUBMED_PATENT_MANUAL_REVIEW_PENDING,"0.03–30 µM, 7-point 3-fold; solubility-limited rows stop at qualified maximum",QC-qualified steady-state or kinetic KD,False,True,True,KD<=0.1uM strong; 0.1<KD<=1uM positive; 1<KD<=10uM grey; KD>10uM/no specific binding negative,,,,,,,0.1001476821303754,58.0,0.36302274,149938,141.0
SPR512-003,BLINDED_CANDIDATE,FROZEN_384_CORE_DISCOVERY,OUR_FROZEN_MODEL_INTERMEDIATE,OEKWJQXRCDYSHL-FNOIDJSQSA-N__CHEMBL2326,ticagrelor,TICAGRELOR,BRILINTA,OEKWJQXRCDYSHL-FNOIDJSQSA-N,CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,Purinergic receptor P2Y12 negative allosteric modulator,NEGATIVE ALLOSTERIC MODULATOR,P2Y purinoceptor 12,CHEMBL2001,CA7,Carbonic anhydrase 7,CHEMBL2326,P43166,Enzyme,ENZYME_BIOCHEMICAL,可溶性全长胞内酶；保留 Zn2+ 催化位点,Ethoxzolamide,134.0,20.0,367.0,28.0,-3.43583876781526,,-2.6954594,0.0,OPTIONAL_STRICT_POCKET_CONTEXT,OEKWJQXRCDYSHL,c1ccc(C2CC2Nc2ncnc3c2nnn3C2CCCC2)cc1,522.5780000000002,2.0137,138.44,4.0,10.0,10.0,0.0,False,False,NO_EXACT_PAIR_IN_CHEMBL37_BINDINGDB_2026_07_GTOPDB_2026_2_KIRHUB;_PUBMED_PATENT_MANUAL_REVIEW_PENDING,"0.03–30 µM, 7-point 3-fold; solubility-limited rows stop at qualified maximum",QC-qualified steady-state or kinetic KD,False,True,True,KD<=0.1uM strong; 0.1<KD<=1uM positive; 1<KD<=10uM grey; KD>10uM/no specific binding negative,,,,,,,0.040000927828615,42.0,0.8098296,60643,141.0
SPR512-004,BLINDED_CANDIDATE,FROZEN_384_CORE_DISCOVERY,OUR_FROZEN_MODEL_HIGH,BQJCRHHNABKAKU-KBQPJGBKSA-N__CHEMBL2326,morphine,MORPHINE SULFATE,ARYMO ER; EMBEDA; MORPHABOND ER; MORPHINE SULFATE,BQJCRHHNABKAKU-KBQPJGBKSA-N,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,Mu opioid receptor agonist,AGONIST,Mu-type opioid receptor,CHEMBL233,CA7,Carbonic anhydrase 7,CHEMBL2326,P43166,Enzyme,ENZYME_BIOCHEMICAL,可溶性全长胞内酶；保留 Zn2+ 催化位点,Ethoxzolamide,1.0,4.0,367.0,17.0,-2.4089143197417924,,-2.661166,0.0,OPTIONAL_STRICT_POCKET_CONTEXT,BQJCRHHNABKAKU,C1=CC2C3Cc4cccc5c4C2(CCN3)C(C1)O5,285.343,1.1981,52.93000000000001,2.0,4.0,0.0,0.0,False,False,NO_EXACT_PAIR_IN_CHEMBL37_BINDINGDB_2026_07_GTOPDB_2026_2_KIRHUB;_PUBMED_PATENT_MANUAL_REVIEW_PENDING,"0.03–30 µM, 7-point 3-fold; solubility-limited rows stop at qualified maximum",QC-qualified steady-state or kinetic KD,False,True,True,KD<=0.1uM strong; 0.1<KD<=1uM positive; 1<KD<=10uM grey; KD>10uM/no specific binding negative,,,,,,,0.0502282190801297,17.0,0.5631463,101451,141.0
SPR512-005,BLINDED_CANDIDATE,FROZEN_384_CORE_DISCOVERY,OUR_FROZEN_MODEL_HIGH,VFCRKLWBYMDAED-REWPJTCUSA-N__CHEMBL2326,nirogacestat,NIROGACESTAT HYDROBROMIDE,OGSIVEO,VFCRKLWBYMDAED-REWPJTCUSA-N,CCC[C@H](N[C@H]1CCc2cc(F)cc(F)c2C1)C(=O)Nc1cn(C(C)(C)CNCC(C)(C)C)cn1,Gamma-secretase inhibitor,INHIBITOR,Gamma-secretase,CHEMBL2094135,CA7,Carbonic anhydrase 7,CHEMBL2326,P43166,Enzyme,ENZYME_BIOCHEMICAL,可溶性全长胞内酶；保留 Zn2+ 催化位点,Ethoxzolamide,2.0,205.0,367.0,462.0,-1.0868273648081612,,-1.1742853,0.0,OPTIONAL_STRICT_POCKET_CONTEXT,VFCRKLWBYMDAED,O=C(CNC1CCc2ccccc2C1)Nc1c[nH]cn1,489.65500000000026,4.786400000000004,70.98,3.0,4.0,10.0,0.0,False,False,NO_EXACT_PAIR_IN_CHEMBL37_BINDINGDB_2026_07_GTOPDB_2026_2_KIRHUB;_PUBMED_PATENT_MANUAL_REVIEW_PENDING,"0.03–30 µM, 7-point 3-fold; solubility-limited rows stop at qualified maximum",QC-qualified steady-state or kinetic KD,False,False,True,KD<=0.1uM strong; 0.1<KD<=1uM positive; 1<KD<=10uM grey; KD>10uM/no specific binding negative,,,,,,,0.1062020115014322,56.0,0.8959302,61059,141.0
SPR512-006,BLINDED_CANDIDATE,FROZEN_384_CORE_DISCOVERY,OUR_FROZEN_MODEL_HIGH,MQJKPEGWNLWLTK-UHFFFAOYSA-N__CHEMBL2326,dapsone,DAPSONE,ACZONE,MQJKPEGWNLWLTK-UHFFFAOYSA-N,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,Dihydropteroate synthase 1 inhibitor,INHIBITOR,Dihydropteroate synthase,CHEMBL2362993,CA7,Carbonic anhydrase 7,CHEMBL2326,P43166,Enzyme,ENZYME_BIOCHEMICAL,可溶性全长胞内酶；保留 Zn2+ 催化位点,Ethoxzolamide,2.0,2.0,367.0,2.0,-1.244367428200911,,2.7488048,0.0,OPTIONAL_STRICT_POCKET_CONTEXT,MQJKPEGWNLWLTK,O=S(=O)(c1ccccc1)c1ccccc1,248.307,1.6838000000000002,86.18,2.0,4.0,2.0,0.0,False,False,NO_EXACT_PAIR_IN_CHEMBL37_BINDINGDB_2026_07_GTOPDB_2026_2_KIRHUB;_PUBMED_PATENT_MANUAL_REVIEW_PENDING,"0.03–30 µM, 7-point 3-fold; solubility-limited rows stop at qualified maximum",QC-qualified steady-state or kinetic KD,False,True,True,KD<=0.1uM strong; 0.1<KD<=1uM positive; 1<KD<=10uM grey; KD>10uM/no specific binding negative,,,,,,,0.1000268784404322,5.0,0.6872659,255329,141.0
SPR512-007,BLINDED_CANDIDATE,FROZEN_384_CORE_DISCOVERY,OUR_FROZEN_MODEL_HIGH,ZBBHBTPTTSWHBA-UHFFFAOYSA-N__CHEMBL2326,nicardipine,NICARDIPINE HYDROCHLORIDE,NICARDIPINE HYDROCHLORIDE; NICARDIPINE HYDROCHLORIDE IN 0.9% SODIUM CHLORIDE,ZBBHBTPTTSWHBA-UHFFFAOYSA-N,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,Voltage-gated L-type calcium channel blocker,BLOCKER,Voltage-gated L-type calcium channel,CHEMBL2095229,CA7,Carbonic anhydrase 7,CHEMBL2326,P43166,Enzyme,ENZYME_BIOCHEMICAL,可溶性全长胞内酶；保留 Zn2+ 催化位点,Ethoxzolamide,3.0,7.0,367.0,13.0,-1.5582423791430096,,-0.97350913,0.0,OPTIONAL_STRICT_POCKET_CONTEXT,ZBBHBTPTTSWHBA,O=C(OCCNCc1ccccc1)C1=CNC=CC1c1ccccc1,479.5330000000002,3.677800000000002,111.01,1.0,8.0,9.0,0.0,False,False,NO_EXACT_PAIR_IN_CHEMBL37_BINDINGDB_2026_07_GTOPDB_2026_2_KIRHUB;_PUBMED_PATENT_MANUAL_REVIEW_PENDING,"0.03–30 µM, 7-point 3-fold; solubility-limited rows stop at qualified maximum",QC-qualified steady-state or kinetic KD,False,True,True,KD<=0.1uM strong; 0.1<KD<=1uM positive; 1<KD<=10uM grey; KD>10uM/no specific binding negative,,,,,,,0.1501751229832647,5.0,0.8846634,110303,141.0
SPR512-008,BLINDED_CANDIDATE,FROZEN_384_CORE_DISCOVERY,OUR_FROZEN_MODEL_HIGH,LLPOLZWFYMWNKH-CMKMFDCUSA-N__CHEMBL2326,hydrocodone,HYDROCODONE BITARTRATE,FLOWTUSS; HYCOFENIX; OBREDON; REZIRA; VANTRELA ER; VITUZ; XTRELUS; ZOHYDRO ER; ZUTRIPRO,LLPOLZWFYMWNKH-CMKMFDCUSA-N,COc1ccc2c3c1O[C@H]1C(=O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314,Opioid receptors; mu/kappa/delta agonist,AGONIST,Opioid receptors; mu/kappa/delta,CHEMBL2095181,CA7,Carbonic anhydrase 7,CHEMBL2326,P43166,Enzyme,ENZYME_BIOCHEMICAL,可溶性全长胞内酶；保留 Zn2+ 催化位点,Ethoxzolamide,2.0,2.0,367.0,19.0,-2.2516977739913804,,-3.5260422,0.0,OPTIONAL_STRICT_POCKET_CONTEXT,LLPOLZWFYMWNKH,O=C1CCC2C3Cc4cccc5c4C2(CCN3)C1O5,299.37000000000006,1.9333,38.77,0.0,4.0,1.0,0.0,False,False,NO_EXACT_PAIR_IN_CHEMBL37_BINDINGDB_2026_07_GTOPDB_2026_2_KIRHUB;_PUBMED_PATENT_MANUAL_REVIEW_PENDING,"0.03–30 µM, 7-point 3-fold; solubility-limited rows stop at qualified maximum",QC-qualified steady-state or kinetic KD,False,True,True,KD<=0.1uM strong; 0.1<KD<=1uM positive; 1<KD<=10uM grey; KD>10uM/no specific binding negative,,,,,,,0.1002552860068514,41.0,0.4338277,150302,141.0
SPR512-009,BLINDED_CANDIDATE,FROZEN_384_CORE_DISCOVERY,OUR_FROZEN_MODEL_LOW_BACKGROUND,FABUFPQFXZVHFB-PVYNADRNSA-N__CHEMBL2326,ixabepilone,IXABEPILONE,IXEMPRA KIT,FABUFPQFXZVHFB-PVYNADRNSA-N,C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)N1,Tubulin inhibitor,INHIBITOR,Tubulin,CHEMBL2095182,CA7,Carbonic anhydrase 7,CHEMBL2326,P43166,Enzyme,ENZYME_BIOCHEMICAL,可溶性全长胞内酶；保留 Zn2+ 催化位点,Ethoxzolamide,291.0,110.0,367.0,303.0,-4.142488753943256,,-1.268809,0.0,OPTIONAL_STRICT_POCKET_CONTEXT,FABUFPQFXZVHFB,O=C1CCCCCCC2OC2CC(C=Cc2cscn2)NC(=O)CCC1,506.7090000000003,4.050520000000002,112.05,3.0,7.0,2.0,0.0,False,False,NO_EXACT_PAIR_IN_CHEMBL37_BINDINGDB_2026_07_GTOPDB_2026_2_KIRHUB;_PUBMED_PATENT_MANUAL_REVIEW_PENDING,"0.03–30 µM, 7-point 3-fold; solubility-limited rows stop at qualified maximum",QC-qualified steady-state or kinetic KD,False,False,True,KD<=0.1uM strong; 0.1<KD<=1uM positive; 1<KD<=10uM grey; KD>10uM/no specific binding negative,,,,,,,0.2421883950312147,41.0,0.7659958,2436,141.0
SPR512-010,BLINDED_CANDIDATE,FROZEN_384_CORE_DISCOVERY,OUR_FROZEN_MODEL_INTERMEDIATE,ZAFYATHCZYHLPB-UHFFFAOYSA-N__CHEMBL2326,zolpidem,ZOLPIDEM TARTRATE,AMBIEN CR; EDLUAR; INTERMEZZO; TOVALT ODT; ZOLPIDEM TARTRATE; ZOLPIMIST,ZAFYATHCZYHLPB-UHFFFAOYSA-N,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,GABA A receptor alpha-1/beta-1/gamma-2 positive allosteric modulator,POSITIVE ALLOSTERIC MODULATOR,GABA A receptor alpha-1/beta-1/gamma-2,CHEMBL2111392,CA7,Carbonic anhydrase 7,CHEMBL2326,P43166,Enzyme,ENZYME_BIOCHEMICAL,可溶性全长胞内酶；保留 Zn2+ 催化位点,Ethoxzolamide,129.0,28.0,367.0,77.0,-3.3731397313514124,,-0.5973771,0.0,OPTIONAL_STRICT_POCKET_CONTEXT,ZAFYATHCZYHLPB,c1ccc(-c2cn3ccccc3n2)cc1,307.39700000000005,3.2488400000000013,37.61000000000001,0.0,2.0,3.0,0.0,False,False,NO_EXACT_PAIR_IN_CHEMBL37_BINDINGDB_2026_07_GTOPDB_2026_2_KIRHUB;_PUBMED_PATENT_MANUAL_REVIEW_PENDING,"0.03–30 µM, 7-point 3-fold; solubility-limited rows stop at qualified maximum",QC-qualified steady-state or kinetic KD,False,True,True,KD<=0.1uM strong; 0.1<KD<=1uM positive; 1<KD<=10uM grey; KD>10uM/no specific binding negative,,,,,,,0.0100004561496959,51.0,0.49859047,192875,141.0
SPR512-011,BLINDED_CANDIDATE,FROZEN_384_CORE_DISCOVERY,OUR_FROZEN_MODEL_INTERMEDIATE,LERNTVKEWCAPOY-DZZGSBJMSA-N__CHEMBL2326,tiotropium,TIOTROPIUM BROMIDE,SPIRIVA RESPIMAT; STIOLTO RESPIMAT,LERNTVKEWCAPOY-DZZGSBJMSA-N,C[N+]1(C)[C@@H]2C[C@@H](OC(=O)C(O)(c3cccs3)c3cccs3)C[C@H]1[C@@H]1O[C@@H]12,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST,Muscarinic acetylcholine receptor M3,CHEMBL245,CA7,Carbonic anhydrase 7,CHEMBL2326,P43166,Enzyme,ENZYME_BIOCHEMICAL,可溶性全长胞内酶；保留 Zn2+ 催化位点,Ethoxzolamide,121.0,36.0,367.0,79.0,-3.59529208336843,,-5.3784394,0.0,OPTIONAL_STRICT_POCKET_CONTEXT,LERNTVKEWCAPOY,O=C(OC1CC2[NH2+]C(C1)C1OC21)C(c1cccs1)c1cccs1,392.5220000000001,2.3457,59.06,1.0,6.0,4.0,0.0,False,False,NO_EXACT_PAIR_IN_CHEMBL37_BINDINGDB_2026_07_GTOPDB_2026_2_KIRHUB;_PUBMED_PATENT_MANUAL_REVIEW_PENDING,"0.03–30 µM, 7-point 3-fold; solubility-limited rows stop at qualified maximum",QC-qualified steady-state or kinetic KD,False,True,True,KD<=0.1uM strong; 0.1<KD<=1uM positive; 1<KD<=10uM grey; KD>10uM/no specific binding negative,,,,,,,0.0900006076514651,63.0,0.4906599,177089,141.0
