system_id,cluster,native_contact_ap,native_distance_mae
1ddt__1__1.A_2.A__1.B,c1769,0.6076670961210477,1.2719855308532715
1ddt__1__1.A_2.A__2.B,c1769,0.5736277445973449,1.3337023258209229
1d09__1__1.A_2.A__1.E,c103,0.5417112256090952,1.2184807062149048
1d09__1__1.C_2.C__2.G,c103,0.3393474025582099,1.7381269931793213
1d09__1__1.C_3.C__1.G,c103,0.27683742403018063,1.9868009090423584
1d09__1__1.A_3.A__3.E,c103,0.2985300148200313,1.8505606651306152
2ag6__2__2.A__2.B,c121,0.655976265755237,1.0759855508804321
2aix__1__2.A__2.B,c7,0.7192102262396768,0.8257244825363159
2ag6__1__1.A__1.B,c121,0.6352290113890395,1.0826040506362915
2aix__1__1.A__1.B,c7,0.7261773105548649,0.8325092196464539
2ahv__1__1.D__1.H,c2034,0.3665302375974594,1.2780097723007202
2bdm__2__1.A_2.A__2.D,c11013,0.6486374281957149,0.8127196431159973
2c84__1__1.A__1.B,c1327,0.8389807028631139,0.6553953886032104
2de3__1__1.A__1.D,c4237,0.4485342943673479,1.192042589187622
2de3__2__1.B__1.G,c4237,0.46328125588633406,1.0443968772888184
2de4__1__1.A__1.D,c4237,0.4840693040688754,1.1032440662384033
2dcl__1__1.B_1.C__1.F,c4257,0.7208235741116548,0.8446570634841919
2dcl__1__2.B_2.C__2.F,c4257,0.7277082960796529,0.8413375616073608
3b7d__1__1.A__1.I,c7,0.6703120348196853,1.002298355102539
3b7d__2__1.C__1.K,c7,0.6903789152041522,0.9549767971038818
3b7d__1__1.B__1.J,c7,0.7063196420562418,0.9287052154541016
3b7d__2__1.D__1.L,c7,0.6907125148999349,0.956055223941803
3b7d__3__1.E__1.M,c7,0.6625868663505025,0.991732656955719
3b7d__3__1.F__1.N,c7,0.660502146480798,0.9449127316474915
3b7d__4__1.G__1.O,c7,0.6930219482892765,0.9505324959754944
3b7d__4__1.H__1.P,c7,0.7205571837497065,0.9171298146247864
3bki__1__1.A__1.E,c7,0.38126291469998375,2.0961391925811768
3bki__2__1.B__1.F,c7,0.6254230409319027,1.5662230253219604
3bki__3__1.C__1.G,c7,0.5476556618333552,1.99312162399292
3bki__4__1.D__1.H,c7,0.4708653456183699,2.2202844619750977
3bda__1__1.A__1.D,c33,0.6673747793611688,0.8343136310577393
3bd8__1__2.A__2.C,c33,0.6526349062014837,0.8222255110740662
3bd7__1__1.A__1.D,c33,0.6667432590032683,0.8187144994735718
3bd7__1__2.A__2.D,c33,0.6675474466053233,0.8185485601425171
3bd8__1__1.A__1.C,c33,0.655203153292833,0.816893458366394
3bz9__1__1.A__1.F,c1599,0.6312804881640732,1.2270652055740356
3bz7__1__1.A__1.E,c1599,0.6965409799825899,1.021285891532898
3bz9__2__2.A__2.F,c1599,0.633158344806842,1.2279409170150757
3bz7__2__2.A__2.E,c1599,0.6801000219684759,1.0356104373931885
3ctl__1__1.B__1.I_1.J,c1173,0.7061210402579535,0.7900731563568115
3ctl__1__1.C__1.K_1.L,c1173,0.7491299419924943,0.7554435729980469
3ctl__1__1.A__1.G_1.H,c1173,0.7145102172952278,0.7245420217514038
3ctl__1__1.D__1.M_1.N,c1173,0.7564270708719334,0.7390220165252686
3ctl__1__1.F__1.Q_1.R,c1173,0.7527917135400477,0.7218410968780518
3ctl__1__1.E__1.O_1.P,c1173,0.7531579007558136,0.7431126236915588
3a20__1__1.A_1.B__1.C,c1089,0.7752693200991752,0.7419474124908447
3dnt__1__1.A__1.C_1.D_1.E,c2488,0.6888654794055322,0.8488819003105164
3a20__1__1.A_1.B__1.D,c1089,0.7546541659094577,0.8331522345542908
3dnt__2__1.B__1.G_1.H_1.I,c2488,0.6797300856806796,0.8859049677848816
3d9s__1__1.A_1.B_1.C_1.D__1.E,c4511,0.4481506458602608,2.6958417892456055
3b0y__1__1.A__1.B_1.D_1.E,c31,0.2525270008251955,2.0221805572509766
3apw__2__1.B__1.D,c3321,0.3591441328367765,1.137250542640686
3agy__1__1.B__1.E,c5190,0.2946982485074993,2.4878084659576416
3apw__1__1.A__1.C,c3321,0.31092228092275714,1.308350920677185
3amf__1__1.A_1.B__1.C,c1089,0.7997122315976029,0.8078012466430664
3apv__2__1.B__1.E,c3321,0.18794878630248912,1.6942130327224731
3apv__1__1.A__1.C_1.D,c3321,0.2981130133969962,1.184059500694275
3amf__1__1.A_1.B__1.E,c1089,0.779882320013893,0.8202675580978394
3awh__1__1.A_1.B__1.C,c1089,0.7881183709897001,0.8222615718841553
3awh__1__1.A_1.B__1.E,c1089,0.7925798737497795,0.8105701804161072
3axs__1__1.A__1.C,c1987,0.8388177355214643,0.5405296683311462
3agy__1__1.A__1.C,c3461,0.3881691868958054,1.9571810960769653
3axs__1__2.A__2.C,c1987,0.8263743717462485,0.5621873140335083
3au2__1__1.A__1.B_1.F_1.G,c31,0.2545558818137923,2.017927408218384
4a6s__2__1.C__1.I_1.J,c225,0.5459614959215616,1.3330210447311401
3b0x__1__1.A__1.D_1.E_1.I,c31,0.5907925903459952,1.0743393898010254
4a6x__2__1.B__1.E_1.F,c124,0.7857234724595117,0.7771197557449341
4a8p__2__1.F__1.P,c103,0.6214588204176409,0.9469905495643616
4a8h__2__1.B_3.B__3.I,c103,0.725871493216268,0.8554273843765259
4a8h__2__1.B_2.B__1.I,c103,0.700377331770392,0.9222913980484009
4a8h__1__1.A_2.A__2.C,c103,0.7131952982382715,0.8922794461250305
4a8p__1__1.A_1.B__1.G,c103,0.48770773920171834,1.4679312705993652
4a8p__1__1.A_1.C__1.K,c103,0.47260997638900615,1.6758522987365723
4a8p__1__1.B_1.C__1.I,c103,0.39386056611875875,1.7868573665618896
4a8p__2__1.D_1.E__1.O,c103,0.509189124008174,1.5018386840820312
4a8h__1__1.A_3.A__1.C,c103,0.7172127986325113,0.8962684273719788
4dve__1__1.A__1.D,c2689,0.5844876775568444,0.9792360067367554
4al9__2__1.F__1.I_1.X_1.Y,c225,0.5165552935834747,1.7231481075286865
4al9__2__1.H__1.CA_1.J,c225,0.20321392699743315,2.355792284011841
4am8__1__1.A__1.H_1.I,c103,0.5630075258705716,1.1245046854019165
4am8__1__1.B__1.M_1.N,c103,0.4953990590343833,1.2073805332183838
4am8__1__1.C__1.Q_1.R,c103,0.5033291610599517,1.2276692390441895
4am8__2__1.E__1.X_1.Y,c103,0.5372085485099612,1.126952052116394
4am8__2__1.D__1.T_1.U,c103,0.47340518672648596,1.2965868711471558
4am8__2__1.F__1.AA_1.BA_1.V,c103,0.49988579793964916,1.211851954460144
4b11__2__1.B__1.J,c118,0.3522377166501826,1.7600562572479248
4b14__2__1.B__1.J,c118,0.5746119030764336,1.4080538749694824
4b14__3__1.C__1.P,c118,0.5196797701711687,1.5380820035934448
4b14__1__1.A__1.E,c118,0.3901751147854445,1.9952616691589355
4b11__3__1.C__1.O,c118,0.3075482653113978,1.978292465209961
4cae__3__1.C__1.R,c118,0.5367514645430636,1.6050776243209839
4cae__1__1.A__1.G,c118,0.600680532537142,1.3780730962753296
4ctn__1__1.A__1.C_1.D,c33,0.5798244173558204,0.8717334866523743
4ctm__1__2.A__2.B,c33,0.5881043579213979,1.0837115049362183
4d6p__1__1.A__1.C_1.E,c124,0.7381926885238198,0.8022688031196594
5aju__1__1.A_2.A__1.B,c2020,0.5686396481657655,0.8509810566902161
4cto__1__1.A__1.B,c33,0.6073312235099182,0.7572639584541321
4ctn__1__2.A__2.C_2.D,c33,0.5950902550668012,0.8745472431182861
5aju__1__1.A_2.A__2.B,c2020,0.5617408438482379,0.8916926980018616
4cto__1__2.A__2.B,c33,0.5891276220355067,0.7868906855583191
4d6p__2__1.B__1.G_1.H,c124,0.8003501659833938,0.8040072321891785
4ctm__1__1.A__1.B,c33,0.5409701491743203,1.1519708633422852
5ajp__1__1.A_1.B__1.C_1.E,c186,0.8021669445979961,0.7330278754234314
5bnr__1__1.A__1.B,c161,0.5920060985829926,0.8412714600563049
5bqs__1__1.A_1.B__1.F,c161,0.7304044230505374,0.8610875606536865
5cbs__1__1.A__1.E_1.H,c7,0.47894572069384106,1.6936546564102173
5cbs__1__1.C__1.V,c7,0.5366725385536716,1.600843906402588
5bxv__1__1.A__1.E,c326,0.688095033566436,1.3669472932815552
5c79__1__1.A__1.C,c6049,0.31466317171730823,2.285355567932129
5cbs__2__1.B__1.M_1.P,c7,0.5395899638889996,1.6344189643859863
5bxv__2__1.C__1.F,c326,0.7347133089666517,1.2774351835250854
5c79__2__1.B__1.E,c6049,0.20778259332886284,2.6768100261688232
5a6z__1__1.A_1.B__1.E_1.I_1.J,c266,0.19155698767952145,1.9280226230621338
5ciy__1__1.A__1.D,c272,0.8936020382135765,0.6113789081573486
5a6z__1__1.A_1.B__1.F_1.L_1.M,c266,0.1487645658785373,1.8382943868637085
5d21__1__1.D__1.K_1.L,c225,0.6460117176057254,1.440445899963379
5d21__1__1.B__1.G_1.H,c225,0.7563832032834479,1.028456449508667
5d21__1__1.A__1.E_1.F,c225,0.7065319955478115,1.2821614742279053
5d21__1__1.C__1.I_1.J,c225,0.7016477455986235,1.3155654668807983
5b2e__1__1.B_1.C__1.K_1.L_1.M,c1299,0.4076503087532953,1.5434317588806152
5b2e__1__1.A_1.B__1.H_1.I_1.J,c1299,0.4435883112511875,1.485694169998169
5b2e__1__1.A_1.C__1.D_1.E_1.G,c1299,0.41709812060813933,1.3965497016906738
6bem__1__1.D__1.F_1.I_1.M,c31,0.6362270209163026,0.9398673176765442
6bel__1__1.D__1.F_1.G_1.K,c31,0.5885090133964641,1.0250729322433472
6btf__1__1.A__1.G_1.H_1.I,c31,0.5568941763744129,1.0737954378128052
6bt4__1__1.A__1.B,c1881,0.3173115435717403,2.30159854888916
6cwh__4__1.D__1.H,c1881,0.6225060136344819,1.0685023069381714
6cwi__1__1.A__1.C_1.E,c1881,0.6844490129200719,0.9700515866279602
6ctu__1__1.D__1.H_1.I_1.K,c31,0.5819961552780774,1.0369993448257446
6ctv__1__1.D__1.F_1.G_1.K,c31,0.5433673786320256,1.0357043743133545
6cwi__2__1.B__1.F_1.G,c1881,0.6450099095954032,1.0003814697265625
6cu9__1__1.A__1.E_1.F_1.I,c31,0.5574979322641986,1.043996810913086
6cr4__1__1.D__1.E_1.F_1.I,c31,0.6833786309948469,0.9295401573181152
6cwf__1__1.A__1.C,c1881,0.6079655317252738,1.0935362577438354
6cwh__1__1.A__1.E,c1881,0.6287918647319468,1.066160798072815
6cwf__2__1.B__1.D,c1881,0.7026441129350568,0.9861046075820923
6cua__1__1.A__1.E_1.F_1.I,c31,0.3969412058285654,1.4486671686172485
6ctn__1__1.D__1.G_1.H_1.I,c31,0.4030303508742518,1.309793472290039
6cwh__2__1.B__1.F,c1881,0.6292387683931443,1.073068618774414
6cwh__3__1.C__1.G,c1881,0.6266345216316866,1.0575661659240723
6cwr__1__1.A__1.B,c1881,0.5920481327216237,1.25240159034729
6ctw__1__1.D__1.H_1.I_1.J,c31,0.6639245319461164,1.0361968278884888
6ai9__1__1.B__1.D,c2032,0.6158567657361371,1.0219690799713135
6cwl__1__1.A__1.C,c1881,0.3625956885583003,1.5908079147338867
6cwl__2__1.B__1.D,c1881,0.29437020981074047,1.8998165130615234
6dia__1__1.A__1.E_1.G_1.J,c31,0.636615407636662,1.3097643852233887
6ai9__1__1.A_1.B__1.C,c2032,0.5648439344762142,1.0359532833099365
6aik__1__1.A_1.B__1.C,c2032,0.2217650724840896,2.9398608207702637
6aip__1__1.A_1.B__1.D,c2032,0.586765718160271,1.3391427993774414
6aik__1__1.A_1.B__1.D,c2032,0.11997198631338091,4.852332592010498
6aim__1__1.A_1.B__1.D,c2032,0.5629698249274903,1.169521689414978
6aim__1__1.A_1.B__1.C,c2032,0.613899606400171,0.9460628032684326
6aip__1__1.A_1.B__1.C,c2032,0.506183223283134,1.836771011352539
7cms__1__1.A__1.C,c121,0.5798809320665782,1.0745915174484253
7cns__1__1.A_1.B__1.C_1.D,c3553,0.42565943630750736,1.6343042850494385
7cms__1__1.B__1.E,c121,0.5848680439363716,1.0288305282592773
7cns__1__2.A_2.B__2.C_2.D,c3553,0.4305437893914263,1.6794365644454956
7a5y__1__1.B__1.S_1.T_1.U_1.V,c159,0.55649249895011,0.966097891330719
7a5y__1__1.A__1.I_1.J_1.K_1.L,c159,0.5618471703383217,0.9786880612373352
7a5y__1__1.C__1.AA_1.BA_1.CA_1.Z,c159,0.5796144527152834,0.9447665810585022
7ag4__1__2.B__2.H,c1379,0.5069979772960052,1.3659918308258057
7a5y__1__1.D__1.GA_1.HA_1.IA_1.JA,c159,0.5843122579164871,0.9765605926513672
7ag4__1__1.C__1.I,c1379,0.5944018782849252,1.2591763734817505
7a5y__2__1.E__1.KA_1.LA_1.MA_1.OA,c159,0.5758371304237043,0.9895581007003784
7a5y__2__1.H__1.IB_1.JB_1.KB_1.LB,c159,0.5820106630167775,0.9436425566673279
7a5y__2__1.F__1.UA_1.VA_1.WA_1.YA,c159,0.5915844740521616,0.9418631792068481
7a5y__2__1.G__1.BB_1.CB_1.DB_1.EB,c159,0.520479087768101,0.9748355746269226
7ag4__1__1.A__1.G,c1379,0.4671674113570976,1.4734680652618408
7ag4__1__2.E__2.K,c1379,0.5733670221566725,1.2089920043945312
7ap3__1__1.B__1.E_1.F,c121,0.35961563466111623,2.4442670345306396
7b12__1__1.M_1.N__1.HA,c20,0.40190844417465965,1.9664980173110962
2de4__2__1.B__1.F,c4237,0.4976179945317768,1.081014633178711
7b12__1__1.J_1.Y__1.FA,c20,0.5206362297704843,1.8901993036270142
1duv__1__1.A_1.B__1.F,c103,0.3052179888266579,2.208493947982788
7b12__1__1.BA_1.N_1.V__1.RA,c20,0.35256497614927274,1.8340630531311035
3c34__1__1.A__1.I_1.J,c7,0.707783595860294,0.8482004404067993
2e83__1__1.A_1.B__1.C,c1089,0.7579851308842402,0.7546802759170532
2e83__1__1.A_1.B__1.D,c1089,0.7086824688431512,0.8773747086524963
4dve__3__1.C__1.K,c2689,0.46069679291161636,1.1090059280395508
4dve__2__1.B__1.H,c2689,0.5471689974564629,0.9548540711402893
3bda__1__2.A__2.D,c33,0.6670298455620911,0.8574405312538147
6cr9__1__1.D__1.E_1.F_1.I,c31,0.48378283826773516,1.2478922605514526
4d0t__2__1.E__1.Y_1.Z,c186,0.6378473371075033,1.0902615785598755
4d0t__1__1.F__1.CA_1.DA,c186,0.659709712447482,1.0161257982254028
