scope,model,direction,rows,positive_rows,all_queries,two_class_queries,candidate_scope,macro_ap,macro_auroc,macro_recall_5,macro_recall_10,macro_recall_20,macro_ndcg_20,median_candidates
historical_strict_2823,frozen_v3,d2t,2823,202,78,33,"only observed candidates, unknown pairs excluded",0.33801960037098255,0.6827315006421977,0.331290527654164,0.44457478548387636,0.6228305364669001,0.4237248870022347,34.0
historical_strict_2823,frozen_v3,t2d,2823,202,103,63,"only observed candidates, unknown pairs excluded",0.34068247043921146,0.6432726894693296,0.3432602670697909,0.6092970521541949,0.8439657344419249,0.49645841995368817,22.0
historical_strict_2823,J_old_relation_pretrained,d2t,2823,202,78,33,"only observed candidates, unknown pairs excluded",0.3815604332288172,0.7147157200410761,0.38023397477942933,0.4999793808884718,0.6554183190546827,0.46882923527363773,34.0
historical_strict_2823,J_old_relation_pretrained,t2d,2823,202,103,63,"only observed candidates, unknown pairs excluded",0.4020564783925096,0.6947221051785779,0.44213907785336354,0.6386621315192742,0.8845553036029227,0.5579531115224664,22.0
historical_strict_2823,production_independent,d2t,2823,202,78,33,"only observed candidates, unknown pairs excluded",0.41242127422578856,0.6792512721146831,0.3000575182393364,0.47914244005153095,0.6195602713784532,0.49150890799615976,34.0
historical_strict_2823,production_independent,t2d,2823,202,103,63,"only observed candidates, unknown pairs excluded",0.30472315985816134,0.5305042538365883,0.27399848828420253,0.4293902746283699,0.8095112118921644,0.4566670476329726,22.0
historical_strict_2823,v6_directional_full_fit,d2t,2823,202,78,33,"only observed candidates, unknown pairs excluded",0.39426957813683916,0.6710509676664679,0.30704975159520614,0.42201828474555747,0.6569275842003115,0.4763807524641198,34.0
historical_strict_2823,v6_directional_full_fit,t2d,2823,202,103,63,"only observed candidates, unknown pairs excluded",0.2936837734758198,0.6711704616829239,0.3812925170068026,0.6399848828420257,0.8766187956664148,0.46502600393499344,22.0
historical_strict_2823,dtiam,d2t,2823,202,78,33,"only observed candidates, unknown pairs excluded",0.38674816911584264,0.6601915854649137,0.3066266729903094,0.39165195074285986,0.6283457619821256,0.4712086456633549,34.0
historical_strict_2823,dtiam,t2d,2823,202,103,63,"only observed candidates, unknown pairs excluded",0.30409489486235186,0.6181524124310173,0.27370874275636176,0.5409423028470647,0.8293272864701436,0.4641633590895442,22.0
historical_strict_2823,positive_nearest,d2t,2823,202,78,33,"only observed candidates, unknown pairs excluded",0.38801632817805226,0.7260818945112868,0.38721053357416996,0.5408279935552663,0.6902747420929238,0.47885937973785947,34.0
historical_strict_2823,positive_nearest,t2d,2823,202,103,63,"only observed candidates, unknown pairs excluded",0.30693486414956633,0.5906308029905833,0.2748803224993701,0.5074577979339884,0.8318846056941295,0.4710729356676357,22.0
historical_strict_2823,pn_logistic,d2t,2823,202,78,33,"only observed candidates, unknown pairs excluded",0.4001066468116311,0.6934118960619636,0.38399691217873033,0.5510287019377929,0.6439009475373112,0.48293825532369916,34.0
historical_strict_2823,pn_logistic,t2d,2823,202,103,63,"only observed candidates, unknown pairs excluded",0.33394871589730746,0.6342177394216498,0.346686822877299,0.5768077601410934,0.8616024187452759,0.4995890407864781,22.0
historical_strict_2823,conplex,d2t,2823,202,78,33,"only observed candidates, unknown pairs excluded",0.2967897387230723,0.5743352708209183,0.3066571812026358,0.3984174411447139,0.5254374245283335,0.36652438592031117,34.0
historical_strict_2823,conplex,t2d,2823,202,103,63,"only observed candidates, unknown pairs excluded",0.23448415639352427,0.519656729331388,0.19659863945578232,0.4698664651045603,0.844116906021668,0.4357975846277266,22.0
single_construct_7505,frozen_v3,d2t,7505,987,79,70,"only observed candidates, unknown pairs excluded",0.6431695174917391,0.8419090945367347,0.387146743338526,0.5088765783373354,0.6510236734939091,0.7176326170004108,96.0
single_construct_7505,frozen_v3,t2d,7505,987,96,83,"only observed candidates, unknown pairs excluded",0.47518776139540114,0.7723758684964385,0.245811815464289,0.3576284250758531,0.5806066666541231,0.5473154445093534,79.0
single_construct_7505,J_old_relation_pretrained,d2t,7505,987,79,70,"only observed candidates, unknown pairs excluded",0.6677445176117592,0.8522605266236759,0.39873980741087145,0.5201259144354109,0.6578891690623568,0.7322941493432313,96.0
single_construct_7505,J_old_relation_pretrained,t2d,7505,987,96,83,"only observed candidates, unknown pairs excluded",0.5679480523991881,0.8143118624357346,0.32941205548727887,0.4582718352656842,0.656008471344618,0.6516545561746637,79.0
single_construct_7505,production_independent,d2t,7505,987,79,70,"only observed candidates, unknown pairs excluded",0.6118256787131652,0.8173405525118477,0.37739681698605887,0.4927329652199826,0.6181633733289603,0.6911881791985774,96.0
single_construct_7505,production_independent,t2d,7505,987,96,83,"only observed candidates, unknown pairs excluded",0.479187662390518,0.747661105080974,0.27346223111767604,0.409932006375072,0.5572001045318931,0.5614837071699174,79.0
single_construct_7505,v6_directional_full_fit,d2t,7505,987,79,70,"only observed candidates, unknown pairs excluded",0.6377959622463876,0.8364130713458358,0.3755974116011691,0.48615609476706173,0.6311375795055642,0.7042457023146841,96.0
single_construct_7505,v6_directional_full_fit,t2d,7505,987,96,83,"only observed candidates, unknown pairs excluded",0.3642586249149966,0.735578820665854,0.15929743149526504,0.2614479546360798,0.5094590873112944,0.42890029391897827,79.0
single_construct_7505,dtiam,d2t,7505,987,79,70,"only observed candidates, unknown pairs excluded",0.45702027996580535,0.7299795984434343,0.25949532168533523,0.34985892121928014,0.5151971887546225,0.5360708730703158,96.0
single_construct_7505,dtiam,t2d,7505,987,96,83,"only observed candidates, unknown pairs excluded",0.2887457380163249,0.6078831642221718,0.12381716571889202,0.21892687824472726,0.33802173504761707,0.3211738662184928,79.0
single_construct_7505,positive_nearest,d2t,7505,987,79,70,"only observed candidates, unknown pairs excluded",0.6192621176334191,0.8199992437238798,0.37152160209689866,0.49807866518431154,0.6366034144553262,0.7073535774775904,96.0
single_construct_7505,positive_nearest,t2d,7505,987,96,83,"only observed candidates, unknown pairs excluded",0.5012556969272083,0.741647101131956,0.28435684743397915,0.4142395756456515,0.5788417863284275,0.5822999668013062,79.0
single_construct_7505,pn_logistic,d2t,7505,987,79,70,"only observed candidates, unknown pairs excluded",0.6390775599371057,0.8161670528345248,0.3852237391288676,0.505083741457245,0.6342052678938956,0.7125922625877871,96.0
single_construct_7505,pn_logistic,t2d,7505,987,96,83,"only observed candidates, unknown pairs excluded",0.5245733947538147,0.7679386462921551,0.3008151833731797,0.44193037196061186,0.6030274313447991,0.6084166160812053,79.0
single_construct_7505,conplex,d2t,7505,987,79,70,"only observed candidates, unknown pairs excluded",0.3376449059899563,0.6419957344997921,0.1764290587872082,0.27650082118734987,0.4123292663399707,0.42245903606542257,96.0
single_construct_7505,conplex,t2d,7505,987,96,83,"only observed candidates, unknown pairs excluded",0.27937564764021766,0.5887766106225785,0.11949282034673693,0.22812133136255977,0.37665374968009174,0.3453447029314787,79.0
single_construct_unseen_by_J,frozen_v3,d2t,4844,501,79,63,"only observed candidates, unknown pairs excluded",0.4626293836365897,0.7044198292231117,0.3165815043966304,0.4484346730145049,0.6542842303113078,0.5575921518423835,38.0
single_construct_unseen_by_J,frozen_v3,t2d,4844,501,96,73,"only observed candidates, unknown pairs excluded",0.39141526228344664,0.6785290541389445,0.27135444464211583,0.42979254383363974,0.6487867915950108,0.50776870901253,42.0
single_construct_unseen_by_J,J_old_relation_pretrained,d2t,4844,501,79,63,"only observed candidates, unknown pairs excluded",0.48226927100892375,0.7466827605738791,0.3466001785329516,0.4771333129643119,0.7037142682334092,0.5889163813533658,38.0
single_construct_unseen_by_J,J_old_relation_pretrained,t2d,4844,501,96,73,"only observed candidates, unknown pairs excluded",0.44824131883837126,0.7288716736649031,0.35032862875328624,0.5073924173239241,0.6691252050841092,0.5561009732327328,42.0
single_construct_unseen_by_J,production_independent,d2t,4844,501,79,63,"only observed candidates, unknown pairs excluded",0.4606405581356585,0.7101438843835269,0.3260625427758948,0.4269585136998769,0.6830346193558146,0.5637312769067649,38.0
single_construct_unseen_by_J,production_independent,t2d,4844,501,96,73,"only observed candidates, unknown pairs excluded",0.3566086921413142,0.6424510200350441,0.264993872185653,0.40150329122931866,0.5734023206625947,0.4620358760418274,42.0
single_construct_unseen_by_J,v6_directional_full_fit,d2t,4844,501,79,63,"only observed candidates, unknown pairs excluded",0.4952828041895576,0.740202971883649,0.35152364839573047,0.48927092204403133,0.691279826270489,0.5924388899605502,38.0
single_construct_unseen_by_J,v6_directional_full_fit,t2d,4844,501,96,73,"only observed candidates, unknown pairs excluded",0.28544838921137655,0.6451635424346386,0.173972602739726,0.31127073079127876,0.5954115519184012,0.3909661270434612,42.0
