candidate_disease_original,query,mapped_id,mapped_name,mapping_status
acne,acne,MONDO_0011438,acne,mapped
actinic keratosis,rheumatoid arthritis,MONDO_0008383,rheumatoid arthritis,mapped
Acute arthritis,Acute arthritis,MONDO_0008383,rheumatoid arthritis,mapped
acute myeloid leukemia,acute myeloid leukemia,MONDO_0018874,acute myeloid leukemia,mapped
acute myocardial infarction,acute myocardial infarction,MONDO_0004781,acute myocardial infarction,mapped
acute myocarditis,acute myocarditis,MONDO_0002815,acute myocarditis,mapped
acute T cell leukemia,acute T cell leukemia,MONDO_0004963,T-cell acute lymphoblastic leukemia,mapped
adenosquamous cell lung carcinoma,adenosquamous cell lung carcinoma,MONDO_0004973,adenosquamous lung carcinoma,mapped
allergic asthma,allergic asthma,MONDO_0004784,allergic asthma,mapped
allergic contact dermatitis,allergic contact dermatitis,MONDO_0006525,allergic contact dermatitis,mapped
Alzheimer's disease,Alzheimer's disease,EFO_0006514,Alzheimer's disease biomarker measurement,mapped
AML,acute myeloid leukemia,MONDO_0018874,acute myeloid leukemia,mapped
AML/ALL,acute myeloid leukemia,MONDO_0018874,acute myeloid leukemia,mapped
AML/JMML,acute myeloid leukemia,MONDO_0018874,acute myeloid leukemia,mapped
AML/克隆性造血,acute myeloid leukemia,MONDO_0018874,acute myeloid leukemia,mapped
AML/淋巴瘤/血小板或造血异常待定,acute myeloid leukemia,MONDO_0018874,acute myeloid leukemia,mapped
amyotrophic lateral sclerosis,rheumatoid arthritis,MONDO_0008383,rheumatoid arthritis,mapped
anaplastic thyroid carcinoma,anaplastic thyroid carcinoma,MONDO_0006468,thyroid gland undifferentiated (anaplastic) carcinoma,mapped
anemia,anemia,MONDO_0002280,anemia,mapped
aplastic anemia,aplastic anemia,MONDO_0015909,aplastic anemia,mapped
AR阳性乳腺癌,breast carcinoma,MONDO_0004989,breast carcinoma,mapped
asthma,asthma,MONDO_0004979,asthma,mapped
atherosclerosis,atherosclerosis,MONDO_0005311,atherosclerosis,mapped
atopic dermatitis,atopic dermatitis,MONDO_0004980,atopic eczema,mapped
autoimmune thrombocytopenic purpura,rheumatoid arthritis,MONDO_0008383,rheumatoid arthritis,mapped
BCL2依赖淋巴瘤,lymphoma,MONDO_0005062,lymphoma,mapped
bipolar disorder,bipolar disorder,MONDO_0004985,bipolar disorder,mapped
BRAF突变黑色素瘤,melanoma,MONDO_0005105,melanoma,mapped
breast adenocarcinoma,breast adenocarcinoma,MONDO_0004988,breast adenocarcinoma,mapped
breast cancer,breast cancer,MONDO_0007254,breast cancer,mapped
B细胞自身免疫疾病,autoimmune disease,MONDO_0007179,autoimmune disease,mapped
Carcinoma in situ of large intestine,Carcinoma in situ of large intestine,MONDO_0004698,intestine carcinoma in situ,mapped
Cardiomyopathy,Cardiomyopathy,MONDO_0004994,cardiomyopathy,mapped
CCND1扩增乳腺癌,breast carcinoma,MONDO_0004989,breast carcinoma,mapped
cervical cancer,cervical cancer,MONDO_0002974,cervical cancer,mapped
cervix carcinoma,cervix carcinoma,MONDO_0042487,uterine cervix carcinoma in situ,mapped
chronic lymphocytic leukemia,chronic lymphocytic leukemia,MONDO_0004948,B-cell chronic lymphocytic leukemia,mapped
Chronic Lymphocytic Leukemia (Chronic B-lymphocytic leukemia),Chronic Lymphocytic Leukemia,MONDO_0004948,B-cell chronic lymphocytic leukemia,mapped
chronic myeloid leukemia,chronic myeloid leukemia,MONDO_0004653,"atypical chronic myeloid leukemia, BCR-ABL1 negative",mapped
CKD/肾纤维化/肾小球损伤待定,chronic kidney disease,MONDO_0005300,chronic kidney disease,mapped
CLL,chronic lymphocytic leukemia,MONDO_0004948,B-cell chronic lymphocytic leukemia,mapped
colitis,colitis,MONDO_0005292,colitis,mapped
colon cancer,colon cancer,MONDO_0002238,ascending colon cancer,mapped
colon carcinoma,colon carcinoma,MONDO_0002032,colon carcinoma,mapped
colorectal adenocarcinoma,colorectal adenocarcinoma,MONDO_0005008,colorectal adenocarcinoma,mapped
colorectal cancer,colorectal cancer,MONDO_0005575,colorectal cancer,mapped
Diabetic Nephropathy,Diabetic Nephropathy,MONDO_0005016,diabetic kidney disease,mapped
Diamond-Blackfan anemia,Diamond-Blackfan anemia,MONDO_0015253,Diamond-Blackfan anemia,mapped
diffuse large B-cell lymphoma,diffuse large B-cell lymphoma,MONDO_0018905,diffuse large B-cell lymphoma,mapped
dilated cardiomyopathy,dilated cardiomyopathy,MONDO_0005021,dilated cardiomyopathy,mapped
DNA损伤/凋亡模型,,,,skipped_no_specific_query
Duchenne muscular dystrophy,Duchenne muscular dystrophy,MONDO_0010679,Duchenne muscular dystrophy,mapped
ductal carcinoma in situ,ductal carcinoma in situ,MONDO_0005023,ductal breast carcinoma in situ,mapped
duodenum cancer,duodenum cancer,MONDO_0000920,duodenum cancer,mapped
EGFR突变NSCLC,non-small cell lung carcinoma,MONDO_0005233,non-small cell lung carcinoma,mapped
EMT/转移性肿瘤,,,,skipped_no_specific_query
endogenous depression,endogenous depression,Orphanet_397725,COASY protein-associated neurodegeneration,mapped
endometrial cancer,endometrial cancer,MONDO_0011962,endometrial cancer,mapped
epilepsy syndrome,epilepsy syndrome,MONDO_0015650,epilepsy syndrome,mapped
Erectile dysfunction associated with type 2 diabetes mellitus,Erectile dysfunction associated with type 2 diabetes mellitus,,,not_mapped
ER阳性乳腺癌,breast carcinoma,MONDO_0004989,breast carcinoma,mapped
esophagus adenocarcinoma,esophagus adenocarcinoma,MONDO_0005028,esophageal adenocarcinoma,mapped
esophagus squamous cell carcinoma,esophagus squamous cell carcinoma,MONDO_0005580,esophageal squamous cell carcinoma,mapped
facioscapulohumeral muscular dystrophy,rheumatoid arthritis,MONDO_0008383,rheumatoid arthritis,mapped
familial combined hyperlipidemia,familial combined hyperlipidemia,Orphanet_79211,Combined hyperlipidemia,mapped
GABA通路异常,,,,skipped_no_specific_query
