drug_chembl_id,candidate_anchor_gene,drug_chembl_id_originals,generic_name,candidate_anchor_name,first_approval_year,directions,review_ids,strict895_row_count,pair_priority_class,max_candidate_total_score,max_non_table_evidence_count,any_direct_known_label,any_known_drug_target_pair,fda_text_known_target_match,automated_novel_target_candidate,literature_window,post_approval_window_start,lit_ok,pair_pubmed_count_2000_2026,pair_pubmed_pmids_2000_2026,pair_pubmed_url_2000_2026,post_approval_pair_pubmed_count,post_approval_pair_pubmed_pmids,post_approval_pair_pubmed_url,literature_class,counts_as_reported_old_drug_new_target_signal,in_previous_12696_literature_audit,strict895_literature_status
CHEMBL4303220,KRAS,CHEMBL4303220,Difluprednate,GTPase KRas,2008.0,dermatology,strict895_0001,1,strict895,104.962,5,False,False,False,True,2000/01/01..2026/06/24,2008/01/01,True,0,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%22Difluprednate%22%5BTitle%2FAbstract%5D%29+AND+%28%22KRAS%22%5BTitle%2FAbstract%5D+OR+%22GTPase+KRas%22%5BTitle%2FAbstract%5D%29+AND+%28%222000%2F01%2F01%22%5BPDAT%5D+%3A+%222026%2F06%2F24%22%5BPDAT%5D%29&retmode=json&retmax=3&sort=pub%2Bdate,0,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%22Difluprednate%22%5BTitle%2FAbstract%5D%29+AND+%28%22KRAS%22%5BTitle%2FAbstract%5D+OR+%22GTPase+KRas%22%5BTitle%2FAbstract%5D%29+AND+%28%222008%2F01%2F01%22%5BPDAT%5D+%3A+%222026%2F06%2F24%22%5BPDAT%5D%29&retmode=json&retmax=3&sort=pub%2Bdate,no_pubmed_pair_report_2000_2026,False,False,unreported_in_pubmed_pair_audit
CHEMBL2364608,AR,CHEMBL2364608;CHEMBL2364608__DORAVIRINE,Doravirine,Androgen receptor,2018.0,oncology,strict895_0002;strict895_0003,2,strict895,104.927,5,False,False,False,True,2000/01/01..2026/06/24,2018/01/01,True,0,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%22Doravirine+And+Islatravir%22%5BTitle%2FAbstract%5D%29+AND+%28%22AR%22%5BTitle%2FAbstract%5D+OR+%22Androgen+receptor%22%5BTitle%2FAbstract%5D%29+AND+%28%222000%2F01%2F01%22%5BPDAT%5D+%3A+%222026%2F06%2F24%22%5BPDAT%5D%29&retmode=json&retmax=3&sort=pub%2Bdate,0,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%22Doravirine+And+Islatravir%22%5BTitle%2FAbstract%5D%29+AND+%28%22AR%22%5BTitle%2FAbstract%5D+OR+%22Androgen+receptor%22%5BTitle%2FAbstract%5D%29+AND+%28%222018%2F01%2F01%22%5BPDAT%5D+%3A+%222026%2F06%2F24%22%5BPDAT%5D%29&retmode=json&retmax=3&sort=pub%2Bdate,no_pubmed_pair_report_2000_2026,False,True,unreported_in_pubmed_pair_audit
CHEMBL3127326,IDH2,CHEMBL3127326,Ombitasvir,"Isocitrate dehydrogenase [NADP], mitochondrial",2015.0,oncology,strict895_0004,1,strict895,104.84,5,False,False,False,True,2000/01/01..2026/06/24,2015/01/01,True,0,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%22Ombitasvir%22%5BTitle%2FAbstract%5D%29+AND+%28%22IDH2%22%5BTitle%2FAbstract%5D+OR+%22Isocitrate+dehydrogenase+%5BNADP%5D%2C+mitochondrial%22%5BTitle%2FAbstract%5D%29+AND+%28%222000%2F01%2F01%22%5BPDAT%5D+%3A+%222026%2F06%2F24%22%5BPDAT%5D%29&retmode=json&retmax=3&sort=pub%2Bdate,0,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%22Ombitasvir%22%5BTitle%2FAbstract%5D%29+AND+%28%22IDH2%22%5BTitle%2FAbstract%5D+OR+%22Isocitrate+dehydrogenase+%5BNADP%5D%2C+mitochondrial%22%5BTitle%2FAbstract%5D%29+AND+%28%222015%2F01%2F01%22%5BPDAT%5D+%3A+%222026%2F06%2F24%22%5BPDAT%5D%29&retmode=json&retmax=3&sort=pub%2Bdate,no_pubmed_pair_report_2000_2026,False,False,unreported_in_pubmed_pair_audit
CHEMBL2364608,KRAS,CHEMBL2364608;CHEMBL2364608__DORAVIRINE,Doravirine,GTPase KRas,2018.0,oncology,strict895_0005;strict895_0006,2,strict895,104.787,5,False,False,False,True,2000/01/01..2026/06/24,2018/01/01,True,0,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%22Doravirine%22%5BTitle%2FAbstract%5D%29+AND+%28%22KRAS%22%5BTitle%2FAbstract%5D+OR+%22GTPase+KRas%22%5BTitle%2FAbstract%5D%29+AND+%28%222000%2F01%2F01%22%5BPDAT%5D+%3A+%222026%2F06%2F24%22%5BPDAT%5D%29&retmode=json&retmax=3&sort=pub%2Bdate,0,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%22Doravirine%22%5BTitle%2FAbstract%5D%29+AND+%28%22KRAS%22%5BTitle%2FAbstract%5D+OR+%22GTPase+KRas%22%5BTitle%2FAbstract%5D%29+AND+%28%222018%2F01%2F01%22%5BPDAT%5D+%3A+%222026%2F06%2F24%22%5BPDAT%5D%29&retmode=json&retmax=3&sort=pub%2Bdate,no_pubmed_pair_report_2000_2026,False,False,unreported_in_pubmed_pair_audit
CHEMBL885,CDK4,CHEMBL885,Emtricitabine,Cyclin-dependent kinase 4,2005.0,oncology,strict895_0007,1,strict895,104.751,5,False,False,False,True,2000/01/01..2026/06/24,2005/01/01,True,0,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%22Emtricitabine%22%5BTitle%2FAbstract%5D%29+AND+%28%22CDK4%22%5BTitle%2FAbstract%5D+OR+%22cyclin-dependent+kinase+4%22%5BTitle%2FAbstract%5D%29+AND+%28%222000%2F01%2F01%22%5BPDAT%5D+%3A+%222026%2F06%2F24%22%5BPDAT%5D%29&retmode=json&retmax=3&sort=pub%2Bdate,0,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%22Emtricitabine%22%5BTitle%2FAbstract%5D%29+AND+%28%22CDK4%22%5BTitle%2FAbstract%5D+OR+%22cyclin-dependent+kinase+4%22%5BTitle%2FAbstract%5D%29+AND+%28%222005%2F01%2F01%22%5BPDAT%5D+%3A+%222026%2F06%2F24%22%5BPDAT%5D%29&retmode=json&retmax=3&sort=pub%2Bdate,no_pubmed_pair_report_2000_2026,False,True,unreported_in_pubmed_pair_audit
CHEMBL1628504,CDK4,CHEMBL1628504,Rilpivirine Hydrochloride,Cyclin-dependent kinase 4,2011.0,oncology,strict895_0008,1,strict895,104.666,5,False,False,False,True,2000/01/01..2026/06/24,2011/01/01,True,0,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%22Rilpivirine+Hydrochloride%22%5BTitle%2FAbstract%5D+OR+%22Rilpivirine%22%5BTitle%2FAbstract%5D%29+AND+%28%22CDK4%22%5BTitle%2FAbstract%5D+OR+%22cyclin-dependent+kinase+4%22%5BTitle%2FAbstract%5D%29+AND+%28%222000%2F01%2F01%22%5BPDAT%5D+%3A+%222026%2F06%2F24%22%5BPDAT%5D%29&retmode=json&retmax=3&sort=pub%2Bdate,0,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%22Rilpivirine+Hydrochloride%22%5BTitle%2FAbstract%5D+OR+%22Rilpivirine%22%5BTitle%2FAbstract%5D%29+AND+%28%22CDK4%22%5BTitle%2FAbstract%5D+OR+%22cyclin-dependent+kinase+4%22%5BTitle%2FAbstract%5D%29+AND+%28%222011%2F01%2F01%22%5BPDAT%5D+%3A+%222026%2F06%2F24%22%5BPDAT%5D%29&retmode=json&retmax=3&sort=pub%2Bdate,no_pubmed_pair_report_2000_2026,False,False,unreported_in_pubmed_pair_audit
CHEMBL2364608,ESR1,CHEMBL2364608;CHEMBL2364608__DORAVIRINE,Doravirine,Estrogen receptor,2018.0,oncology,strict895_0009;strict895_0010,2,strict895,104.341,5,False,False,False,True,2000/01/01..2026/06/24,2018/01/01,True,0,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%22Doravirine+And+Islatravir%22%5BTitle%2FAbstract%5D%29+AND+%28%22ESR1%22%5BTitle%2FAbstract%5D+OR+%22estrogen+receptor+alpha%22%5BTitle%2FAbstract%5D+OR+%22ER+alpha%22%5BTitle%2FAbstract%5D+OR+%22Estrogen+receptor%22%5BTitle%2FAbstract%5D%29+AND+%28%222000%2F01%2F01%22%5BPDAT%5D+%3A+%222026%2F06%2F24%22%5BPDAT%5D%29&retmode=json&retmax=3&sort=pub%2Bdate,0,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%22Doravirine+And+Islatravir%22%5BTitle%2FAbstract%5D%29+AND+%28%22ESR1%22%5BTitle%2FAbstract%5D+OR+%22estrogen+receptor+alpha%22%5BTitle%2FAbstract%5D+OR+%22ER+alpha%22%5BTitle%2FAbstract%5D+OR+%22Estrogen+receptor%22%5BTitle%2FAbstract%5D%29+AND+%28%222018%2F01%2F01%22%5BPDAT%5D+%3A+%222026%2F06%2F24%22%5BPDAT%5D%29&retmode=json&retmax=3&sort=pub%2Bdate,no_pubmed_pair_report_2000_2026,False,True,unreported_in_pubmed_pair_audit
CHEMBL1628504,FGFR3,CHEMBL1628504,Rilpivirine Hydrochloride,Fibroblast growth factor receptor 3,2011.0,oncology,strict895_0011,1,strict895,104.187,5,False,False,False,True,2000/01/01..2026/06/24,2011/01/01,True,0,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%22Rilpivirine+Hydrochloride%22%5BTitle%2FAbstract%5D+OR+%22Rilpivirine%22%5BTitle%2FAbstract%5D%29+AND+%28%22FGFR3%22%5BTitle%2FAbstract%5D+OR+%22Fibroblast+growth+factor+receptor+3%22%5BTitle%2FAbstract%5D%29+AND+%28%222000%2F01%2F01%22%5BPDAT%5D+%3A+%222026%2F06%2F24%22%5BPDAT%5D%29&retmode=json&retmax=3&sort=pub%2Bdate,0,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%22Rilpivirine+Hydrochloride%22%5BTitle%2FAbstract%5D+OR+%22Rilpivirine%22%5BTitle%2FAbstract%5D%29+AND+%28%22FGFR3%22%5BTitle%2FAbstract%5D+OR+%22Fibroblast+growth+factor+receptor+3%22%5BTitle%2FAbstract%5D%29+AND+%28%222011%2F01%2F01%22%5BPDAT%5D+%3A+%222026%2F06%2F24%22%5BPDAT%5D%29&retmode=json&retmax=3&sort=pub%2Bdate,no_pubmed_pair_report_2000_2026,False,True,unreported_in_pubmed_pair_audit
CHEMBL1628504,FGFR2,CHEMBL1628504,Rilpivirine Hydrochloride,Fibroblast growth factor receptor 2,2011.0,oncology,strict895_0012,1,strict895,103.887,5,False,False,False,True,2000/01/01..2026/06/24,2011/01/01,True,0,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%22Rilpivirine+Hydrochloride%22%5BTitle%2FAbstract%5D+OR+%22Rilpivirine%22%5BTitle%2FAbstract%5D%29+AND+%28%22FGFR2%22%5BTitle%2FAbstract%5D+OR+%22Fibroblast+growth+factor+receptor+2%22%5BTitle%2FAbstract%5D%29+AND+%28%222000%2F01%2F01%22%5BPDAT%5D+%3A+%222026%2F06%2F24%22%5BPDAT%5D%29&retmode=json&retmax=3&sort=pub%2Bdate,0,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%22Rilpivirine+Hydrochloride%22%5BTitle%2FAbstract%5D+OR+%22Rilpivirine%22%5BTitle%2FAbstract%5D%29+AND+%28%22FGFR2%22%5BTitle%2FAbstract%5D+OR+%22Fibroblast+growth+factor+receptor+2%22%5BTitle%2FAbstract%5D%29+AND+%28%222011%2F01%2F01%22%5BPDAT%5D+%3A+%222026%2F06%2F24%22%5BPDAT%5D%29&retmode=json&retmax=3&sort=pub%2Bdate,no_pubmed_pair_report_2000_2026,False,False,unreported_in_pubmed_pair_audit
CHEMBL1628504,BTK,CHEMBL1628504,Rilpivirine Hydrochloride,Tyrosine-protein kinase BTK,2011.0,oncology,strict895_0013,1,strict895,103.656,5,False,False,False,True,2000/01/01..2026/06/24,2011/01/01,True,0,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%22Rilpivirine+Hydrochloride%22%5BTitle%2FAbstract%5D+OR+%22Rilpivirine%22%5BTitle%2FAbstract%5D%29+AND+%28%22BTK%22%5BTitle%2FAbstract%5D+OR+%22Tyrosine-protein+kinase+BTK%22%5BTitle%2FAbstract%5D%29+AND+%28%222000%2F01%2F01%22%5BPDAT%5D+%3A+%222026%2F06%2F24%22%5BPDAT%5D%29&retmode=json&retmax=3&sort=pub%2Bdate,0,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%22Rilpivirine+Hydrochloride%22%5BTitle%2FAbstract%5D+OR+%22Rilpivirine%22%5BTitle%2FAbstract%5D%29+AND+%28%22BTK%22%5BTitle%2FAbstract%5D+OR+%22Tyrosine-protein+kinase+BTK%22%5BTitle%2FAbstract%5D%29+AND+%28%222011%2F01%2F01%22%5BPDAT%5D+%3A+%222026%2F06%2F24%22%5BPDAT%5D%29&retmode=json&retmax=3&sort=pub%2Bdate,no_pubmed_pair_report_2000_2026,False,True,unreported_in_pubmed_pair_audit
