query,model_a,model_b,queries,valid_correlations,n_per_query,mean_spearman,median_spearman,mean_top10_overlap,mean_top10_tie_expected,mean_top10_chance
drug_id,biomaster,conplex,719,712,31.0,0.2301011678707774,0.3223155279238624,4.086230876216968,4.109174655761234,3.2258064516129026
drug_id,biomaster,drugclip,719,719,31.0,0.09579669343622414,0.1108870967741935,3.6842837273991655,3.6842837273991655,3.2258064516129026
drug_id,biomaster,dtbind,719,719,31.0,0.08045280183049935,0.08427419354838706,3.8762169680111267,3.8762169680111267,3.2258064516129026
drug_id,biomaster,dtiam,719,719,31.0,0.25948505989501547,0.3262096774193548,4.917941585535466,4.917941585535466,3.2258064516129026
drug_id,biomaster,nesso,719,719,31.0,0.2034400376867513,0.21370967741935473,4.3518776077885954,4.3518776077885954,3.2258064516129026
drug_id,biomaster,probematch,719,719,31.0,-0.07079751346715295,-0.08387096774193552,3.0055632823365785,3.0055632823365785,3.2258064516129026
drug_id,conplex,dtbind,719,712,31.0,0.07827780031061425,0.10927419354838705,3.8025034770514603,3.832530940998537,3.2258064516129026
drug_id,conplex,nesso,719,712,31.0,0.12860529040460003,0.15333546000794337,3.9276773296244785,3.9486169712883905,3.2258064516129026
drug_id,conplex,probematch,719,712,31.0,0.014549000997944818,0.006080113408760937,3.5201668984700976,3.5503479155688527,3.2258064516129026
drug_id,drugclip,conplex,719,712,31.0,0.057775122075715134,0.05917935305808349,3.4089012517385258,3.436817840719229,3.2258064516129026
drug_id,drugclip,dtbind,719,719,31.0,0.03503185427789493,0.012096774193548418,3.5159944367176634,3.5159944367176634,3.2258064516129026
drug_id,drugclip,dtiam,719,719,31.0,0.05521277311678407,0.07016129032258059,3.4965229485396385,3.4965229485396385,3.2258064516129026
drug_id,drugclip,nesso,719,719,31.0,0.1304987886401364,0.13185483870967757,3.8178025034770515,3.8178025034770515,3.2258064516129026
drug_id,drugclip,probematch,719,719,31.0,0.0557566169693593,0.0387096774193548,3.6620305980528514,3.6620305980528514,3.2258064516129026
drug_id,dtiam,conplex,719,712,31.0,0.12564740313581707,0.1391387240980959,3.6300417246175245,3.6034843765310143,3.2258064516129026
drug_id,dtiam,dtbind,719,719,31.0,-0.14895408048813316,-0.1600806451612904,2.9721835883171073,2.9721835883171073,3.2258064516129026
drug_id,dtiam,nesso,719,719,31.0,-0.10348490286688501,-0.10887096774193537,3.0264255910987483,3.0264255910987483,3.2258064516129026
drug_id,dtiam,probematch,719,719,31.0,-0.06663760402452731,-0.0693548387096774,2.90125173852573,2.90125173852573,3.2258064516129026
drug_id,nesso,dtbind,719,719,31.0,0.16717551258468302,0.16814516129032248,4.358831710709318,4.358831710709318,3.2258064516129026
drug_id,nesso,probematch,719,719,31.0,-0.00992572479395461,-0.009274193548387086,3.620305980528512,3.620305980528512,3.2258064516129026
drug_id,probematch,dtbind,719,719,31.0,0.35151475934135523,0.36975806451612897,4.570236439499305,4.570236439499305,3.2258064516129026
target_id,biomaster,conplex,31,31,719.0,0.009111595049161739,-0.012972804647271356,0.967741935483871,0.9838709677419355,0.13908205841446453
target_id,biomaster,drugclip,31,31,719.0,0.07870153788410772,0.08289946058889706,0.5483870967741935,0.5483870967741935,0.13908205841446453
target_id,biomaster,dtbind,31,31,719.0,0.2308277513582917,0.25664881602598644,1.1935483870967742,1.1935483870967742,0.13908205841446453
target_id,biomaster,dtiam,31,31,719.0,-0.02376052968625633,-0.027671924410702643,0.9354838709677419,0.9354838709677419,0.13908205841446453
target_id,biomaster,nesso,31,31,719.0,0.2612815067420417,0.2633996911009435,2.774193548387097,2.774193548387097,0.13908205841446453
target_id,biomaster,probematch,31,31,719.0,0.12525196070557354,0.13597731296562462,0.6129032258064516,0.6256109481915934,0.13908205841446453
target_id,conplex,dtbind,31,31,719.0,0.012940419885522374,-0.0553377769486094,0.4838709677419355,0.4838709677419355,0.13908205841446453
target_id,conplex,nesso,31,31,719.0,0.0596085151464032,0.018484266983530718,1.096774193548387,1.1129032258064515,0.13908205841446453
target_id,conplex,probematch,31,31,719.0,-0.06057845174638424,-0.09820719627513314,0.41935483870967744,0.40762463343108507,0.13908205841446453
target_id,drugclip,conplex,31,31,719.0,0.05589369601058555,0.04634087148592767,0.45161290322580644,0.45161290322580644,0.13908205841446453
target_id,drugclip,dtbind,31,31,719.0,0.14015746201568025,0.13442957959136664,0.3548387096774194,0.3548387096774194,0.13908205841446453
target_id,drugclip,dtiam,31,31,719.0,0.04784305551645371,0.039048550466109486,0.1935483870967742,0.1935483870967742,0.13908205841446453
target_id,drugclip,nesso,31,31,719.0,0.09424622762259009,0.06348014432507759,0.5806451612903226,0.5806451612903226,0.13908205841446453
target_id,drugclip,probematch,31,31,719.0,0.0731491044688873,0.07031453708264969,0.3870967741935484,0.38416422287390034,0.13908205841446453
target_id,dtiam,conplex,31,31,719.0,0.07250046690531488,0.07567435240888105,1.0,1.0,0.13908205841446453
target_id,dtiam,dtbind,31,31,719.0,-0.003009226494190292,0.010771742250724336,0.3548387096774194,0.3548387096774194,0.13908205841446453
target_id,dtiam,nesso,31,31,719.0,-0.08917215018961976,-0.11425312851324619,1.1290322580645162,1.1290322580645162,0.13908205841446453
target_id,dtiam,probematch,31,31,719.0,0.06581421590631706,0.06239689003700853,0.5161290322580645,0.5591397849462365,0.13908205841446453
target_id,nesso,dtbind,31,31,719.0,0.29810223336639013,0.31996894479570365,1.0,1.0,0.13908205841446453
target_id,nesso,probematch,31,31,719.0,0.07013392765721037,0.10517838533091073,0.7096774193548387,0.6871945259042034,0.13908205841446453
target_id,probematch,dtbind,31,31,719.0,0.2679300287565767,0.3156450272740729,1.0,0.9970674486803519,0.13908205841446453
