target_id,gene,state
CHEMBL1871,AR,available
CHEMBL1902,FKBP1A,available
CHEMBL2085,MIF,available
CHEMBL3474,PLA2G2A,available
CHEMBL4502,CDA,available
CHEMBL1930,VKORC1,available
CHEMBL4342,PLA2G10,no_author_sequence
CHEMBL6044,BCL2A1,no_author_sequence
CHEMBL202,DHFR,available
CHEMBL2189121,KRAS,available
CHEMBL3430865,PTGDS,no_author_sequence
CHEMBL3902,GSTP1,available
CHEMBL4625,BCL2L1,available
CHEMBL4860,BCL2,available
CHEMBL5705,EGLN3,available
CHEMBL4068,CMA1,available
CHEMBL2019,DIO1,no_author_sequence
CHEMBL2176771,CFD,available
CHEMBL1856,SRD5A2,sequence_mismatch
CHEMBL205,CA2,available
CHEMBL261,CA1,available
CHEMBL2326,CA7,available
CHEMBL248,ELANE,available
CHEMBL4073,MMP7,available
CHEMBL2023,COMT,available
CHEMBL3623,NQO1,available
CHEMBL1786,IMPA1,available
CHEMBL4338,PNP,available
CHEMBL4036,CDK5,available
CHEMBL4235,HSD11B1,available
CHEMBL308,CDK1,available
CHEMBL301,CDK2,available
CHEMBL331,CDK4,available
CHEMBL4191,MGLL,no_author_sequence
CHEMBL2435,PPP2CB,available
CHEMBL3935,AURKC,no_author_sequence
CHEMBL4703,PPP2CA,available
CHEMBL3729,CA4,available
CHEMBL1952,TYMS,available
CHEMBL1900,AKR1B1,available
CHEMBL5619,APEX1,available
CHEMBL2508,CDK6,available
CHEMBL268,CTSK,available
CHEMBL2954,CTSS,available
CHEMBL2185,AURKB,available
CHEMBL3055,CDK7,available
CHEMBL3310,HDAC11,no_author_sequence
CHEMBL2778,SLC10A2,no_author_sequence
CHEMBL3242,CA12,available
CHEMBL260,MAPK14,available
CHEMBL4040,MAPK1,available
CHEMBL1910,ADA,available
CHEMBL3961,MAPK11,available
CHEMBL3116,CDK9,available
CHEMBL3670,HSD3B2,available
CHEMBL2321614,KCNK9,available
CHEMBL4116,ADH5,available
CHEMBL3192,HDAC8,available
CHEMBL3385,MAPK3,available
CHEMBL2331042,KCNK18,no_author_sequence
CHEMBL1886,KCNJ11,sequence_mismatch
CHEMBL3629,CSNK2A1,available
CHEMBL1861,HPD,sequence_mismatch
CHEMBL3587,MAP2K1,available
CHEMBL4096,TP53,available
CHEMBL2063,UGCG,available
CHEMBL2321613,KCNK3,available
CHEMBL1966,DHODH,available
CHEMBL2998,P2RX3,no_author_sequence
CHEMBL2208,MAPKAPK2,available
CHEMBL2964,MAP2K2,available
CHEMBL4685,IDO1,available
CHEMBL4722,AURKA,sequence_mismatch
CHEMBL4801,CASP1,available
CHEMBL286,REN,available
CHEMBL3028,EGLN2,available
CHEMBL1989,DPEP1,available
CHEMBL2007625,IDH1,available
CHEMBL4937,CSNK1E,no_author_sequence
CHEMBL3338,FDFT1,available
CHEMBL1782,FDPS,available
CHEMBL262,GSK3B,available
CHEMBL4179,MAPK9,available
CHEMBL4770,KCNJ8,available
CHEMBL2321615,KCNK2,available
CHEMBL5697,EGLN1,available
CHEMBL1914276,KCNJ2,no_author_sequence
CHEMBL1977,VDR,available
CHEMBL2276,MAPK8,available
CHEMBL1829,HDAC3,available
CHEMBL2524,GLA,available
CHEMBL3514,PLA2G7,available
CHEMBL3979,PPARD,available
CHEMBL5689,TPH1,available
CHEMBL2808,NR1H3,available
CHEMBL4601,PTK6,available
CHEMBL4956,GABRA2,available
CHEMBL3076,PAH,available
CHEMBL3991501,IDH2,available
CHEMBL2003,RARG,available
