来源/口径,覆盖靶点数,占888比例
PDBe原始任意配体接触位点,769,0.865990990990991
BioLiP2原始项目匹配,659,0.7421171171171171
KLIFS项目结构覆盖,111,0.125
GPCRdb项目结构覆盖,125,0.14076576576576577
scPDB链+配体精确映射,207,0.23310810810810811
PDBe/统一实验口袋,737,0.829954954954955
PDBe药物映射口袋,227,0.25563063063063063
统一基准内BioLiP2支持,563,0.634009009009009
统一基准内BioLiP2带亲和记录,327,0.36824324324324326
统一基准内scPDB支持,202,0.22747747747747749
统一基准内KLIFS支持,109,0.12274774774774774
统一基准内GPCRdb支持,118,0.13288288288288289
Open Targets结构配体标记,603,0.6790540540540541
Open Targets高质量口袋标记,222,0.25
Open Targets中质量口袋标记,75,0.08445945945945946
