评估集合,P2Rank范围,匹配口径,可评估靶点数,匹配靶点数,匹配率
全部实验口袋靶点,TOP1,残基重叠达标,729,516,0.7078189300411523
全部实验口袋靶点,TOP1,中心距离<=4A,729,337,0.46227709190672156
全部实验口袋靶点,TOP1,中心距离<=8A,729,464,0.6364883401920439
全部实验口袋靶点,TOP1,残基或中心<=8A,729,529,0.7256515775034293
全部实验口袋靶点,TOP3,残基重叠达标,729,586,0.803840877914952
全部实验口袋靶点,TOP3,中心距离<=4A,729,421,0.5775034293552812
全部实验口袋靶点,TOP3,中心距离<=8A,729,547,0.7503429355281207
全部实验口袋靶点,TOP3,残基或中心<=8A,729,602,0.8257887517146777
全部实验口袋靶点,ALL,残基重叠达标,729,611,0.8381344307270233
全部实验口袋靶点,ALL,中心距离<=4A,729,475,0.6515775034293553
全部实验口袋靶点,ALL,中心距离<=8A,729,587,0.8052126200274349
全部实验口袋靶点,ALL,残基或中心<=8A,729,624,0.8559670781893004
K1药物映射实验口袋,TOP1,残基重叠达标,223,205,0.9192825112107623
K1药物映射实验口袋,TOP1,中心距离<=4A,223,152,0.6816143497757847
K1药物映射实验口袋,TOP1,中心距离<=8A,223,192,0.8609865470852018
K1药物映射实验口袋,TOP1,残基或中心<=8A,223,205,0.9192825112107623
K1药物映射实验口袋,TOP3,残基重叠达标,223,215,0.9641255605381166
K1药物映射实验口袋,TOP3,中心距离<=4A,223,179,0.8026905829596412
K1药物映射实验口袋,TOP3,中心距离<=8A,223,208,0.9327354260089686
K1药物映射实验口袋,TOP3,残基或中心<=8A,223,215,0.9641255605381166
K1药物映射实验口袋,ALL,残基重叠达标,223,219,0.9820627802690582
K1药物映射实验口袋,ALL,中心距离<=4A,223,196,0.8789237668161435
K1药物映射实验口袋,ALL,中心距离<=8A,223,216,0.968609865470852
K1药物映射实验口袋,ALL,残基或中心<=8A,223,219,0.9820627802690582
K1+K2高置信实验口袋,TOP1,残基重叠达标,576,477,0.828125
K1+K2高置信实验口袋,TOP1,中心距离<=4A,576,325,0.5642361111111112
K1+K2高置信实验口袋,TOP1,中心距离<=8A,576,436,0.7569444444444444
K1+K2高置信实验口袋,TOP1,残基或中心<=8A,576,483,0.8385416666666666
K1+K2高置信实验口袋,TOP3,残基重叠达标,576,532,0.9236111111111112
K1+K2高置信实验口袋,TOP3,中心距离<=4A,576,402,0.6979166666666666
K1+K2高置信实验口袋,TOP3,中心距离<=8A,576,503,0.8732638888888888
K1+K2高置信实验口袋,TOP3,残基或中心<=8A,576,536,0.9305555555555556
K1+K2高置信实验口袋,ALL,残基重叠达标,576,544,0.9444444444444444
K1+K2高置信实验口袋,ALL,中心距离<=4A,576,453,0.7864583333333334
K1+K2高置信实验口袋,ALL,中心距离<=8A,576,532,0.9236111111111112
K1+K2高置信实验口袋,ALL,残基或中心<=8A,576,547,0.9496527777777778
非GPCR实验口袋,TOP1,残基重叠达标,595,393,0.6605042016806723
非GPCR实验口袋,TOP1,中心距离<=4A,595,255,0.42857142857142855
非GPCR实验口袋,TOP1,中心距离<=8A,595,349,0.5865546218487395
非GPCR实验口袋,TOP1,残基或中心<=8A,595,406,0.6823529411764706
非GPCR实验口袋,TOP3,残基重叠达标,595,458,0.7697478991596639
非GPCR实验口袋,TOP3,中心距离<=4A,595,321,0.5394957983193277
非GPCR实验口袋,TOP3,中心距离<=8A,595,425,0.7142857142857143
非GPCR实验口袋,TOP3,残基或中心<=8A,595,474,0.7966386554621848
非GPCR实验口袋,ALL,残基重叠达标,595,482,0.8100840336134454
非GPCR实验口袋,ALL,中心距离<=4A,595,369,0.6201680672268908
非GPCR实验口袋,ALL,中心距离<=8A,595,461,0.7747899159663866
非GPCR实验口袋,ALL,残基或中心<=8A,595,495,0.8319327731092437
GPCR实验口袋,TOP1,残基重叠达标,134,123,0.917910447761194
GPCR实验口袋,TOP1,中心距离<=4A,134,82,0.6119402985074627
GPCR实验口袋,TOP1,中心距离<=8A,134,115,0.8582089552238806
GPCR实验口袋,TOP1,残基或中心<=8A,134,123,0.917910447761194
GPCR实验口袋,TOP3,残基重叠达标,134,128,0.9552238805970149
GPCR实验口袋,TOP3,中心距离<=4A,134,100,0.746268656716418
GPCR实验口袋,TOP3,中心距离<=8A,134,122,0.9104477611940298
GPCR实验口袋,TOP3,残基或中心<=8A,134,128,0.9552238805970149
GPCR实验口袋,ALL,残基重叠达标,134,129,0.9626865671641791
GPCR实验口袋,ALL,中心距离<=4A,134,106,0.7910447761194029
GPCR实验口袋,ALL,中心距离<=8A,134,126,0.9402985074626866
GPCR实验口袋,ALL,残基或中心<=8A,134,129,0.9626865671641791
激酶实验口袋,TOP1,残基重叠达标,112,94,0.8392857142857143
激酶实验口袋,TOP1,中心距离<=4A,112,74,0.6607142857142857
激酶实验口袋,TOP1,中心距离<=8A,112,91,0.8125
激酶实验口袋,TOP1,残基或中心<=8A,112,95,0.8482142857142857
激酶实验口袋,TOP3,残基重叠达标,112,105,0.9375
激酶实验口袋,TOP3,中心距离<=4A,112,88,0.7857142857142857
激酶实验口袋,TOP3,中心距离<=8A,112,102,0.9107142857142857
激酶实验口袋,TOP3,残基或中心<=8A,112,105,0.9375
激酶实验口袋,ALL,残基重叠达标,112,108,0.9642857142857143
激酶实验口袋,ALL,中心距离<=4A,112,94,0.8392857142857143
激酶实验口袋,ALL,中心距离<=8A,112,106,0.9464285714285714
激酶实验口袋,ALL,残基或中心<=8A,112,108,0.9642857142857143
