评估集合,P2Rank范围,匹配口径,可评估靶点数,匹配靶点数,匹配率
全部靶点代表口袋,TOP1,残基重叠达标,729,373,0.5116598079561042
全部靶点代表口袋,TOP1,中心距离<=4A,729,138,0.18930041152263374
全部靶点代表口袋,TOP1,中心距离<=8A,729,318,0.43621399176954734
全部靶点代表口袋,TOP1,残基或中心<=8A,729,382,0.52400548696845
全部靶点代表口袋,TOP3,残基重叠达标,729,460,0.6310013717421125
全部靶点代表口袋,TOP3,中心距离<=4A,729,175,0.24005486968449932
全部靶点代表口袋,TOP3,中心距离<=8A,729,394,0.5404663923182441
全部靶点代表口袋,TOP3,残基或中心<=8A,729,477,0.654320987654321
全部靶点代表口袋,ALL,残基重叠达标,729,518,0.710562414266118
全部靶点代表口袋,ALL,中心距离<=4A,729,206,0.2825788751714678
全部靶点代表口袋,ALL,中心距离<=8A,729,453,0.6213991769547325
全部靶点代表口袋,ALL,残基或中心<=8A,729,535,0.7338820301783264
K1药物映射代表口袋,TOP1,残基重叠达标,223,164,0.7354260089686099
K1药物映射代表口袋,TOP1,中心距离<=4A,223,56,0.25112107623318386
K1药物映射代表口袋,TOP1,中心距离<=8A,223,137,0.6143497757847534
K1药物映射代表口袋,TOP1,残基或中心<=8A,223,164,0.7354260089686099
K1药物映射代表口袋,TOP3,残基重叠达标,223,185,0.8295964125560538
K1药物映射代表口袋,TOP3,中心距离<=4A,223,71,0.3183856502242152
K1药物映射代表口袋,TOP3,中心距离<=8A,223,161,0.7219730941704036
K1药物映射代表口袋,TOP3,残基或中心<=8A,223,186,0.8340807174887892
K1药物映射代表口袋,ALL,残基重叠达标,223,198,0.8878923766816144
K1药物映射代表口袋,ALL,中心距离<=4A,223,81,0.3632286995515695
K1药物映射代表口袋,ALL,中心距离<=8A,223,179,0.8026905829596412
K1药物映射代表口袋,ALL,残基或中心<=8A,223,200,0.8968609865470852
K1+K2高置信代表口袋,TOP1,残基重叠达标,576,351,0.609375
K1+K2高置信代表口袋,TOP1,中心距离<=4A,576,134,0.2326388888888889
K1+K2高置信代表口袋,TOP1,中心距离<=8A,576,302,0.5243055555555556
K1+K2高置信代表口袋,TOP1,残基或中心<=8A,576,355,0.6163194444444444
K1+K2高置信代表口袋,TOP3,残基重叠达标,576,426,0.7395833333333334
K1+K2高置信代表口袋,TOP3,中心距离<=4A,576,168,0.2916666666666667
K1+K2高置信代表口袋,TOP3,中心距离<=8A,576,366,0.6354166666666666
K1+K2高置信代表口袋,TOP3,残基或中心<=8A,576,433,0.7517361111111112
K1+K2高置信代表口袋,ALL,残基重叠达标,576,474,0.8229166666666666
K1+K2高置信代表口袋,ALL,中心距离<=4A,576,195,0.3385416666666667
K1+K2高置信代表口袋,ALL,中心距离<=8A,576,416,0.7222222222222222
K1+K2高置信代表口袋,ALL,残基或中心<=8A,576,481,0.8350694444444444
非GPCR代表口袋,TOP1,残基重叠达标,595,277,0.46554621848739497
非GPCR代表口袋,TOP1,中心距离<=4A,595,103,0.173109243697479
非GPCR代表口袋,TOP1,中心距离<=8A,595,227,0.3815126050420168
非GPCR代表口袋,TOP1,残基或中心<=8A,595,283,0.4756302521008403
非GPCR代表口袋,TOP3,残基重叠达标,595,351,0.5899159663865546
非GPCR代表口袋,TOP3,中心距离<=4A,595,129,0.21680672268907564
非GPCR代表口袋,TOP3,中心距离<=8A,595,289,0.4857142857142857
非GPCR代表口袋,TOP3,残基或中心<=8A,595,363,0.6100840336134454
非GPCR代表口袋,ALL,残基重叠达标,595,400,0.6722689075630253
非GPCR代表口袋,ALL,中心距离<=4A,595,153,0.2571428571428571
非GPCR代表口袋,ALL,中心距离<=8A,595,341,0.573109243697479
非GPCR代表口袋,ALL,残基或中心<=8A,595,414,0.6957983193277311
GPCR代表口袋,TOP1,残基重叠达标,134,96,0.7164179104477612
GPCR代表口袋,TOP1,中心距离<=4A,134,35,0.26119402985074625
GPCR代表口袋,TOP1,中心距离<=8A,134,91,0.6791044776119403
GPCR代表口袋,TOP1,残基或中心<=8A,134,99,0.7388059701492538
GPCR代表口袋,TOP3,残基重叠达标,134,109,0.8134328358208955
GPCR代表口袋,TOP3,中心距离<=4A,134,46,0.34328358208955223
GPCR代表口袋,TOP3,中心距离<=8A,134,105,0.7835820895522388
GPCR代表口袋,TOP3,残基或中心<=8A,134,114,0.8507462686567164
GPCR代表口袋,ALL,残基重叠达标,134,118,0.8805970149253731
GPCR代表口袋,ALL,中心距离<=4A,134,53,0.39552238805970147
GPCR代表口袋,ALL,中心距离<=8A,134,112,0.835820895522388
GPCR代表口袋,ALL,残基或中心<=8A,134,121,0.9029850746268657
激酶代表口袋,TOP1,残基重叠达标,112,86,0.7678571428571429
激酶代表口袋,TOP1,中心距离<=4A,112,41,0.36607142857142855
激酶代表口袋,TOP1,中心距离<=8A,112,80,0.7142857142857143
激酶代表口袋,TOP1,残基或中心<=8A,112,86,0.7678571428571429
激酶代表口袋,TOP3,残基重叠达标,112,99,0.8839285714285714
激酶代表口袋,TOP3,中心距离<=4A,112,48,0.42857142857142855
激酶代表口袋,TOP3,中心距离<=8A,112,95,0.8482142857142857
激酶代表口袋,TOP3,残基或中心<=8A,112,99,0.8839285714285714
激酶代表口袋,ALL,残基重叠达标,112,104,0.9285714285714286
激酶代表口袋,ALL,中心距离<=4A,112,52,0.4642857142857143
激酶代表口袋,ALL,中心距离<=8A,112,101,0.9017857142857143
激酶代表口袋,ALL,残基或中心<=8A,112,104,0.9285714285714286
