run,pair_id,boltz_stem,protected_processed_batch
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL1782__CHEMBL2333537,000298_CHEMBL1782__CHEMBL2333537,batch_0003
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL1824__CHEMBL1873475,000610_CHEMBL1824__CHEMBL1873475,batch_0007
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL1827__CHEMBL2180945,000677_CHEMBL1827__CHEMBL2180945,batch_0007
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL1841__CHEMBL1421,000801_CHEMBL1841__CHEMBL1421,batch_0009
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL1844__CHEMBL1421,000866_CHEMBL1844__CHEMBL1421,batch_0009
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL1862__CHEMBL1171837,001012_CHEMBL1862__CHEMBL1171837,batch_0011
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL1868__CHEMBL388978,001137_CHEMBL1868__CHEMBL388978,batch_0012
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL1868__CHEMBL535,001141_CHEMBL1868__CHEMBL535,batch_0012
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL1871__CHEMBL386630,001201_CHEMBL1871__CHEMBL386630,batch_0013
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL1908__CHEMBL157101,001649_CHEMBL1908__CHEMBL157101,batch_0017
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL1929__CHEMBL1078685,001922_CHEMBL1929__CHEMBL1078685,batch_0020
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL1935__CHEMBL491174,001988_CHEMBL1935__CHEMBL491174,batch_0020
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL1936__CHEMBL535,002049_CHEMBL1936__CHEMBL535,batch_0021
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL1936__CHEMBL388978,002050_CHEMBL1936__CHEMBL388978,batch_0021
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL1937__CHEMBL235842,002117_CHEMBL1937__CHEMBL235842,batch_0022
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL1947__CHEMBL1544,002209_CHEMBL1947__CHEMBL1544,batch_0023
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL1957__CHEMBL1091644,002401_CHEMBL1957__CHEMBL1091644,batch_0025
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL1974__CHEMBL535,002529_CHEMBL1974__CHEMBL535,batch_0026
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL1974__CHEMBL388978,002531_CHEMBL1974__CHEMBL388978,batch_0026
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL1978__CHEMBL1399,002659_CHEMBL1978__CHEMBL1399,batch_0027
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL1981__CHEMBL388978,002785_CHEMBL1981__CHEMBL388978,batch_0028
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL2007__CHEMBL388978,003170_CHEMBL2007__CHEMBL388978,batch_0032
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL2007__CHEMBL535,003171_CHEMBL2007__CHEMBL535,batch_0032
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL2008__CHEMBL38,003249_CHEMBL2008__CHEMBL38,batch_0033
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL2023__CHEMBL1089318,003377_CHEMBL2023__CHEMBL1089318,batch_0034
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL2023__CHEMBL5653589,003381_CHEMBL2023__CHEMBL5653589,batch_0034
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL2039__CHEMBL279390,003538_CHEMBL2039__CHEMBL279390,batch_0036
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL2041__CHEMBL388978,003666_CHEMBL2041__CHEMBL388978,batch_0037
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL205__CHEMBL218490,003804_CHEMBL205__CHEMBL218490,batch_0039
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL208__CHEMBL2311103,004181_CHEMBL208__CHEMBL2311103,batch_0042
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL2085__CHEMBL4516611,004243_CHEMBL2085__CHEMBL4516611,batch_0043
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL2148__CHEMBL388978,004370_CHEMBL2148__CHEMBL388978,batch_0044
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL2189110__CHEMBL3287735,004689_CHEMBL2189110__CHEMBL3287735,batch_0047
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL2208__CHEMBL388978,004882_CHEMBL2208__CHEMBL388978,batch_0049
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL2252__CHEMBL3900409,005009_CHEMBL2252__CHEMBL3900409,batch_0051
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL2276__CHEMBL388978,005073_CHEMBL2276__CHEMBL388978,batch_0051
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL2292__CHEMBL269538,005265_CHEMBL2292__CHEMBL269538,batch_0053
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL241__CHEMBL4247714,006018_CHEMBL241__CHEMBL4247714,batch_0061
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL242__CHEMBL81,006081_CHEMBL242__CHEMBL81,batch_0061
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL258__CHEMBL1421,006658_CHEMBL258__CHEMBL1421,batch_0067
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL261__CHEMBL18,006881_CHEMBL261__CHEMBL18,batch_0069
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL262__CHEMBL388978,006945_CHEMBL262__CHEMBL388978,batch_0070
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL262__CHEMBL3301610,006946_CHEMBL262__CHEMBL3301610,batch_0070
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL267__CHEMBL1421,007073_CHEMBL267__CHEMBL1421,batch_0071
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL2695__CHEMBL388978,007265_CHEMBL2695__CHEMBL388978,batch_0073
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL2722__CHEMBL3099695,007362_CHEMBL2722__CHEMBL3099695,batch_0074
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL279__CHEMBL223360,007527_CHEMBL279__CHEMBL223360,batch_0076
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL2815__CHEMBL388978,007713_CHEMBL2815__CHEMBL388978,batch_0078
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL2821__CHEMBL114586,007841_CHEMBL2821__CHEMBL114586,batch_0079
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL283__CHEMBL19611,007905_CHEMBL283__CHEMBL19611,batch_0080
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL2850__CHEMBL3301610,008168_CHEMBL2850__CHEMBL3301610,batch_0082
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL286__CHEMBL31601,008239_CHEMBL286__CHEMBL31601,batch_0083
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL288__CHEMBL63,008353_CHEMBL288__CHEMBL63,batch_0084
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL2971__CHEMBL1789941,008578_CHEMBL2971__CHEMBL1789941,batch_0086
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL2973__CHEMBL571948,008645_CHEMBL2973__CHEMBL571948,batch_0087
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL3116__CHEMBL2103840,009345_CHEMBL3116__CHEMBL2103840,batch_0094
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL3234__CHEMBL388978,009793_CHEMBL3234__CHEMBL388978,batch_0098
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL325__CHEMBL99,009921_CHEMBL325__CHEMBL99,batch_0100
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL3267__CHEMBL521851,009986_CHEMBL3267__CHEMBL521851,batch_0100
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL3267__CHEMBL592445,009992_CHEMBL3267__CHEMBL592445,batch_0100
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL3522__CHEMBL277535,010626_CHEMBL3522__CHEMBL277535,batch_0107
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL3535__CHEMBL5810180,010697_CHEMBL3535__CHEMBL5810180,batch_0107
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL3553__CHEMBL388978,010753_CHEMBL3553__CHEMBL388978,batch_0108
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL3717__CHEMBL3402762,011365_CHEMBL3717__CHEMBL3402762,batch_0114
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL3729__CHEMBL20,011489_CHEMBL3729__CHEMBL20,batch_0115
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL3922__CHEMBL4456585,012028_CHEMBL3922__CHEMBL4456585,batch_0121
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL3979__CHEMBL38508,012289_CHEMBL3979__CHEMBL38508,batch_0123
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL3991__CHEMBL3127491,012417_CHEMBL3991__CHEMBL3127491,batch_0125
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL4005__CHEMBL428496,012501_CHEMBL4005__CHEMBL428496,batch_0126
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL4005__CHEMBL592445,012529_CHEMBL4005__CHEMBL592445,batch_0126
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL402__CHEMBL1487,012593_CHEMBL402__CHEMBL1487,batch_0126
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL4073__CHEMBL75094,012833_CHEMBL4073__CHEMBL75094,batch_0129
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL4142__CHEMBL3348846,013026_CHEMBL4142__CHEMBL3348846,batch_0131
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL4142__CHEMBL477772,013031_CHEMBL4142__CHEMBL477772,batch_0131
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL4179__CHEMBL1950289,013089_CHEMBL4179__CHEMBL1950289,batch_0131
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL4245__CHEMBL418971,013409_CHEMBL4245__CHEMBL418971,batch_0135
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL4247__CHEMBL388978,013441_CHEMBL4247__CHEMBL388978,batch_0135
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL4393__CHEMBL2385479,013763_CHEMBL4393__CHEMBL2385479,batch_0138
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL4409__CHEMBL248380,013826_CHEMBL4409__CHEMBL248380,batch_0139
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL4481__CHEMBL107251,014081_CHEMBL4481__CHEMBL107251,batch_0141
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL4791__CHEMBL571153,014786_CHEMBL4791__CHEMBL571153,batch_0148
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL4895__CHEMBL388978,015073_CHEMBL4895__CHEMBL388978,batch_0151
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL4895__CHEMBL535,015076_CHEMBL4895__CHEMBL535,batch_0151
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL4898__CHEMBL388978,015137_CHEMBL4898__CHEMBL388978,batch_0152
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL4898__CHEMBL608533,015149_CHEMBL4898__CHEMBL608533,batch_0152
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL5145__CHEMBL477989,015458_CHEMBL5145__CHEMBL477989,batch_0155
outputs/boltz2_calibration_338_v1/formal_screen_run,CHEMBL5311__CHEMBL24828,015810_CHEMBL5311__CHEMBL24828,batch_0159
