model,scored_pairs,total_pairs,coverage_percent,targets_with_scores,targets_720,missing_pairs,state,snapshot_utc
ConPLex,276480,276480,100.0,384,384,0,COMPLETE,2026-09-20T10:16:00.467016+00:00
DrugCLIP,275040,276480,99.47916666666667,382,382,1440,PARTIAL_SEE_STATUS,2026-09-20T10:16:00.467016+00:00
DTIAM_A,276480,276480,100.0,384,384,0,COMPLETE,2026-09-20T10:16:00.467016+00:00
Nesso-1,98528,276480,35.636574074074076,256,0,177952,PARTIAL_SEE_STATUS,2026-09-20T10:16:00.467016+00:00
ProbeMatchDTI,276480,276480,100.0,384,384,0,COMPLETE,2026-09-20T10:16:00.467016+00:00
DTBind_occurrence,204830,276480,74.08492476851852,285,284,71650,PARTIAL_SEE_STATUS,2026-09-20T10:16:00.467016+00:00
MAMMAL_pKd,0,276480,0.0,0,0,276480,PENDING_ADAPTER_QUALIFICATION,2026-09-20T10:16:00.467016+00:00
BALM,0,276480,0.0,0,0,276480,PENDING_ADAPTER_QUALIFICATION,2026-09-20T10:16:00.467016+00:00
EviDTI,0,276480,0.0,0,0,276480,PENDING_ADAPTER_QUALIFICATION,2026-09-20T10:16:00.467016+00:00
GraphBAN,0,276480,0.0,0,0,276480,PENDING_ADAPTER_QUALIFICATION,2026-09-20T10:16:00.467016+00:00
