view,direction,model_a,model_b,requested_queries,eligible_queries,constant_queries,mean_common_candidates,mean_spearman,median_spearman,mean_kendall_tau_b,median_kendall_tau_b,mean_top5_overlap,median_top5_overlap,mean_top10_overlap,median_top10_overlap,mean_top20_overlap,median_top20_overlap,mean_top10_random,median_top10_random,mean_top10_adjusted,median_top10_adjusted
pairwise_common,target_to_drug,ConPLex,DrugCLIP,745,676,0,720.0,0.04312736256966261,0.03148944905583291,0.029783656714215956,0.021682454482388293,0.057692307692307696,0.0,0.25,0.0,0.8920118343195266,0.0,0.13888888888888887,0.1388888888888889,0.011267605633802816,-0.014084507042253523
pairwise_common,drug_to_target,ConPLex,DrugCLIP,720,720,0,676.0,0.04392270717689721,0.04725621943802867,0.030053834338229887,0.03261389016521911,0.14097222222222222,0.0,0.37277777777777776,0.0,1.0339814814814816,1.0,0.14792899408284027,0.14792899408284024,0.022822489155822485,-0.015015015015015015
pairwise_common,target_to_drug,ConPLex,BALM,745,620,0,720.0,-0.0072651520259581935,0.0015111651838063817,-0.003744964168423541,0.0007443497908348634,0.1064516129032258,0.0,0.27903225806451615,0.0,1.0838709677419356,1.0,0.13888888888888887,0.1388888888888889,0.014211721944570654,-0.014084507042253523
pairwise_common,drug_to_target,ConPLex,BALM,720,720,0,620.0,-0.0031747663340035985,0.00615604194949264,-0.0037390918616821032,0.001315295427446054,0.09305555555555556,0.0,0.2625,0.0,0.7208333333333333,0.0,0.16129032258064518,0.16129032258064516,0.01028688524590164,-0.01639344262295082
pairwise_common,target_to_drug,ConPLex,ScopeDTI_light,745,745,0,720.0,0.009527591958323998,0.011361426579926203,0.007911025326428268,0.008675412187517861,0.07248322147651007,0.0,0.21610738255033557,0.0,0.636241610738255,0.0,0.13888888888888887,0.1388888888888889,0.007830607807921353,-0.014084507042253523
pairwise_common,drug_to_target,ConPLex,ScopeDTI_light,720,720,0,745.0,0.1062436744071336,0.1125033990956017,0.07377285820010346,0.0781697062774872,0.08893518518518519,0.0,0.2856944444444444,0.0,0.9240740740740739,1.0,0.1342281879194631,0.1342281879194631,0.015352702191987902,-0.01360544217687075
pairwise_common,target_to_drug,ConPLex,CheMLT-F,745,745,0,720.0,-0.04660994431161868,-0.03957901006263887,-0.0315463175603879,-0.02749595286613949,0.13288590604026845,0.0,0.3275167785234899,0.0,0.9771812080536912,0.0,0.13888888888888887,0.1388888888888889,0.019128462047452503,-0.014084507042253523
pairwise_common,drug_to_target,ConPLex,CheMLT-F,720,720,0,745.0,0.016840041003109176,0.012977227225173903,0.012567682919561087,0.009179252221018558,0.0699074074074074,0.0,0.23375,0.0,0.6781481481481482,0.0,0.1342281879194631,0.1342281879194631,0.010087585034013604,-0.01360544217687075
pairwise_common,target_to_drug,DrugCLIP,BALM,745,562,0,720.0,0.0036092795541828814,0.019809155995121258,0.0019942197856118514,0.012065601640360416,0.014234875444839857,0.0,0.09252669039145907,0.0,0.45195729537366547,0.0,0.13888888888888887,0.1388888888888889,-0.0047015187208661255,-0.014084507042253523
pairwise_common,drug_to_target,DrugCLIP,BALM,720,720,0,562.0,0.0194818285010521,0.02099485596266166,0.0129790261701031,0.013302376919709973,0.04722222222222222,0.0,0.20694444444444443,0.0,0.8541666666666666,1.0,0.1779359430604983,0.17793594306049823,0.0029534017713365546,-0.018115942028985508
pairwise_common,target_to_drug,DrugCLIP,ScopeDTI_light,745,676,0,720.0,0.02357460839448059,0.02059841936423488,0.01556200058356084,0.013722763096893836,0.05473372781065089,0.0,0.17011834319526628,0.0,0.7233727810650887,0.0,0.13888888888888887,0.1388888888888889,0.0031669305775481266,-0.014084507042253523
pairwise_common,drug_to_target,DrugCLIP,ScopeDTI_light,720,720,0,676.0,0.03252480448088382,0.028921266716971747,0.021922829154074983,0.019640587332895025,0.06944444444444445,0.0,0.25972222222222224,0.0,0.8861111111111111,1.0,0.14792899408284027,0.14792899408284024,0.01134718051384718,-0.015015015015015015
pairwise_common,target_to_drug,DrugCLIP,CheMLT-F,745,676,0,720.0,0.01599689723576499,0.021105654394446206,0.01056523385503872,0.013645495286663577,0.09023668639053255,0.0,0.3254437869822485,0.0,1.022189349112426,0.0,0.13888888888888887,0.1388888888888889,0.01891824318693225,-0.014084507042253523
pairwise_common,drug_to_target,DrugCLIP,CheMLT-F,720,720,0,676.0,-6.983287347460923e-05,0.0008919732314801056,-1.407852564441049e-05,0.00021915406530791145,0.0875,0.0,0.2861111111111111,0.0,0.8888888888888888,1.0,0.14792899408284027,0.14792899408284024,0.014025692359025692,-0.015015015015015015
pairwise_common,target_to_drug,BALM,ScopeDTI_light,745,620,0,720.0,0.29886004006008965,0.32867130568276226,0.2021984671092532,0.22138642499118816,0.06129032258064516,0.0,0.21129032258064517,0.0,0.7919354838709678,0.0,0.13888888888888887,0.1388888888888889,0.007342117219445705,-0.014084507042253523
pairwise_common,drug_to_target,BALM,ScopeDTI_light,720,720,0,620.0,0.012414096441625645,0.012780369590770474,0.008253957733987825,0.008348533013705767,0.043055555555555555,0.0,0.4486111111111111,0.0,1.2361111111111112,1.0,0.16129032258064518,0.16129032258064516,0.029203096539162112,-0.01639344262295082
pairwise_common,target_to_drug,BALM,CheMLT-F,745,620,0,720.0,0.16339467341895395,0.15213315838227925,0.11183209443776232,0.1032126708773612,0.01935483870967742,0.0,0.15806451612903225,0.0,1.0032258064516129,1.0,0.13888888888888887,0.1388888888888889,0.0019445706497046781,-0.014084507042253523
pairwise_common,drug_to_target,BALM,CheMLT-F,720,720,0,620.0,0.030781440785632875,0.025586896478281256,0.02057618971280676,0.017606464118365986,0.10138888888888889,0.0,0.2125,0.0,0.8541666666666666,1.0,0.16129032258064518,0.16129032258064516,0.005204918032786886,-0.01639344262295082
pairwise_common,target_to_drug,ScopeDTI_light,CheMLT-F,745,745,0,720.0,0.1407384418202693,0.1435481164122616,0.09506654988177335,0.09626428732881376,0.07516778523489932,0.0,0.33557046979865773,0.0,1.3288590604026846,1.0,0.13888888888888887,0.1388888888888889,0.0199451744021174,-0.014084507042253523
pairwise_common,drug_to_target,ScopeDTI_light,CheMLT-F,720,720,0,745.0,0.017602787556980987,0.01862676578108596,0.011609385531428734,0.01210761000679007,0.10694444444444444,0.0,0.275,0.0,0.7527777777777778,0.0,0.1342281879194631,0.1342281879194631,0.014268707482993194,-0.01360544217687075
completed_models_common,target_to_drug,ConPLex,DrugCLIP,745,562,0,720.0,0.04790257676128398,0.04385459232291152,0.03307075345775098,0.030485218016495674,0.05693950177935943,0.0,0.2277580071174377,0.0,0.8487544483985765,0.0,0.13888888888888887,0.1388888888888889,0.009012079595007768,-0.014084507042253523
completed_models_common,drug_to_target,ConPLex,DrugCLIP,720,720,0,562.0,0.045690618712644966,0.04774900194742547,0.031287671218487585,0.0334942808248862,0.15694444444444444,0.0,0.39693287037037034,0.0,1.1236111111111111,1.0,0.1779359430604983,0.17793594306049823,0.022296426294954375,-0.018115942028985508
completed_models_common,target_to_drug,ConPLex,BALM,745,562,0,720.0,-0.002974233812318936,0.012440670081110269,-0.0007138873140075406,0.006860248051034582,0.11209964412811388,0.0,0.2900355871886121,0.0,1.1334519572953736,1.0,0.13888888888888887,0.1388888888888889,0.015327552503633903,-0.014084507042253523
completed_models_common,drug_to_target,ConPLex,BALM,720,720,0,562.0,0.004328366429309076,0.010486625624657913,0.0016453945269370974,0.0068953092008836306,0.10694444444444444,0.0,0.2916666666666667,0.0,0.7763888888888889,1.0,0.1779359430604983,0.17793594306049823,0.011579106280193237,-0.018115942028985508
completed_models_common,target_to_drug,ConPLex,ScopeDTI_light,745,562,0,720.0,-0.00037124279427665707,0.0019223608165755053,0.0011954386150980754,0.0017061814579543387,0.03914590747330961,0.0,0.1619217081850534,0.0,0.5427046263345195,0.0,0.13888888888888887,0.1388888888888889,0.0023357225201744262,-0.014084507042253523
completed_models_common,drug_to_target,ConPLex,ScopeDTI_light,720,720,0,562.0,0.10586359927559853,0.11363032161481575,0.07401222932068975,0.07843770822699847,0.0765625,0.0,0.3074074074074074,0.0,1.0416666666666667,1.0,0.1779359430604983,0.17793594306049823,0.013181696188942568,-0.018115942028985508
completed_models_common,target_to_drug,ConPLex,CheMLT-F,745,562,0,720.0,-0.04812199050363069,-0.03740115669480952,-0.03272320583913127,-0.026364842115491727,0.12099644128113879,0.0,0.2722419928825623,0.0,0.8371886120996441,0.0,0.13888888888888887,0.1388888888888889,0.013523131672597867,-0.014084507042253523
completed_models_common,drug_to_target,ConPLex,CheMLT-F,720,720,0,562.0,0.02208965698973302,0.01620721130441722,0.016213318457479073,0.010917601655445298,0.06469907407407408,0.0,0.2134259259259259,0.0,0.6944444444444444,0.0,0.1779359430604983,0.17793594306049823,0.00361329173376275,-0.018115942028985508
completed_models_common,target_to_drug,DrugCLIP,BALM,745,562,0,720.0,0.0036092795541828814,0.019809155995121258,0.0019942197856118514,0.012065601640360416,0.014234875444839857,0.0,0.09252669039145907,0.0,0.45195729537366547,0.0,0.13888888888888887,0.1388888888888889,-0.0047015187208661255,-0.014084507042253523
completed_models_common,drug_to_target,DrugCLIP,BALM,720,720,0,562.0,0.0194818285010521,0.02099485596266166,0.0129790261701031,0.013302376919709973,0.04722222222222222,0.0,0.20694444444444443,0.0,0.8541666666666666,1.0,0.1779359430604983,0.17793594306049823,0.0029534017713365546,-0.018115942028985508
completed_models_common,target_to_drug,DrugCLIP,ScopeDTI_light,745,562,0,720.0,0.021483358894236936,0.02104895714176403,0.014158708385984388,0.014004790604234277,0.05338078291814947,0.0,0.1601423487544484,0.0,0.6797153024911032,0.0,0.13888888888888887,0.1388888888888889,0.002155280437070821,-0.014084507042253523
completed_models_common,drug_to_target,DrugCLIP,ScopeDTI_light,720,720,0,562.0,0.029219593683898648,0.027269472363429033,0.01972945613334729,0.017768220196522477,0.07916666666666666,0.0,0.29583333333333334,0.0,1.0833333333333333,1.0,0.1779359430604983,0.17793594306049823,0.012003321256038651,-0.018115942028985508
