model,target_id,requested_drugs,reused_scored_drugs,missing_scores,next_action
ConPLex,CHEMBL1075094,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1075113,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL1075126,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1075153,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL1075319,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1163124,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1169596,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1169600,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL1250358,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL1250360,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL1250375,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1250417,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1255163,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1275223,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL1287628,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1293224,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL1293232,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL1293266,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL1615381,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL1628478,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1641347,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1641348,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1641353,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1649052,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL1649058,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL1697671,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL1697674,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL1741186,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL1741208,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL1741305,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL1741309,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL1744522,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1744525,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1778,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL1781,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1781870,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1782,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1783,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL1786,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1795,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL1795108,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL1795116,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1795122,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL1795129,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL1795178,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL1795197,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL1796,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL1801,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1803,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL1806,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1808,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1812,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1817,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL1822,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1824,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1825,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL1827,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1829,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1834,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL1835,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1839,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1841,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1842,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL1843,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1844,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1846,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1847,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1856,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1859,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1861,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1862,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1864,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL1865,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1868,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1869,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL1871,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1873,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1874,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
