run_id,stage,plan_scope,arm,view,architecture,loss,seed,variant,feature_set,train_members,validation_members,test_members,status,requires,output_dir,test_use
A2_C1_source_purged_additive_binary_default_s101,C1,conditional,A,source_purged,additive,binary,101,default,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_source_purged_train.parquet,data/research/dti_reliability_20260920_v1/A_source_purged_validation.parquet,data/research/dti_reliability_20260920_v1/A_source_purged_test.parquet,CONDITIONAL_NOT_QUEUED,Activate for source-dependence question before this test is viewed; account for reduced training size,outputs/dti_reliability_A_runs_20260920/A2_C1_source_purged_additive_binary_default_s101,Final retrospective evaluation only; no test-based checkpoint or gate selection
A2_C1_source_purged_additive_binary_default_s202,C1,conditional,A,source_purged,additive,binary,202,default,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_source_purged_train.parquet,data/research/dti_reliability_20260920_v1/A_source_purged_validation.parquet,data/research/dti_reliability_20260920_v1/A_source_purged_test.parquet,CONDITIONAL_NOT_QUEUED,Activate for source-dependence question before this test is viewed; account for reduced training size,outputs/dti_reliability_A_runs_20260920/A2_C1_source_purged_additive_binary_default_s202,Final retrospective evaluation only; no test-based checkpoint or gate selection
A2_C1_source_purged_additive_binary_default_s303,C1,conditional,A,source_purged,additive,binary,303,default,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_source_purged_train.parquet,data/research/dti_reliability_20260920_v1/A_source_purged_validation.parquet,data/research/dti_reliability_20260920_v1/A_source_purged_test.parquet,CONDITIONAL_NOT_QUEUED,Activate for source-dependence question before this test is viewed; account for reduced training size,outputs/dti_reliability_A_runs_20260920/A2_C1_source_purged_additive_binary_default_s303,Final retrospective evaluation only; no test-based checkpoint or gate selection
A2_C1_source_purged_global_mlp_binary_default_s101,C1,conditional,A,source_purged,global_mlp,binary,101,default,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_source_purged_train.parquet,data/research/dti_reliability_20260920_v1/A_source_purged_validation.parquet,data/research/dti_reliability_20260920_v1/A_source_purged_test.parquet,CONDITIONAL_NOT_QUEUED,Activate for source-dependence question before this test is viewed; account for reduced training size,outputs/dti_reliability_A_runs_20260920/A2_C1_source_purged_global_mlp_binary_default_s101,Final retrospective evaluation only; no test-based checkpoint or gate selection
A2_C1_source_purged_global_mlp_binary_default_s202,C1,conditional,A,source_purged,global_mlp,binary,202,default,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_source_purged_train.parquet,data/research/dti_reliability_20260920_v1/A_source_purged_validation.parquet,data/research/dti_reliability_20260920_v1/A_source_purged_test.parquet,CONDITIONAL_NOT_QUEUED,Activate for source-dependence question before this test is viewed; account for reduced training size,outputs/dti_reliability_A_runs_20260920/A2_C1_source_purged_global_mlp_binary_default_s202,Final retrospective evaluation only; no test-based checkpoint or gate selection
A2_C1_source_purged_global_mlp_binary_default_s303,C1,conditional,A,source_purged,global_mlp,binary,303,default,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_source_purged_train.parquet,data/research/dti_reliability_20260920_v1/A_source_purged_validation.parquet,data/research/dti_reliability_20260920_v1/A_source_purged_test.parquet,CONDITIONAL_NOT_QUEUED,Activate for source-dependence question before this test is viewed; account for reduced training size,outputs/dti_reliability_A_runs_20260920/A2_C1_source_purged_global_mlp_binary_default_s303,Final retrospective evaluation only; no test-based checkpoint or gate selection
A2_C2_scaffold_replay_dual_cosine_binary_relu_projection_s101,C2,conditional,A,scaffold_replay,dual_cosine,binary,101,relu_projection,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,CONDITIONAL_NOT_QUEUED,Matched activation mechanism study; does not reproduce full native ConPLex,outputs/dti_reliability_A_runs_20260920/A2_C2_scaffold_replay_dual_cosine_binary_relu_projection_s101,Final retrospective evaluation only; no test-based checkpoint or gate selection
A2_C2_scaffold_replay_dual_cosine_binary_relu_projection_s202,C2,conditional,A,scaffold_replay,dual_cosine,binary,202,relu_projection,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,CONDITIONAL_NOT_QUEUED,Matched activation mechanism study; does not reproduce full native ConPLex,outputs/dti_reliability_A_runs_20260920/A2_C2_scaffold_replay_dual_cosine_binary_relu_projection_s202,Final retrospective evaluation only; no test-based checkpoint or gate selection
A2_C2_scaffold_replay_dual_cosine_binary_relu_projection_s303,C2,conditional,A,scaffold_replay,dual_cosine,binary,303,relu_projection,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,CONDITIONAL_NOT_QUEUED,Matched activation mechanism study; does not reproduce full native ConPLex,outputs/dti_reliability_A_runs_20260920/A2_C2_scaffold_replay_dual_cosine_binary_relu_projection_s303,Final retrospective evaluation only; no test-based checkpoint or gate selection
A2_C3_scaffold_replay_tapb_native_binary_enabled_s101,C3,conditional,A,scaffold_replay,tapb_native,binary,101,enabled,TAPB_native,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,CONDITIONAL_NOT_QUEUED,Freeze target-prior hypothesis on development data; matched with/without-intervention pair; feature/config parity before training,outputs/dti_reliability_A_runs_20260920/A2_C3_scaffold_replay_tapb_native_binary_enabled_s101,Final retrospective evaluation only; no test-based checkpoint or gate selection
