run_id,stage,plan_scope,arm,view,architecture,loss,seed,variant,feature_set,train_members,validation_members,test_members,status,requires,output_dir,test_use
A2_A1_scaffold_replay_drug_only_binary_default_s101,A1,main,A,scaffold_replay,drug_only,binary,101,default,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Common-input trainer and speed/validation preflight,outputs/dti_reliability_A_runs_20260920/A2_A1_scaffold_replay_drug_only_binary_default_s101,Final retrospective evaluation only; no test-based checkpoint or gate selection
A2_A1_scaffold_replay_drug_only_binary_default_s202,A1,main,A,scaffold_replay,drug_only,binary,202,default,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Common-input trainer and speed/validation preflight,outputs/dti_reliability_A_runs_20260920/A2_A1_scaffold_replay_drug_only_binary_default_s202,Final retrospective evaluation only; no test-based checkpoint or gate selection
A2_A1_scaffold_replay_drug_only_binary_default_s303,A1,main,A,scaffold_replay,drug_only,binary,303,default,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Common-input trainer and speed/validation preflight,outputs/dti_reliability_A_runs_20260920/A2_A1_scaffold_replay_drug_only_binary_default_s303,Final retrospective evaluation only; no test-based checkpoint or gate selection
A2_A1_scaffold_replay_protein_only_binary_default_s101,A1,main,A,scaffold_replay,protein_only,binary,101,default,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Common-input trainer and speed/validation preflight,outputs/dti_reliability_A_runs_20260920/A2_A1_scaffold_replay_protein_only_binary_default_s101,Final retrospective evaluation only; no test-based checkpoint or gate selection
A2_A1_scaffold_replay_protein_only_binary_default_s202,A1,main,A,scaffold_replay,protein_only,binary,202,default,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Common-input trainer and speed/validation preflight,outputs/dti_reliability_A_runs_20260920/A2_A1_scaffold_replay_protein_only_binary_default_s202,Final retrospective evaluation only; no test-based checkpoint or gate selection
A2_A1_scaffold_replay_protein_only_binary_default_s303,A1,main,A,scaffold_replay,protein_only,binary,303,default,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Common-input trainer and speed/validation preflight,outputs/dti_reliability_A_runs_20260920/A2_A1_scaffold_replay_protein_only_binary_default_s303,Final retrospective evaluation only; no test-based checkpoint or gate selection
A2_A1_scaffold_replay_additive_binary_default_s101,A1,main,A,scaffold_replay,additive,binary,101,default,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Common-input trainer and speed/validation preflight,outputs/dti_reliability_A_runs_20260920/A2_A1_scaffold_replay_additive_binary_default_s101,Final retrospective evaluation only; no test-based checkpoint or gate selection
A2_A1_scaffold_replay_additive_binary_default_s202,A1,main,A,scaffold_replay,additive,binary,202,default,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Common-input trainer and speed/validation preflight,outputs/dti_reliability_A_runs_20260920/A2_A1_scaffold_replay_additive_binary_default_s202,Final retrospective evaluation only; no test-based checkpoint or gate selection
A2_A1_scaffold_replay_additive_binary_default_s303,A1,main,A,scaffold_replay,additive,binary,303,default,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Common-input trainer and speed/validation preflight,outputs/dti_reliability_A_runs_20260920/A2_A1_scaffold_replay_additive_binary_default_s303,Final retrospective evaluation only; no test-based checkpoint or gate selection
A2_A1_scaffold_replay_dual_cosine_binary_default_s101,A1,main,A,scaffold_replay,dual_cosine,binary,101,default,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Common-input trainer and speed/validation preflight,outputs/dti_reliability_A_runs_20260920/A2_A1_scaffold_replay_dual_cosine_binary_default_s101,Final retrospective evaluation only; no test-based checkpoint or gate selection
A2_A1_scaffold_replay_dual_cosine_binary_default_s202,A1,main,A,scaffold_replay,dual_cosine,binary,202,default,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Common-input trainer and speed/validation preflight,outputs/dti_reliability_A_runs_20260920/A2_A1_scaffold_replay_dual_cosine_binary_default_s202,Final retrospective evaluation only; no test-based checkpoint or gate selection
A2_A1_scaffold_replay_dual_cosine_binary_default_s303,A1,main,A,scaffold_replay,dual_cosine,binary,303,default,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Common-input trainer and speed/validation preflight,outputs/dti_reliability_A_runs_20260920/A2_A1_scaffold_replay_dual_cosine_binary_default_s303,Final retrospective evaluation only; no test-based checkpoint or gate selection
A2_A1_scaffold_replay_bilinear_binary_default_s101,A1,main,A,scaffold_replay,bilinear,binary,101,default,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Common-input trainer and speed/validation preflight,outputs/dti_reliability_A_runs_20260920/A2_A1_scaffold_replay_bilinear_binary_default_s101,Final retrospective evaluation only; no test-based checkpoint or gate selection
A2_A1_scaffold_replay_bilinear_binary_default_s202,A1,main,A,scaffold_replay,bilinear,binary,202,default,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Common-input trainer and speed/validation preflight,outputs/dti_reliability_A_runs_20260920/A2_A1_scaffold_replay_bilinear_binary_default_s202,Final retrospective evaluation only; no test-based checkpoint or gate selection
A2_A1_scaffold_replay_bilinear_binary_default_s303,A1,main,A,scaffold_replay,bilinear,binary,303,default,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Common-input trainer and speed/validation preflight,outputs/dti_reliability_A_runs_20260920/A2_A1_scaffold_replay_bilinear_binary_default_s303,Final retrospective evaluation only; no test-based checkpoint or gate selection
A2_A1_scaffold_replay_global_mlp_binary_default_s101,A1,main,A,scaffold_replay,global_mlp,binary,101,default,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Common-input trainer and speed/validation preflight,outputs/dti_reliability_A_runs_20260920/A2_A1_scaffold_replay_global_mlp_binary_default_s101,Final retrospective evaluation only; no test-based checkpoint or gate selection
A2_A1_scaffold_replay_global_mlp_binary_default_s202,A1,main,A,scaffold_replay,global_mlp,binary,202,default,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Common-input trainer and speed/validation preflight,outputs/dti_reliability_A_runs_20260920/A2_A1_scaffold_replay_global_mlp_binary_default_s202,Final retrospective evaluation only; no test-based checkpoint or gate selection
