arm,view,split,endpoint,exact_regression_rows,assay_rows_min5
A,scaffold_replay,train,Kd,20660,11768
A,scaffold_replay,train,Ki,171809,137771
A,scaffold_replay,train,IC50,0,0
A,scaffold_replay,train,EC50,0,0
A,scaffold_replay,validation,Kd,3727,0
A,scaffold_replay,validation,Ki,21460,0
A,scaffold_replay,validation,IC50,0,0
A,scaffold_replay,validation,EC50,0,0
A,scaffold_replay,test,Kd,3555,0
A,scaffold_replay,test,Ki,20432,0
A,scaffold_replay,test,IC50,0,0
A,scaffold_replay,test,EC50,0,0
A,source_purged,train,Kd,3214,1027
A,source_purged,train,Ki,29119,19996
A,source_purged,train,IC50,0,0
A,source_purged,train,EC50,0,0
A,source_purged,validation,Kd,1206,0
A,source_purged,validation,Ki,7784,0
A,source_purged,validation,IC50,0,0
A,source_purged,validation,EC50,0,0
A,source_purged,test,Kd,3522,0
A,source_purged,test,Ki,20383,0
A,source_purged,test,IC50,0,0
A,source_purged,test,EC50,0,0
A,cold_target,train,Kd,23245,9948
A,cold_target,train,Ki,189485,121168
A,cold_target,train,IC50,0,0
A,cold_target,train,EC50,0,0
A,cold_target,validation,Kd,2337,972
A,cold_target,validation,Ki,10572,7194
A,cold_target,validation,IC50,0,0
A,cold_target,validation,EC50,0,0
A,cold_target,test,Kd,2360,848
A,cold_target,test,Ki,13644,9409
A,cold_target,test,IC50,0,0
A,cold_target,test,EC50,0,0
A,double_cold,train,Kd,17282,9948
A,double_cold,train,Ki,152236,121168
A,double_cold,train,IC50,0,0
A,double_cold,train,EC50,0,0
A,double_cold,validation,Kd,330,0
A,double_cold,validation,Ki,951,0
A,double_cold,validation,IC50,0,0
A,double_cold,validation,EC50,0,0
A,double_cold,test,Kd,366,0
A,double_cold,test,Ki,1320,0
A,double_cold,test,IC50,0,0
A,double_cold,test,EC50,0,0
A,temporal_conservative,train,Kd,20224,9611
A,temporal_conservative,train,Ki,192998,123896
A,temporal_conservative,train,IC50,0,0
A,temporal_conservative,train,EC50,0,0
A,temporal_conservative,validation,Kd,1182,422
A,temporal_conservative,validation,Ki,7588,5277
A,temporal_conservative,validation,IC50,0,0
A,temporal_conservative,validation,EC50,0,0
A,temporal_conservative,test,Kd,2134,976
A,temporal_conservative,test,Ki,6586,4152
A,temporal_conservative,test,IC50,0,0
A,temporal_conservative,test,EC50,0,0
B,scaffold_replay,train,Kd,20749,12104
B,scaffold_replay,train,Ki,172012,138965
B,scaffold_replay,train,IC50,530921,427584
B,scaffold_replay,train,EC50,75564,60858
B,scaffold_replay,validation,Kd,3729,0
B,scaffold_replay,validation,Ki,21506,0
B,scaffold_replay,validation,IC50,63204,0
B,scaffold_replay,validation,EC50,9535,0
B,scaffold_replay,test,Kd,3563,0
B,scaffold_replay,test,Ki,20445,0
B,scaffold_replay,test,IC50,64738,0
B,scaffold_replay,test,EC50,9032,0
B,source_purged,train,Kd,3251,1049
B,source_purged,train,Ki,29206,20205
B,source_purged,train,IC50,70899,43421
B,source_purged,train,EC50,11533,8169
B,source_purged,validation,Kd,1201,0
B,source_purged,validation,Ki,7819,0
B,source_purged,validation,IC50,15341,0
B,source_purged,validation,EC50,2462,0
B,source_purged,test,Kd,3530,0
B,source_purged,test,Ki,20396,0
B,source_purged,test,IC50,63315,0
B,source_purged,test,EC50,8450,0
B,cold_target,train,Kd,23336,10238
B,cold_target,train,Ki,189579,122055
B,cold_target,train,IC50,525783,341556
B,cold_target,train,EC50,80491,51780
B,cold_target,validation,Kd,2339,1008
B,cold_target,validation,Ki,10698,7392
B,cold_target,validation,IC50,54086,36053
B,cold_target,validation,EC50,9375,5968
B,cold_target,test,Kd,2366,858
B,cold_target,test,Ki,13686,9518
B,cold_target,test,IC50,78994,49975
B,cold_target,test,EC50,4265,3110
B,double_cold,train,Kd,17365,10238
B,double_cold,train,Ki,152294,122055
B,double_cold,train,IC50,423302,341556
B,double_cold,train,EC50,64249,51780
B,double_cold,validation,Kd,332,0
B,double_cold,validation,Ki,956,0
B,double_cold,validation,IC50,5141,0
B,double_cold,validation,EC50,814,0
B,double_cold,test,Kd,369,0
B,double_cold,test,Ki,1320,0
B,double_cold,test,IC50,7441,0
B,double_cold,test,EC50,297,0
B,temporal_conservative,train,Kd,20351,9894
B,temporal_conservative,train,Ki,193321,124995
B,temporal_conservative,train,IC50,555240,362355
B,temporal_conservative,train,EC50,83412,53569
B,temporal_conservative,validation,Kd,1192,431
B,temporal_conservative,validation,Ki,7595,5315
B,temporal_conservative,validation,IC50,29601,16682
B,temporal_conservative,validation,EC50,3126,2117
B,temporal_conservative,test,Kd,2145,985
B,temporal_conservative,test,Ki,6594,4159
B,temporal_conservative,test,IC50,49132,29825
B,temporal_conservative,test,EC50,4668,3086
