arm,view,split,pairs,positive,negative,explicit_inactive,molecules,targets,homology_clusters,scaffold_groups
A,scaffold_replay,train,337570,188799,148771,105368,140064,2290,1447,54811
A,scaffold_replay,validation,41806,24419,17387,11719,17649,2124,1453,6705
A,scaffold_replay,test,39507,23190,16317,10649,16596,2619,1901,6848
A,scaffold_replay,excluded,0,0,0,0,0,0,0,0
A,source_purged,train,78570,29548,49022,41232,24371,1723,1060,8387
A,source_purged,validation,16914,8264,8650,6604,5850,1115,622,2055
A,source_purged,test,39350,23128,16222,10632,16513,2613,1897,6803
A,source_purged,excluded,284049,175468,108581,69268,128825,2482,1670,53609
A,cold_target,train,369213,208576,160637,113525,151882,2923,2064,59842
A,cold_target,validation,26047,12572,13475,9258,15058,328,254,6561
A,cold_target,test,23623,15260,8363,4953,14244,407,284,6249
A,cold_target,excluded,0,0,0,0,0,0,0,0
A,double_cold,train,297624,166666,130958,93628,121745,1859,1161,48044
A,double_cold,validation,2549,1268,1281,862,1411,190,147,643
A,double_cold,test,2389,1580,809,390,1378,275,204,660
A,double_cold,excluded,116321,66894,49427,32856,55251,3093,2216,22322
A,temporal_conservative,train,376999,207791,169208,119934,154625,2202,1380,60203
A,temporal_conservative,validation,12015,8851,3164,1966,6796,724,419,3023
A,temporal_conservative,test,16110,9203,6907,5075,7959,691,428,3991
A,temporal_conservative,excluded,13759,10563,3196,761,6541,2549,1934,3806
B,scaffold_replay,train,1116270,769395,346875,105368,690439,3647,2379,248698
B,scaffold_replay,validation,135215,94084,41131,11719,83246,2999,2014,31150
B,scaffold_replay,test,132331,93249,39082,10649,82705,3464,2418,31075
B,scaffold_replay,excluded,0,0,0,0,0,0,0,0
B,source_purged,train,178653,93404,85249,41232,89485,2802,1840,27977
B,source_purged,validation,38749,22589,16160,6604,20410,1761,1051,6935
B,source_purged,test,128719,92921,35798,10632,80236,3426,2388,29724
B,source_purged,excluded,1037695,747814,289881,69268,671090,3452,2277,255234
B,cold_target,train,1142452,797472,344980,113525,715576,3787,2607,264758
B,cold_target,validation,105612,67724,37888,9258,86806,425,320,32482
B,cold_target,test,135752,91532,44220,4953,103113,530,361,40777
B,cold_target,excluded,0,0,0,0,0,0,0,0
B,double_cold,train,921139,640694,280445,93628,575507,2935,1892,211866
B,double_cold,validation,10172,6464,3708,862,8284,258,197,3290
B,double_cold,test,12753,8768,3985,390,9744,372,261,4076
B,double_cold,excluded,439752,300802,138950,32856,303367,4027,2794,113357
B,temporal_conservative,train,1184664,802577,382087,119934,724292,3489,2265,260492
B,temporal_conservative,validation,56969,42242,14727,1966,39586,1290,772,16427
B,temporal_conservative,test,92358,74422,17936,5075,68872,1334,814,30220
B,temporal_conservative,excluded,49825,37487,12338,761,31570,2948,2168,15505
