run_id,stage,track,arm,view,architecture,loss,variant,seed,feature_set,train_members,validation_members,test_members,status,requires,output_dir,test_use
E1_A_scaffold_replay_drug_only_binary_default_s101,E1,controlled_fresh_training,A,scaffold_replay,drug_only,binary,default,101,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E1_A_scaffold_replay_drug_only_binary_default_s101,"Final report only, no model selection"
E1_A_scaffold_replay_drug_only_binary_default_s202,E1,controlled_fresh_training,A,scaffold_replay,drug_only,binary,default,202,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E1_A_scaffold_replay_drug_only_binary_default_s202,"Final report only, no model selection"
E1_A_scaffold_replay_drug_only_binary_default_s303,E1,controlled_fresh_training,A,scaffold_replay,drug_only,binary,default,303,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E1_A_scaffold_replay_drug_only_binary_default_s303,"Final report only, no model selection"
E1_A_scaffold_replay_protein_only_binary_default_s101,E1,controlled_fresh_training,A,scaffold_replay,protein_only,binary,default,101,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E1_A_scaffold_replay_protein_only_binary_default_s101,"Final report only, no model selection"
E1_A_scaffold_replay_protein_only_binary_default_s202,E1,controlled_fresh_training,A,scaffold_replay,protein_only,binary,default,202,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E1_A_scaffold_replay_protein_only_binary_default_s202,"Final report only, no model selection"
E1_A_scaffold_replay_protein_only_binary_default_s303,E1,controlled_fresh_training,A,scaffold_replay,protein_only,binary,default,303,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E1_A_scaffold_replay_protein_only_binary_default_s303,"Final report only, no model selection"
E1_A_scaffold_replay_additive_binary_default_s101,E1,controlled_fresh_training,A,scaffold_replay,additive,binary,default,101,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E1_A_scaffold_replay_additive_binary_default_s101,"Final report only, no model selection"
E1_A_scaffold_replay_additive_binary_default_s202,E1,controlled_fresh_training,A,scaffold_replay,additive,binary,default,202,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E1_A_scaffold_replay_additive_binary_default_s202,"Final report only, no model selection"
E1_A_scaffold_replay_additive_binary_default_s303,E1,controlled_fresh_training,A,scaffold_replay,additive,binary,default,303,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E1_A_scaffold_replay_additive_binary_default_s303,"Final report only, no model selection"
E1_A_scaffold_replay_dual_cosine_binary_default_s101,E1,controlled_fresh_training,A,scaffold_replay,dual_cosine,binary,default,101,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E1_A_scaffold_replay_dual_cosine_binary_default_s101,"Final report only, no model selection"
