arm,view,split,direction,total_queries,mixed_queries,mixed_queries_ge10,all_negative_queries,all_positive_queries
A,scaffold_replay,train,target_to_drug,2290,1362,1155,496,432
A,scaffold_replay,train,drug_to_target,140064,8211,622,19271,112582
A,scaffold_replay,validation,target_to_drug,2124,830,655,614,680
A,scaffold_replay,validation,drug_to_target,17649,1118,58,2327,14204
A,scaffold_replay,test,target_to_drug,2619,785,593,743,1091
A,scaffold_replay,test,drug_to_target,16596,1022,77,2161,13413
A,source_purged,train,target_to_drug,1723,678,519,634,411
A,source_purged,train,drug_to_target,24371,1495,99,4539,18337
A,source_purged,validation,target_to_drug,1115,496,374,413,206
A,source_purged,validation,drug_to_target,5850,445,12,1019,4386
A,source_purged,test,target_to_drug,2613,784,592,744,1085
A,source_purged,test,drug_to_target,16513,1016,77,2114,13383
A,cold_target,train,target_to_drug,2923,1363,1028,627,933
A,cold_target,train,drug_to_target,151882,8996,689,20390,122496
A,cold_target,validation,target_to_drug,328,149,113,65,114
A,cold_target,validation,drug_to_target,15058,304,115,3495,11259
A,cold_target,test,target_to_drug,407,163,114,86,158
A,cold_target,test,drug_to_target,14244,453,102,2831,10960
A,double_cold,train,target_to_drug,1859,1108,952,411,340
A,double_cold,train,drug_to_target,121745,7180,566,16428,98137
A,double_cold,validation,target_to_drug,190,76,53,50,64
A,double_cold,validation,drug_to_target,1411,23,10,323,1065
A,double_cold,test,target_to_drug,275,62,38,77,136
A,double_cold,test,drug_to_target,1378,51,11,298,1029
A,temporal_conservative,train,target_to_drug,2202,1327,1140,456,419
A,temporal_conservative,train,drug_to_target,154625,8931,511,21232,124462
A,temporal_conservative,validation,target_to_drug,724,226,129,342,156
A,temporal_conservative,validation,drug_to_target,6796,227,10,817,5752
A,temporal_conservative,test,target_to_drug,691,203,131,270,218
A,temporal_conservative,test,drug_to_target,7959,607,98,1294,6058
B,scaffold_replay,train,target_to_drug,3647,2288,2060,822,537
B,scaffold_replay,train,drug_to_target,690439,48036,1507,115388,527015
B,scaffold_replay,validation,target_to_drug,2999,1478,1214,750,771
B,scaffold_replay,validation,drug_to_target,83246,6071,165,13543,63632
B,scaffold_replay,test,target_to_drug,3464,1502,1215,843,1119
B,scaffold_replay,test,drug_to_target,82705,5561,164,13681,63463
B,source_purged,train,target_to_drug,2802,1477,1211,786,539
B,source_purged,train,drug_to_target,89485,7159,255,22452,59874
B,source_purged,validation,target_to_drug,1761,944,703,481,336
B,source_purged,validation,drug_to_target,20410,1699,56,4399,14312
B,source_purged,test,target_to_drug,3426,1473,1181,825,1128
B,source_purged,test,drug_to_target,80236,5474,164,11479,63283
B,cold_target,train,target_to_drug,3787,2132,1747,754,901
B,cold_target,train,drug_to_target,715576,43039,1327,118976,553561
B,cold_target,validation,target_to_drug,425,220,182,90,115
B,cold_target,validation,drug_to_target,86806,1687,131,22623,62496
B,cold_target,test,target_to_drug,530,294,229,103,133
B,cold_target,test,drug_to_target,103113,4936,130,26090,72087
B,double_cold,train,target_to_drug,2935,1852,1670,651,432
B,double_cold,train,drug_to_target,575507,34663,1085,96095,444749
B,double_cold,validation,target_to_drug,258,128,106,65,65
B,double_cold,validation,drug_to_target,8284,168,10,2187,5929
B,double_cold,test,target_to_drug,372,151,118,82,139
B,double_cold,test,drug_to_target,9744,427,13,2491,6826
B,temporal_conservative,train,target_to_drug,3489,2171,1954,800,518
B,temporal_conservative,train,drug_to_target,724292,51307,1237,125665,547320
B,temporal_conservative,validation,target_to_drug,1290,673,499,363,254
B,temporal_conservative,validation,drug_to_target,39586,2481,118,6803,30302
B,temporal_conservative,test,target_to_drug,1334,689,514,291,354
B,temporal_conservative,test,drug_to_target,68872,2818,122,7732,58322
