asset_id,family,path,bytes,sha256,prior_manifest_match,role
retargetmap_deployed,ReTargetMap,outputs/biomaster_best_model_20260906/retargetmap_selected_v1/model.pt,4950923,ca1ad1de8364806282bacac993fd477711c59498c42248982c441eafcc254f76,True,task_weights
fixed_6000__all_inactive__binary__20260921,Palinova_AB,outputs/biomaster_endpoint_ablation_20260911/all_inactive_seed_20260921/model.pt,4950539,afb20adcdd571cde1c5847cb74ebaff3ecef04b6b98487ec2f33e281bf2d303e,True,internal_trained_weights
fixed_6000__all_inactive__binary__20260922,Palinova_AB,outputs/biomaster_endpoint_ablation_20260911/all_inactive_seed_20260922/model.pt,4950539,b3fbc32b11fb48a82d517755052416364f779aeb62bcd1d462973d1d9d1c826d,True,internal_trained_weights
fixed_6000__all_inactive__binary__20260923,Palinova_AB,outputs/biomaster_endpoint_ablation_20260911/all_inactive_seed_20260923/model.pt,4950539,3a07dc1ef3b518822442861e9887a2e69ab955ff341cf72348fb25dab4701e88,True,internal_trained_weights
fixed_6000__kdki_inactive__binary__20260921,Palinova_AB,outputs/biomaster_endpoint_ablation_20260911/kdki_inactive_seed_20260921/model.pt,4950539,a356cbe3e89db97fc90dc72cefe8274d03c7694bf14e11759c1dd0f10ffc9dae,True,internal_trained_weights
fixed_6000__kdki_inactive__binary__20260922,Palinova_AB,outputs/biomaster_endpoint_ablation_20260911/kdki_inactive_seed_20260922/model.pt,4950539,777026cf6bf6d18cd1f995d10be831d863021d555537c11da5fef0725107ae7f,True,internal_trained_weights
fixed_6000__kdki_inactive__binary__20260923,Palinova_AB,outputs/biomaster_endpoint_ablation_20260911/kdki_inactive_seed_20260923/model.pt,4950539,d6b4e1c477b3f99423be1e03763d3284c6de6abef8304808f03293dd9707275e,True,internal_trained_weights
multitask__all_inactive__binary__20260921,Palinova_AB,outputs/biomaster_endpoint_multitask_20260911/all_inactive__binary__seed_20260921/model.pt,4957165,caf875dde9bc4b49164cfdb4e21ac64dfd1072e63747e9af6f1348e6e9473334,True,internal_trained_weights
multitask__all_inactive__binary__20260922,Palinova_AB,outputs/biomaster_endpoint_multitask_20260911/all_inactive__binary__seed_20260922/model.pt,4957165,29011320c118fa7d91959b4433ba5b5259eb1f838247518ed91e18be218483e1,True,internal_trained_weights
multitask__all_inactive__binary__20260923,Palinova_AB,outputs/biomaster_endpoint_multitask_20260911/all_inactive__binary__seed_20260923/model.pt,4957165,d7064c7171ad55a5cf670cc7c16b5fdc69a037ebc8dbc6c631deacf59be8dafe,True,internal_trained_weights
multitask__all_inactive__joint__20260921,Palinova_AB,outputs/biomaster_endpoint_multitask_20260911/all_inactive__joint__seed_20260921/model.pt,4957165,667c437dd4363b71b060c575a9d6b018770520e0ab26a00c91f99b1c3e100ddf,True,internal_trained_weights
multitask__all_inactive__joint__20260922,Palinova_AB,outputs/biomaster_endpoint_multitask_20260911/all_inactive__joint__seed_20260922/model.pt,4957165,b1d1ab93cf22fcc58ff15ff5eb41457830616dc71e512ceaa766fcc565b48ee9,True,internal_trained_weights
multitask__all_inactive__joint__20260923,Palinova_AB,outputs/biomaster_endpoint_multitask_20260911/all_inactive__joint__seed_20260923/model.pt,4957165,dd34a603446f5b26b3ae8a639310e25f959942377b71d93b5f0fac889065053f,True,internal_trained_weights
multitask__all_inactive__rank__20260921,Palinova_AB,outputs/biomaster_endpoint_multitask_20260911/all_inactive__rank__seed_20260921/model.pt,4957165,bbe1b5fbf9b4a1800dfbb211131d3e083fb5ce66c7e555c29a18762a408854a7,True,internal_trained_weights
