asset_id,family,path,role,official_download_url,expected_sha256,qualification,license_note,status,files,bytes,sha256,digest_kind,registered_link
retargetmap_deployed,ReTargetMap,outputs/biomaster_best_model_20260906/retargetmap_selected_v1/model.pt,task_weights,,ca1ad1de8364806282bacac993fd477711c59498c42248982c441eafcc254f76,DEPLOYED,See model registry,VERIFIED_LOCAL,1,4950923,ca1ad1de8364806282bacac993fd477711c59498c42248982c441eafcc254f76,file_sha256,data/research/dti_reliability_20260920_v1/model_assets/retargetmap_deployed
fixed_6000__all_inactive__binary__20260921,Palinova_AB,outputs/biomaster_endpoint_ablation_20260911/all_inactive_seed_20260921/model.pt,internal_trained_weights,,afb20adcdd571cde1c5847cb74ebaff3ecef04b6b98487ec2f33e281bf2d303e,EXPLORATORY_TRAINED,See model registry,VERIFIED_LOCAL,1,4950539,afb20adcdd571cde1c5847cb74ebaff3ecef04b6b98487ec2f33e281bf2d303e,file_sha256,data/research/dti_reliability_20260920_v1/model_assets/fixed_6000__all_inactive__binary__20260921
fixed_6000__all_inactive__binary__20260922,Palinova_AB,outputs/biomaster_endpoint_ablation_20260911/all_inactive_seed_20260922/model.pt,internal_trained_weights,,b3fbc32b11fb48a82d517755052416364f779aeb62bcd1d462973d1d9d1c826d,EXPLORATORY_TRAINED,See model registry,VERIFIED_LOCAL,1,4950539,b3fbc32b11fb48a82d517755052416364f779aeb62bcd1d462973d1d9d1c826d,file_sha256,data/research/dti_reliability_20260920_v1/model_assets/fixed_6000__all_inactive__binary__20260922
fixed_6000__all_inactive__binary__20260923,Palinova_AB,outputs/biomaster_endpoint_ablation_20260911/all_inactive_seed_20260923/model.pt,internal_trained_weights,,3a07dc1ef3b518822442861e9887a2e69ab955ff341cf72348fb25dab4701e88,EXPLORATORY_TRAINED,See model registry,VERIFIED_LOCAL,1,4950539,3a07dc1ef3b518822442861e9887a2e69ab955ff341cf72348fb25dab4701e88,file_sha256,data/research/dti_reliability_20260920_v1/model_assets/fixed_6000__all_inactive__binary__20260923
fixed_6000__kdki_inactive__binary__20260921,Palinova_AB,outputs/biomaster_endpoint_ablation_20260911/kdki_inactive_seed_20260921/model.pt,internal_trained_weights,,a356cbe3e89db97fc90dc72cefe8274d03c7694bf14e11759c1dd0f10ffc9dae,EXPLORATORY_TRAINED,See model registry,VERIFIED_LOCAL,1,4950539,a356cbe3e89db97fc90dc72cefe8274d03c7694bf14e11759c1dd0f10ffc9dae,file_sha256,data/research/dti_reliability_20260920_v1/model_assets/fixed_6000__kdki_inactive__binary__20260921
fixed_6000__kdki_inactive__binary__20260922,Palinova_AB,outputs/biomaster_endpoint_ablation_20260911/kdki_inactive_seed_20260922/model.pt,internal_trained_weights,,777026cf6bf6d18cd1f995d10be831d863021d555537c11da5fef0725107ae7f,EXPLORATORY_TRAINED,See model registry,VERIFIED_LOCAL,1,4950539,777026cf6bf6d18cd1f995d10be831d863021d555537c11da5fef0725107ae7f,file_sha256,data/research/dti_reliability_20260920_v1/model_assets/fixed_6000__kdki_inactive__binary__20260922
fixed_6000__kdki_inactive__binary__20260923,Palinova_AB,outputs/biomaster_endpoint_ablation_20260911/kdki_inactive_seed_20260923/model.pt,internal_trained_weights,,d6b4e1c477b3f99423be1e03763d3284c6de6abef8304808f03293dd9707275e,EXPLORATORY_TRAINED,See model registry,VERIFIED_LOCAL,1,4950539,d6b4e1c477b3f99423be1e03763d3284c6de6abef8304808f03293dd9707275e,file_sha256,data/research/dti_reliability_20260920_v1/model_assets/fixed_6000__kdki_inactive__binary__20260923
multitask__all_inactive__binary__20260921,Palinova_AB,outputs/biomaster_endpoint_multitask_20260911/all_inactive__binary__seed_20260921/model.pt,internal_trained_weights,,caf875dde9bc4b49164cfdb4e21ac64dfd1072e63747e9af6f1348e6e9473334,EXPLORATORY_TRAINED,See model registry,VERIFIED_LOCAL,1,4957165,caf875dde9bc4b49164cfdb4e21ac64dfd1072e63747e9af6f1348e6e9473334,file_sha256,data/research/dti_reliability_20260920_v1/model_assets/multitask__all_inactive__binary__20260921
multitask__all_inactive__binary__20260922,Palinova_AB,outputs/biomaster_endpoint_multitask_20260911/all_inactive__binary__seed_20260922/model.pt,internal_trained_weights,,29011320c118fa7d91959b4433ba5b5259eb1f838247518ed91e18be218483e1,EXPLORATORY_TRAINED,See model registry,VERIFIED_LOCAL,1,4957165,29011320c118fa7d91959b4433ba5b5259eb1f838247518ed91e18be218483e1,file_sha256,data/research/dti_reliability_20260920_v1/model_assets/multitask__all_inactive__binary__20260922
multitask__all_inactive__binary__20260923,Palinova_AB,outputs/biomaster_endpoint_multitask_20260911/all_inactive__binary__seed_20260923/model.pt,internal_trained_weights,,d7064c7171ad55a5cf670cc7c16b5fdc69a037ebc8dbc6c631deacf59be8dafe,EXPLORATORY_TRAINED,See model registry,VERIFIED_LOCAL,1,4957165,d7064c7171ad55a5cf670cc7c16b5fdc69a037ebc8dbc6c631deacf59be8dafe,file_sha256,data/research/dti_reliability_20260920_v1/model_assets/multitask__all_inactive__binary__20260923
multitask__all_inactive__joint__20260921,Palinova_AB,outputs/biomaster_endpoint_multitask_20260911/all_inactive__joint__seed_20260921/model.pt,internal_trained_weights,,667c437dd4363b71b060c575a9d6b018770520e0ab26a00c91f99b1c3e100ddf,EXPLORATORY_TRAINED,See model registry,VERIFIED_LOCAL,1,4957165,667c437dd4363b71b060c575a9d6b018770520e0ab26a00c91f99b1c3e100ddf,file_sha256,data/research/dti_reliability_20260920_v1/model_assets/multitask__all_inactive__joint__20260921
multitask__all_inactive__joint__20260922,Palinova_AB,outputs/biomaster_endpoint_multitask_20260911/all_inactive__joint__seed_20260922/model.pt,internal_trained_weights,,b1d1ab93cf22fcc58ff15ff5eb41457830616dc71e512ceaa766fcc565b48ee9,EXPLORATORY_TRAINED,See model registry,VERIFIED_LOCAL,1,4957165,b1d1ab93cf22fcc58ff15ff5eb41457830616dc71e512ceaa766fcc565b48ee9,file_sha256,data/research/dti_reliability_20260920_v1/model_assets/multitask__all_inactive__joint__20260922
multitask__all_inactive__joint__20260923,Palinova_AB,outputs/biomaster_endpoint_multitask_20260911/all_inactive__joint__seed_20260923/model.pt,internal_trained_weights,,dd34a603446f5b26b3ae8a639310e25f959942377b71d93b5f0fac889065053f,EXPLORATORY_TRAINED,See model registry,VERIFIED_LOCAL,1,4957165,dd34a603446f5b26b3ae8a639310e25f959942377b71d93b5f0fac889065053f,file_sha256,data/research/dti_reliability_20260920_v1/model_assets/multitask__all_inactive__joint__20260923
multitask__all_inactive__rank__20260921,Palinova_AB,outputs/biomaster_endpoint_multitask_20260911/all_inactive__rank__seed_20260921/model.pt,internal_trained_weights,,bbe1b5fbf9b4a1800dfbb211131d3e083fb5ce66c7e555c29a18762a408854a7,EXPLORATORY_TRAINED,See model registry,VERIFIED_LOCAL,1,4957165,bbe1b5fbf9b4a1800dfbb211131d3e083fb5ce66c7e555c29a18762a408854a7,file_sha256,data/research/dti_reliability_20260920_v1/model_assets/multitask__all_inactive__rank__20260921
multitask__all_inactive__rank__20260922,Palinova_AB,outputs/biomaster_endpoint_multitask_20260911/all_inactive__rank__seed_20260922/model.pt,internal_trained_weights,,7506896beeb067be87b0d2c8d9337e3f3650d0ce85aacb7f4c6965458af9d670,EXPLORATORY_TRAINED,See model registry,VERIFIED_LOCAL,1,4957165,7506896beeb067be87b0d2c8d9337e3f3650d0ce85aacb7f4c6965458af9d670,file_sha256,data/research/dti_reliability_20260920_v1/model_assets/multitask__all_inactive__rank__20260922
multitask__all_inactive__rank__20260923,Palinova_AB,outputs/biomaster_endpoint_multitask_20260911/all_inactive__rank__seed_20260923/model.pt,internal_trained_weights,,7327839688fb97e0c7ee3bc794de931064a592db7bf1fa4d8a0c994f541c0ce3,EXPLORATORY_TRAINED,See model registry,VERIFIED_LOCAL,1,4957165,7327839688fb97e0c7ee3bc794de931064a592db7bf1fa4d8a0c994f541c0ce3,file_sha256,data/research/dti_reliability_20260920_v1/model_assets/multitask__all_inactive__rank__20260923
multitask__all_inactive__regression__20260921,Palinova_AB,outputs/biomaster_endpoint_multitask_20260911/all_inactive__regression__seed_20260921/model.pt,internal_trained_weights,,b794013b77408da99ca71276481528a3a59f1988fd770cfdd395c69e697fc31d,EXPLORATORY_TRAINED,See model registry,VERIFIED_LOCAL,1,4957165,b794013b77408da99ca71276481528a3a59f1988fd770cfdd395c69e697fc31d,file_sha256,data/research/dti_reliability_20260920_v1/model_assets/multitask__all_inactive__regression__20260921
multitask__all_inactive__regression__20260922,Palinova_AB,outputs/biomaster_endpoint_multitask_20260911/all_inactive__regression__seed_20260922/model.pt,internal_trained_weights,,b793e88b06ecf076ca4c3d202a196f712b1a1a8716467c8a57c4639d5ada38cd,EXPLORATORY_TRAINED,See model registry,VERIFIED_LOCAL,1,4957165,b793e88b06ecf076ca4c3d202a196f712b1a1a8716467c8a57c4639d5ada38cd,file_sha256,data/research/dti_reliability_20260920_v1/model_assets/multitask__all_inactive__regression__20260922
